question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_evqa_rerank_base_no_context,llava_evqa_rerank_base_with_context,llava_evqa_rerank_no_p_prime,llava_evqa_rerank_no_p_q_i,llava_evqa_rerank_no_p_q_c,llava_evqa_rerank_no_p_q
What is the maximum number of flowers on a this plant stem?,6,['75'],[],0,"In late spring, (or April), it has between 4–6 flowers per stem and reaches a maximum height of 45 cm (18 in) tall.  It has pale silvery mauve flowers. It also comes in blueish-lavender, or blue-violet shades. The flowers are 6–8 cm (2–3 in) wide with a wavy, white crest on each fall. Which is surrounded by a pale, boldly veined zone. The white margined leaves, have glossy mid-green tops, but with greyish green bottoms, which are scattered along the stem. The leaves grow to approximately 20 cm (8 in) tall at flowering time, then they extend to twice this. They are between 1.5–3.5 cm (1–1 in) wide.",0.3024192750453949,0.012769185937941074,0.012455404736101627,0.007525549735873938,0.08026960492134094,0.005074997432529926,0.028052501380443573
What is the botanical term for the male cones of this tree?,Strobili,['stroboli'],[],0,"Scottish botanist David Don described the species as Dammara australis. Agathis is derived from Greek and means 'ball of twine', a reference to the shape of the male cones, which are also known by the botanical term stroboli. Australis means 'southern'.",0.32470792531967163,0.018748436123132706,0.09084808081388474,0.2654716968536377,0.02935178577899933,0.024470621719956398,0.04319816082715988
"Besides leioproctus, what is a pollinator of this plant?",Bee,['Melangyna novaezelandiae'],[],0,"Long-tongue bees of the genera Chalicodoma and Hylaeus and Eumenid wasps forage among the flowers, although only the long-tongue bee species Leioproctus raymenti is a pollinator. The fruit are eaten and scattered by vertebrates, such as kangaroos, possums, and currawongs and other large birds. Persoonia chamaepitys is killed by bushfire and regenerates from seed that has remained dormant in the soil.",0.6805828213691711,0.12060327082872391,0.10651026666164398,0.23034007847309113,0.27215084433555603,0.20170244574546814,0.32089653611183167
Homeowners are doing what to gardens for this insect?,Planting flowers,['establishing'],[],0,"The monarch is the state insect of Alabama, Idaho, Illinois, Minnesota, Texas, Vermont, and West Virginia. Legislation was introduced to make it the national insect of the United States, but this failed in 1989 and again in 1991. Homeowners are increasingly establishing butterfly gardens; monarchs can be attracted by cultivating a butterfly garden with specific milkweed species and nectar plants. Efforts are underway to establish these monarch waystations. An IMAX film, Flight of the Butterflies, describes the story of the Urquharts, Brugger, and Trail to document the then-unknown monarch migration to Mexican overwintering areas. Sanctuaries and reserves have been created at overwintering locations in Mexico and California to limit habitat destruction. These sites can generate significant tourism revenue. However, with less tourism, monarch butterflies will have a higher survival rate because they show more protein content and a higher value of immune response and oxidative defense. Organizations and individuals participate in tagging programs. Tagging information is used to study migration patterns. The 2012 novel by Barbara Kingsolver, Flight Behavior, deals with the appearance of a large population in the Appalachians.",0.038665998727083206,0.009210022166371346,0.02552158571779728,0.004865590948611498,0.0322628989815712,0.03236626833677292,0.03641020879149437
What is martin artquest at this museum?,Art station,['a permanent interactive gallery space'],[],0,"As a non-collecting museum, the Frist does not have a permanent collection; rather, the center focuses on creating exhibitions as well as securing traveling exhibitions from around the country and the world. Information regarding past, current and future exhibitions is found on the Frist's website. Each exhibition page contains detailed information about exhibition-related programs and an array of resources, including gallery guides, audio guides, videos and additional information from varying sources. Martin ArtQuest (MAQ) is a permanent interactive gallery space at the Frist Art Museum. The MAQ space consists of: a drawing station, a painting station, a printmaking station, a zoetrope station, a shadow theater, a stop-motion animation tool, an interactive Everbright wall composed of color-changing dials, a collaborative textile-weaving installation using a large six-sided art deco grid, a full-body-animated digital painting experience, and a sound pattern station which allows visitor to manipulate frequencies with sand on metal plates. MAQ is run by the Frist's Educational department, which is led by Anne Henderson, who is the Director of Education and Community Engagement.",0.492423415184021,0.0032364383805543184,0.004490355961024761,0.007980781607329845,0.009127233177423477,0.004721482750028372,0.008891195058822632
In what us state is this plant considered a severe noxious weed?,California,['California'],[],1,"In the United States, it is considered an invasive, noxious weed in the following states: Arizona (prohibited noxious weed), California (A listed noxious weed), Colorado (A listed noxious weed), Nevada (noxious weed), New Mexico (class B noxious weed), and Oregon (A designated weed, under quarantine). This may require land owners to exterminate infestations on their land or be fined, and allows access to government grants to buy herbicides to do so. It is illegal to sell plants of this species in the states listed above. Since 2005, with caveats, the cultivation, possession or sale of this species is also illegal in Louisiana. Since 2005 the possession of the seeds, the plant itself, and the alkaloids harmine and harmaline, which it contains, is illegal in France. In Finland, the plant is officially listed as a medicinal plant, which means one would require a doctors prescription to acquire it. In Canada, harmaline is illegal. In Australia, harmala alkaloids are illegal.",0.7154982089996338,0.25165313482284546,0.07050232589244843,0.33300840854644775,0.1636369377374649,0.5239717364311218,0.17945857346057892
In what century was this castle founded?,1080,['14th'],[],0,"The castle was founded around 1080 by Hartnidus of Ort, and improvements continued to be made into the thirteenth century - for example by Hartnidus V in 1244.  In 1344 the brothers Friedrich and Reinprecht I of Wallsee purchased the castle, which became Friedrich’s sole possession on January 25, 1350.  The castle remained in the possession of the Wallsee family until 1483, when Schloss Ort passed to Frederick III, Holy Roman Emperor.",0.2294304370880127,0.0064016105607151985,0.0028180370572954416,0.0012469919165596366,0.017643066123127937,0.0018602268537506461,0.003724490525200963
What are this bird considered?,Subspecies,['specialized fruit-eaters'],[],0,This bird is often considered to be a subspecies of the slaty-backed chat-tyrant (Ochthoeca cinnamomeiventris).,0.5788008570671082,0.007733276579529047,0.017565753310918808,0.062089696526527405,0.14253300428390503,0.11538466066122055,0.1474969983100891
What is this plant commonly known as?,Vetstingel,['Texas yellow star'],[],0,"This plant is commonly known in the local Afrikaans language as ""Vetstingel"" (""Fat-stalk""). This name, like its Latin species name ""robusta"", refers to its thick peduncle. Another common name is ""Bokverwurg"" (""Goat-choaker""), on account of the extremely hard, sharp leaves on its stems.",0.6436840891838074,0.013416244648396969,0.02073228359222412,0.008695648051798344,0.0028930986300110817,0.01392875425517559,0.012012215331196785
"When did unprecedented levels of this seaweed wash up on the beaches of brittany, france?",2009,['August 2009'],[],0,"In August 2009, unprecedented amounts of these algae washed up on the beaches of Brittany, France, causing a major public health scare as it decomposed. The rotting leaves produced large quantities of hydrogen sulfide, a toxic gas. In one incident near Saint-Michel-en-Grève, a horse rider lost consciousness and his horse died after breathing the seaweed fumes; in another, a lorry driver driving a load of decomposing sea lettuce passed out, crashed, and died, with toxic fumes claimed to be the cause. Environmentalists blamed the phenomenon on excessive nitrogenous compounds washed out to sea from improper disposal of pig and poultry animal waste from industrial farms.",0.7909379601478577,0.4838559031486511,0.816024661064148,0.847141444683075,0.707073450088501,0.8075641989707947,0.8426713347434998
What is the maximum wing span of this bird?,131,['32 cm'],[],0,"This medium-sized bird has a length of about 24 cm. It has a wing length between 117 and 131 mm, a culmen length between 20 and 24 mm and a tarsus length between 30,0 and 34,5 mm. It can reach a mass of at least 86 g. It occurs in the Pare and Usambara mountains of north-central Tanzania.",0.03149335831403732,0.0023994548246264458,0.003868189174681902,0.0010138057405129075,0.0017344012157991529,0.0012384126894176006,0.0015642972430214286
phortse is off the main trekking circuit and therefore more resembles this village?,Yes,['an authentic Sherpa village'],[],0,"Phortse is a farming village located at 3840m in the Khumbu Valley in Nepal. It is off the main trekking circuit and therefore more resembles an authentic Sherpa village. There is a high trail connection to Pangpoche offering splendid views across the valley, which can be used instead of the standard Tengboche route.",0.9809738993644714,0.009986686520278454,0.009082410484552383,0.009058212861418724,0.1010739877820015,0.013173356652259827,0.007989475503563881
What can reverse the dormancy of this plant's seeds?,Water,['higher temperatures'],[],0,"It contains chemicals of the class glucosinolates, including sinalbin. The seeds contain a plant hormone, Gibberellic acid, which effects the dormancy of the seeds.",0.4982382357120514,0.036590926349163055,0.2490699738264084,0.3372577726840973,0.3712836802005768,0.08955638110637665,0.267570436000824
How are the leaves of this plant similar to maple leaves?,3 lobes,['superficially'],[],0,"Liquidambar acalycina is a deciduous tree that has a brown to black colored bark with a conical/pyramidal shape. It matures quickly to a medium height at about 10m in height, and 6m in width. The leaves have three lobes, making the tree similar to a maple tree. However, they are more star shaped than maple leaves. The leaves emerge with a burgundy color in spring, but as they grow and mature in summer, they become green, which indicates their increasing ability to photosynthesize. When nearing fall, the leaves return to a red to purple color. During the months of April to May, monoecious flowers begin to bud with yellow-green colors, but are insignificant for pollination in attracting pollinators. The fruit of this tree is a dark brown color. This tree serves as a shade tree for gardens. Liquidambar acalycina prefers soil that is acidic and clay-based.",0.5570514798164368,0.004539668560028076,0.0063171060755848885,0.05240228399634361,0.027828216552734375,0.04718577489256859,0.02190357632935047
goldcrests will occasionally feed on the ground among this?,Leaf litter,['leaf-litter'],[],0,"eggs of spiders and insects, and occasionally take pollen. All species will catch flying insects while hovering. Although the similarly sized goldcrest and firecrest are often found together, there are a number of factors that minimise direct competition for food. Goldcrests prefer smaller prey than common firecrests. Although both will take trapped insects from spider webs on autumn migration, firecrests will also eat the large orb-web spiders (on rare occasions kinglets have been found stuck in a spider web, either unable to move or dead). The goldcrest takes a wide variety of prey, especially spiders, caterpillars, bugs, springtails and flies. Larger prey such as oak bush crickets and tortrix moths may sometimes be taken. Flying insects are taken in hovering flight but not normally pursued; there is a record of a goldcrest attacking a large dragonfly in flight, only to be dragged along by the insect before releasing it unharmed. Goldcrests will occasionally feed on the ground among leaf-litter with tits. Non-animal food is rare, although goldcrests have been seen drinking sap from broken birch twigs together with tits and nuthatches. The goldcrest feeds in trees, frequently foraging on the undersides of branches and leaves. This is in contrast to the common firecrest, which mainly exploits the upper surface of branches in coniferous habitat and of leaves in deciduous trees. In winter, flocks of goldcrests cover a given distance at only one-third of the speed of common firecrests, taking the smallest prey items ignored by their relative. The differences in behaviour are facilitated by subtle morphological differences; firecrests have broader bills with longer rictal bristles (which protect a bird's eye from food items it is trying to capture), and these features reflect the larger prey taken by the species. The firecrest's less forked tail may reflect its longer episodes of hovering while hunting. Firecrests forage more often while on foot, and have a foot better adapted for",0.2831548750400543,0.1416092813014984,0.17677602171897888,0.40636715292930603,0.07493063807487488,0.20818190276622772,0.04168276488780975
This wilderness was at the southern what of Rohrbaugh Plains?,Dolly sods,['end'],[],0,"The original Dolly Sods was a mountaintop meadow of about 650 acres (3 km²) at the southern end of Rohrbaugh Plains,  near the present Dolly Sods Picnic Area. The present-day Dolly Sods Wilderness (DSW) encompasses some 17,371 acres (70 km²) of U.S. Forest Service land and is itself only part of a larger 32,000-acre (129 km²) area now known as ""Dolly Sods"". The DSW is bordered by Forest Service Routes 75 and 19 on the east and south sides, respectively. (Since the early 1970s it has been common practice to include the Red Creek Plains, Flatrock Plains and Roaring Plains areas to the south as part of the greater Dolly Sods area. Formerly, the area encompassed by these three mountaintop flats — all south of FS Rt 19 — was known locally and collectively as Huckleberry Plain.) To the northeast, DSW is bordered by the Bear Rocks Nature Preserve, owned by The Nature Conservancy. The surrounding area was recently added to the Wilderness and is known as Dolly Sods North (the High Sods). North of Dolly Sods North (and just outside the present DSW) is an area known as Dobbins Slashings — a sub-arctic bog forming the headwaters of Red Creek on Cabin Mountain. Dobbins Slashings has also been proposed for wilderness preservation. In the Canaan Valley to the west, the Wilderness is adjoined by the 16,000-acre (65 km²) Canaan Valley National Wildlife Refuge. Almost all of DSW is in the southeast corner of Tucker County with only very small sections extending into Randolph and Grant Counties.",0.3014902174472809,0.11719746142625809,0.32165467739105225,0.4159030318260193,0.30335721373558044,0.5107060670852661,0.16191430389881134
What is the status of this bird in the milder parts of its range?,Resident,['resident'],[],1,"This species breeds throughout Eurasia up to latitudes 75°N, only being absent in the Arctic from areas where the July isotherm is less than 4 °C. It also breeds in the mountains of Morocco and western Alaska. It occupies a wide range of habitats, but is absent from deserts. White wagtails are residents in the milder parts of its range such as western Europe and the Mediterranean, but migratory in much of the rest of its range. Northern European breeders winter around the Mediterranean and in tropical and subtropical Africa, and Asiatic birds move to the Middle East, India, and Southeast Asia. Birds from the North American population also winter in tropical Asia.",0.8510463237762451,0.39074888825416565,0.8765171766281128,0.8085252642631531,0.6752246618270874,0.9014003276824951,0.9319202303886414
What kind of georgian plan does this building follow?,Cross dome,['traditional'],[],0,"Stylistically, Nikortsminda reflects the Georgian cross-dome style of architecture, following a six-conch-within-rectangle plan. The rectangular western apse has adjoining side chapels.",0.23379787802696228,0.016129421070218086,0.05721048638224602,0.1840079128742218,0.005644988734275103,0.07574185729026794,0.002541918307542801
What part of the plant is similar between ipomoea quamoclit and this plant?,Leaves,['flowers'],[],0,"Ipomoea coccinea is often confused with Ipomoea quamoclit since the flowers are similar. However, the leaves of the two species are very different. Ipomoea quamoclit has leaves that are more divided, resembling a pine bough, and look more like a cypress vine. Ipomoea coccinea has a red-orange color while I. hederifolia has a darker red colour. Also, they have more of a pinched shaped seed. Their leaves are lobed but not separated into leaflets. There is one leaf per node along the stem; the edge of the leaf blade depends, some have teeth and lobes.",0.5755213499069214,0.17955049872398376,0.5937314033508301,0.061986491084098816,0.6675200462341309,0.1823488175868988,0.23319827020168304
What is another name for this bird?,Mamo,['median egret'],[],0,"Mamo or woowoo is a common name for two species of extinct birds.  Together with the extant ʻIʻiwi they make up the genus Drepanis.  These nectarivorous finches were endemic to Hawaii but are now extinct. The Hawaiian name may be related to the name of the ʻōʻō (Moho nobilis), a bird with a similar appearance.  Another name for the mamo was ʻōʻō-nuku-umu, meaning ""ʻōʻō with the sucking beak"". Two species are known.",0.8545238971710205,0.009353693574666977,0.005942134186625481,0.0057448456063866615,0.047212064266204834,0.003878606017678976,0.010896251536905766
What genus is this tree in?,Triplaris,['Quercus'],[],0,Triplaris is a genus of plants in the family Polygonaceae. Ant tree is a common name for plants in this genus. The species are variously distributed in the Americas. Some species are used for lumber. They are dioecious pioneer species.,0.8891808986663818,0.016022033989429474,0.014060798101127148,0.007429353427141905,0.002549071330577135,0.0063496739603579044,0.001643753726966679
How many petal-like sepals do the flowers of this plant have?,5,['6 to 12'],[],0,"The flowers have five petal-like sepals surrounding a ring of small, cup-like nectaries which are actually petals modified to hold nectar. The sepals do not fall as petals would, but remain on the plant, sometimes for many months. Recent research in Spain suggests that the persistence of the sepals contributes to the development of the seeds.",0.3215275704860687,0.010486334562301636,0.016740849241614342,0.03070804663002491,0.03207334503531456,0.003110970137640834,0.02463330142199993
How long does it take this bird to recover on the surface?,5-10 seconds,['5 to 10 seconds'],[],0,"The little pied cormorant is a benthic feeder, i.e. it finds its prey on the sea floor. It is a solitary feeder, normally diving in relatively shallow water, often near the shore. Dive times are short, around 15 to 20 seconds, with recovery times on the surface of 5 to 10 seconds unless prey are being swallowed. It takes a variety of fish prey but an unusually high proportion (nearly 30% by weight on average, and up to 80% in some individuals) of crustaceans. In New Zealand waters it is most often seen preying on the local flounder and other small flatfish. Eels and insect larvae are also consumed. These are brought to the surface to be swallowed: the bird will sometimes put a fish down on the surface of the water in order to re-orient it and swallow it head first. Because of this habit, they suffer some kleptoparasitism from red-billed gulls.",0.3328433334827423,0.020145704969763756,0.02033907361328602,0.06943465024232864,0.13745276629924774,0.003259088145568967,0.010725823231041431
Where is this nuraghe considered unique?,North east sardinia,['North-East Sardinia'],[],0,"The Nuraghe La Prisgiona is a  nuragic archaeological site (occupied from the 14th until the 9th century B.C.), located in the Capichera valley in the municipality of Arzachena Costa Smeralda in the north of Sardinia. It consists of a nuraghe and a village comprising around 90-100 buildings, spread across 5 hectares. Findings from this site are in many cases unique in Sardinia, particularly with regard to decoration and use. Due to the large extent and number of buildings the site is considered unique in North-East Sardinia. There is also some evidence for occupation during Roman and medieval times. The Giants' grave Coddu Vecchiu is located nearby.",0.22002854943275452,0.0710129663348198,0.6202123761177063,0.08506648987531662,0.09250902384519577,0.4672713279724121,0.2904270589351654
What type of virus can attack this tree?,Computer,['plant viruses'],[],0,"Attack trees can become large and complex, especially when dealing with specific attacks.  A full attack tree may contain hundreds or thousands of different paths all leading to completion of the attack.  Even so, these trees are very useful for determining what threats exist and how to deal with them. Attack trees can lend themselves to defining an information assurance strategy.  It is important to consider, however, that implementing policy to execute this strategy changes the attack tree.  For example, computer viruses may be protected against by refusing the system administrator access to directly modify existing programs and program folders, instead requiring a package manager be used.  This adds to the attack tree the possibility of design flaws or exploits in the package manager. One could observe that the most effective way to mitigate a threat on the attack tree is to mitigate it as close to the root as possible. Although this is theoretically sound, it is not usually possible to simply mitigate a threat without other implications to the continued operation of the system.  For example, the threat of viruses infecting a Windows system may be largely reduced by using a standard (non-administrator) account and NTFS instead of FAT file system so that normal users are unable to modify the operating system.  Implementing this negates any way, foreseen or unforeseen, that a normal user may come to infect the operating system with a virus; however, it also requires that users switch to an administrative account to carry out administrative tasks, thus creating a different set of threats on the tree and more operational overhead.  Also, users are still able to infect files to which they have write permissions, which may include files and documents. Systems using cooperative agents that dynamically examine and identify vulnerability chains, creating attack trees, have been built since 2000.",0.4831814467906952,0.018317390233278275,0.003699680557474494,0.0015643262304365635,0.030085640028119087,0.0039058802649378777,0.012297066859900951
What kind of quail can be found in this nature reserve?,Spotted,['common'],[],0,"As of 2009 the Biological Reserve was a strict nature reserve under IUCN protected area category Ia, with a terrestrial area of 4,469 hectares (11,040 acres). Protected bird species are white-necked hawk (Buteogallus lacernulatus), rufous gnateater (Conopophaga lineata), scalloped antbird (Myrmeciza ruficauda), spot-winged wood quail (Odontophorus capueira), golden-spangled piculet (Picumnus exilis) and Alagoas tyrannulet (Phylloscartes ceciliae).",0.43286988139152527,0.1109456792473793,0.12914733588695526,0.08100160956382751,0.3716888427734375,0.07884077727794647,0.08906988054513931
What was erratic about this theatre?,Directors,['existence'],[],0,"Founded in 1876, it had an erratic existence and seemed that it would never get off the ground. In its first decade it had fifteen different artistic directors, the most notorious being Olga Léaud who fled the theatre after her production had failed, taking the contents of the theatre safe with her. The theatre's fortunes were revived briefly in 1885 by the arrival of Abel Ballet as the director. In 1896, Abel Ballet left the direction of Bouffes North. The two actors Emmanuel Clot and G. Dublay succeeded him. In 1904, the theatre, under the direction of its directors, was entirely restored, repainted, and equipped with electricity. The theatre was renamed the Théâtre Molière and authors such as Arthur Bernède and Gaston Leroux were assembled to write plays for the newly named theatre.  In August 1914 the Théâtre Molière, like other theatres, closed its doors. Until 1974, the theatre was inhabited by a number of theatre companies, none of which were able to afford the repairs and maintenance needed for it to conform with safety regulations. British director Peter Brook and French producer Micheline Rozan took over the theatre in 1974 as the home for their theatre company, the International Centre for Theatre Research. A renovation followed. In 2008, Brook announced that he would slowly hand the reins over to Olivier Mantei, the deputy head of the Paris opera company Opéra-Comique and head of the musical programming at the Bouffes du Nord, and Olivier Poubelle, a theatre entrepreneur specialising in modern music. His farewell production was A Magic Flute.",0.7269344329833984,0.014287916012108326,0.05985701456665993,0.02055005356669426,0.09889930486679077,0.047421541064977646,0.015130416490137577
In what country is this temple located?,China,['Taiwan'],[],0,"The Golden Temple Park, or Jindian Park (simplified Chinese: 金殿公园; traditional Chinese: 金殿公園; pinyin: Jīndiàn Gōngyuán), is a Taoist bronze-tiled temple in Yunnan, China, and is the largest bronze temple in the country. It is located on the Mingfeng Mountains, seven kilometers to the east of Kunming.",0.9921913743019104,0.022049712017178535,0.0602702759206295,0.5881156921386719,0.421726793050766,0.20488563179969788,0.155270516872406
What type of song sparrow is this bird?,Melospiza melodia,['desert'],[],0,"The song sparrow (Melospiza melodia) is a medium-sized New World sparrow. Among the native sparrows in North America, it is easily one of the most abundant, variable and adaptable species.",0.06501922011375427,0.009017368778586388,0.004573017358779907,0.36230894923210144,0.0029541349504143,0.010691320523619652,0.002955944277346134
How tall does this plant grow?,3.7 meters,['20 centimeters'],[],0,"The plant can grow to be between 3 and 3.7 metres (9.8 and 12.1 ft) tall. Its flowers are white, 4 to 5 centimetres (1.6 to 2.0 in) across, and its fruits ('hips') are red. It blooms in the summer (July in England, May–June in Bulgaria).",0.058106135576963425,0.00404204148799181,0.004122584126889706,0.0012105279602110386,0.002006783615797758,0.001545208739116788,0.0016302461735904217
What color is the undertail of both male and female this bird?,White,['white'],[],1,"It is sexually dimorphic, with males more brightly coloured. Both sexes have vivid, gingery green upperpart plumage. The tail feathers have a metallic blue-green gloss. The outer three rectices on each side are tipped and fringed white, giving the undertail of perched birds a characteristic white appearance (compare bar-tailed trogon). The wing coverts are a grizzled grey, and remiges mostly colourless grey. The male especially, has bright amaranth red underside plumage and bare, green gape and eye flanges. The female has brown face and chest plumage, blue skin orbiting the eyes and duller red plumage below. Immature birds resemble females, but have distinct white tips to the tertials (inner wing), and less distinct gape and eye flanges.",0.8583963513374329,0.3974887728691101,0.35051676630973816,0.08912684768438339,0.6707391738891602,0.30776411294937134,0.5554994344711304
"Other than foliage, what else is a cultivar of this tree selected for?",Flower,['habit'],[],0,"Away from its native range, the species is grown as an ornamental tree for its strongly fragrant flowers, throughout temperate regions of the world. A number of cultivars have been selected for their ornamental value, including 'Albomarginata', with variegated foliage, 'Bommii', a dwarf with strongly pendulous branches, 'Globosa', a compact dwarf clone, 'Pendula', with drooping branching, and 'Xanthocarpa' with yellow fruit.",0.39785265922546387,0.03268813341856003,0.027896298095583916,0.010545691475272179,0.11819106340408325,0.052956584841012955,0.01980810984969139
