question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,qwen_evqa_eva_clip_base_no_context,qwen_evqa_eva_clip_base_with_context,qwen_evqa_eva_clip_no_p_prime,qwen_evqa_eva_clip_no_p_q_i,qwen_evqa_eva_clip_no_p_q_c,qwen_evqa_eva_clip_no_p_q
What is the maximum number of flowers on a this plant stem?,75,['75'],[],1,"Draba cuneifolia is a species of flowering plant in the family Brassicaceae known as the wedgeleaf draba or wedgeleaf whitlow-grass. This annual plant is native to the southern half of North America where it grows in open, rocky fields and other disturbed areas. The plant forms a basal cluster of leaves, which are thick, widely toothed, and coated in stiff hairs. It bolts one or more erect stems which may approach 40 centimeters in maximum height. Each hairy stem bears an inflorescence of up to 75 small white flowers that continue at intervals down the stem as the stem grows in height. This family and its plants are easy to identify with its 4 petals and 4 sepals arranged like a ""cross"", either in an ""X"" or ""H"" shape, thus the name ""Cruciferae"". Mustards have 6 stamens usually 4 are taller and 2 are shorter. Fruits are either a long thin silique or short often rounded silicle.",0.9508969783782959,0.4994652569293976,0.35421597957611084,0.16048908233642578,0.19574369490146637,0.3384649157524109,0.2627946734428406
What is the botanical term for the male cones of this tree?,Microstrobilus,['stroboli'],[],0,"Nymboi-Binderay is a national park located in New South Wales, Australia, 444 kilometres (276 mi) north of Sydney. It is located north of the town of Dorrigo. This park surrounds the granite gorges and banks of the rugged Nymboida River. The Nymboida rapids are used by white water rafters. The park also contains sections of the Little Nymboida River and recreational areas at Cod Hole and The Junction. Rainforest and extensive old growth forest provide habitat for a variety of threatened fauna,  including 68 species of mammals, 33 species of reptiles, 25 species of amphibians and over 120 species of birds. It includes patches of the rare Dorrigo white gum.",0.6215149164199829,0.004678292665630579,0.02432303875684738,0.019500967115163803,0.02654477022588253,0.001111702062189579,0.03136511147022247
"Besides leioproctus, what is a pollinator of this plant?",Bees,['Melangyna novaezelandiae'],[],0,"Celmisia (New Zealand aster or New Zealand daisy) is a genus of  perennial herbs or subshrubs, in the family Asteraceae. Most of the species are endemic to New Zealand; several others are endemic to Australia. Species and nothospecies Celmisia ×boweana Petrie Celmisia ×christensenii Cockayne Celmisia ×compacta Cheeseman Celmisia ×flaccida Cockayne Celmisia ×lanigera Petrie Celmisia ×linearis J.B.Armstr. Celmisia ×mollis Cockayne Celmisia ×popelwellii Petrie Celmisia ×pseudolyallii (Cheeseman) Cockayne Celmisia adamsii Kirk Celmisia allanii W.Martin Celmisia alpina (Kirk) Cheeseman Celmisia angustifolia Cockayne Celmisia argentea Kirk Celmisia armstrongii Petrie Celmisia asteliifolia Hook.f. Celmisia bellidioides Hook.f. Celmisia bonplandii (Buchanan) Allan Celmisia brevifolia Cockayne Celmisia campbellensis F.R.Chapm. Celmisia cockayneana Petrie Celmisia cordatifolia Buchanan Celmisia coriacea (G.Forst.) Hook.f. Celmisia dallii Buchanan Celmisia densiflora Hook.f. Celmisia discolor Hook.f. Celmisia dubia Cheeseman Celmisia durietzii Cockayne Celmisia gibbsii Cheeseman Celmisia glabrescens Petrie Celmisia glandulosa Hook.f. Celmisia gracilenta Hook.f. Celmisia graminifolia Hook.f. Celmisia haastii Hook.f. Celmisia hectorii Hook.f. Celmisia hieraciifolia Hook.f. Celmisia holosericea (G.Forst.) Hook.f. Celmisia hookeri Cockayne Celmisia inaccessa Given Celmisia incana Hook.f. Celmisia insignis W.Martin Celmisia laricifolia Hook.f. Celmisia lateralis Buchanan Celmisia latifolia (F.Muell. ex Benth.) M.Gray & Given Celmisia lindsayi Hook.f. Celmisia longifolia Cass. Celmisia lyallii Hook.f. Celmisia mackaui Raoul Celmisia macmahonii Kirk Celmisia major Cheeseman Celmisia markii W.G.Lee & Given Celmisia monroi Hook.f. Celmisia morganii Cheeseman Celmisia morrisonii Cockayne Celmisia novae-zealandiae (Buchanan) Cheeseman Celmisia parva Kirk Celmisia petriei Cheeseman Celmisia philocremna Given Celmisia polyvena G.Simpson & J.S.Thomson Celmisia prorepens Petrie Celmisia pugi",0.9897666573524475,0.4992752969264984,0.2433544248342514,0.02584054134786129,0.0039845481514930725,0.1915215700864792,0.2172100841999054
Homeowners are doing what to gardens for this insect?,planting Eriogonum fasciculatum,['establishing'],[],0,"Eriogonum fasciculatum is cultivated as an ornamental plant, for planting in native plant, drought tolerant, and wildlife gardens, and for larger designed natural landscaping and habitat restoration projects. It is also used in hedgerows to increase the yield of crops, to mitigate post-fire areas, and for erosion control.",0.9663786292076111,0.3463863134384155,0.05380171909928322,0.0029492739122360945,0.0007658894173800945,0.021429073065519333,0.03362192586064339
What is martin artquest at this museum?,A permanent interactive gallery space.,['a permanent interactive gallery space'],[],0,"As a non-collecting museum, the Frist does not have a permanent collection; rather, the center focuses on creating exhibitions as well as securing traveling exhibitions from around the country and the world. Information regarding past, current and future exhibitions is found on the Frist's website. Each exhibition page contains detailed information about exhibition-related programs and an array of resources, including gallery guides, audio guides, videos and additional information from varying sources. Martin ArtQuest (MAQ) is a permanent interactive gallery space at the Frist Art Museum. The MAQ space consists of: a drawing station, a painting station, a printmaking station, a zoetrope station, a shadow theater, a stop-motion animation tool, an interactive Everbright wall composed of color-changing dials, a collaborative textile-weaving installation using a large six-sided art deco grid, a full-body-animated digital painting experience, and a sound pattern station which allows visitor to manipulate frequencies with sand on metal plates. MAQ is run by the Frist's Educational department, which is led by Anne Henderson, who is the Director of Education and Community Engagement.",0.9915071129798889,0.20957595109939575,0.0006573870196007192,0.004398402292281389,0.0003552229900378734,0.0005143203889019787,0.00223370548337698
In what us state is this plant considered a severe noxious weed?,California,['California'],[],1,"Genista corsica is an erect or spreading intricately branched shrub with stout lateral spreading spines, 20–100 cm tall. Leaves inconspicuous, simple, elliptical and slightly hairy beneath. Flowers yellow 7–12 mm long. Calyx teeth as long as tube. Pod narrow-oblong, 12–20 mm long constricted between the seeds. Flowers from May to June. Exposed rocky and bushy slopes in lowland and lower mountains.",0.9887943863868713,0.7216778993606567,0.3834856152534485,0.34090715646743774,0.32274001836776733,0.12249889969825745,0.4697767496109009
In what century was this castle founded?,13th century,['14th'],[],0,Jenštejn is known for ruins of Jenštejn Castle.,0.9804210662841797,0.09420269727706909,0.035346828401088715,0.002807795535773039,0.0004226543242111802,0.00689486600458622,0.028932824730873108
What are this bird considered?,Least concern,['specialized fruit-eaters'],[],0,"The golden-headed quetzal or corequenque (Pharomachrus auriceps) is a strikingly coloured bird in the genus Pharomachrus; it is also referred to as Trogon auriceps. It is found in moist mid-elevation forests from eastern Panama to northern Bolivia. The golden-headed quetzal is known for its iridescent green colour, which it shares with other quetzals, and its distinctive golden head. The female of the species is less brightly coloured, displaying more brown tones than the male. The golden-headed quetzal's diet consists mainly of fruit, and occasionally insects. It is generally a solitary and quiet bird unless it is breeding season, when the male and female become a monogamous pair and create a cavity nest in an old tree. During breeding season both sexes share brooding and feeding duties for 25–30 days until the chick is ready to fledge. The golden-headed quetzal is fairly common and considered a species of least concern.",0.8689931631088257,0.22011755406856537,0.09610354900360107,0.025641275569796562,0.033200349658727646,0.09588279575109482,0.14181923866271973
What is this plant commonly known as?,Texas yellow star,['Texas yellow star'],[],1,"Lindheimera texana, commonly known as Texas yellow star, is a species of flowering plant in the tribe Heliantheae within the family Asteraceae. It is found in the south-western United States (Oklahoma and Texas) and northern Mexico (Coahuila). Other common names include star daisy, Texas star and Lindheimer daisy,",0.9936075210571289,0.7833833694458008,0.339010089635849,0.22509175539016724,0.12397956103086472,0.4287550449371338,0.16644763946533203
"When did unprecedented levels of this seaweed wash up on the beaches of brittany, france?",2023,['August 2009'],[],0,"Aquatic plants are used to give the aquarium a natural appearance, oxygenate the water, and provide habitat for fish, especially fry (babies) and for invertebrates. Some aquarium fish and invertebrates also eat live plants. Hobby aquarists use aquatic plants for aquascaping. Marine algae are also included in this list for convenience, despite the fact that many species are technically classified as protists, not plants.",0.6771329641342163,0.16895692050457,0.19141492247581482,0.0980231910943985,0.2566189467906952,0.04214649647474289,0.17694416642189026
What is the maximum wing span of this bird?,Not specified in the text.,['32 cm'],[],0,"The International Ornithological Committee (IOC) recognizes 351 species in family Columbidae, the pigeons and doves. They are distributed among 50 genera. This list is presented according to the IOC taxonomic sequence and can also be sorted alphabetically by common name and binomial. It includes 13 extinct species. For a list of domesticated varieties, see List of pigeon breeds. The IOC breeding range descriptions use the following abbreviations for continents and other major geographic areas. AF: Africa AU: Australasia (New Guinea, Australia, New Zealand, the Solomon Islands, and the Bismarck Archipelago) EU: Eurasia (Europe and Asia to the Oriental Region boundary) IO: Indian Ocean MA: Middle America NA: North America OR: Oriental region (South Asia from Pakistan to Taiwan, southeast Asia, the Philippines, and Greater Sundas) PO: Polynesia (including Caroline and Mariana Islands) SA: South America",0.6059523224830627,0.0006074554985389113,0.0002756885951384902,0.00029356253799051046,0.00029893984901718795,0.0003368765173945576,0.0002872763725463301
phortse is off the main trekking circuit and therefore more resembles this village?,"No, Phortse is not off the main trekking circuit.",['an authentic Sherpa village'],[],0,"Tengboche has no road network, approach is only by trekking and consequently the living conditions in the village are abnormally expensive. Many tourists visit the village as part of their trekking route and it provides the main approach to the base camp for the national and international mountaineering community who trek to Mt. Everest and other mountains in the Kumbu region. It is reported that only 50 monks and five families permanently live in the Tengboche village. However, in the short span of 5 tourist months, thousands of tourists and trekkers visit (25,000 tourists were reported during 1999) the Sagarmatha National Park  and village has numerous buildings of accommodation for guests. On their way to the high altitude trekking, it is recommended tourists spend two days in Tengboche for acclimatization before undertaking the High altitude trekking or mountaineering to the Himalayan peaks. Consequently, this puts heavy burden on the village community and on the Monastery administration, particularly on the meagre facilities of water, electricity, food and sanitation available in the village. To improve the economy of the village and the Tengboche Monastic community, a practical solution has been evolved by setting up the Tengboche Development Project, which concentrates on the services to be provided in Tengboche, more used by the tourists, such as water and sanitation. To sustain the economic conditions in the village, which largely caters to the trekkers from various parts of the world, tourists and trekkers have been urged to offer donations to the Tengboche Development Project. Funds made available would enable employing the local people in various development activities. However, help in respect of special skills such as in the Eco-Center or medical herb plantation activities would still be required. Sherpas (meaning the ""easterner""), form the majority community in the village and in the Kumbu region, and they are closely involved in the form of support s",0.6970979571342468,0.0007704021991230547,0.00028651542379520833,0.00029433489544317126,0.0002864449634216726,0.0003189793787896633,0.0003153581346850842
What can reverse the dormancy of this plant's seeds?,Moisture,['higher temperatures'],[],0,"Achillea alpina is a perennial herb up to 80 cm (2 feet) tall. Flowers are white to pale violet, with both ray florets and disc florets. The foliage is simply pinnatifid with narrow closely set segments. Subspecies and varieties Achillea alpina subsp. camtschatica (Heimerl) Kitam. Achillea alpina var. discoidea (Regel) Kitam. Achillea alpina subsp. japonica (Heimerl) Kitam. Achillea alpina subsp. pulchra (Koidz.) Kitam. Achillea alpina subsp. subcartilaginea (Heimerl) Kitam. This species is found growing in thickets and along shorelines in northwestern North America and it reaches its most southernly distribution in northern Minnesota near the Canadian border where isolated populations are found growing in a peat meadows at the margins of aspen trees, open woods, woodland edges, stream banks, and roadsides. In Minnesota it is was listed as a threatened species in 1996.",0.9396795630455017,0.35792362689971924,0.14630237221717834,0.1719561219215393,0.2255563884973526,0.15434953570365906,0.15503334999084473
How are the leaves of this plant similar to maple leaves?,Pinnate.,['superficially'],[],0,"Crataegus pinnatifida, also known as mountain hawthorn, Chinese haw, Chinese hawthorn or Chinese hawberry, refers to a small to medium-sized tree, as well as the fruit of the tree. The fruit is bright red, 1.5 in (38 mm) in diameter.",0.9422916173934937,0.23133660852909088,0.000517886655870825,0.00032163914875127375,0.000322760664857924,0.000355469441274181,0.0006589379045180976
goldcrests will occasionally feed on the ground among this?,"No, goldcrests typically do not feed on the ground; they are arboreal and feed primarily in trees and shrubs.",['leaf-litter'],[],0,"Order: Passeriformes   Family: Nectariniidae The sunbirds and spiderhunters are very small passerine birds which feed largely on nectar, although they will also take insects, especially when feeding young. Flight is fast and direct on their short wings. Most species can take nectar by hovering like a hummingbird, but usually perch to feed. Purple sunbird, Cinnyris asiaticus Crimson sunbird, Aethopyga siparaja Mrs Gould's sunbird, Aethopyga gouldiae",0.5959022641181946,0.0006384005537256598,0.00026211680960841477,0.00028525482048280537,0.00026300176978111267,0.00031070291879586875,0.0002570731157902628
This wilderness was at the southern what of Rohrbaugh Plains?,Komado wetlands is located at the southern end of Rohrbaugh Plains.,['end'],[],0,Komado wetlands,0.7799361348152161,0.0006995038129389286,0.00026241212617605925,0.0002845865674316883,0.0002793054445646703,0.00029970062314532697,0.00028488002135418355
What is the status of this bird in the milder parts of its range?,Common,['resident'],[],0,The great horned owl is the provincial bird of Alberta.,0.8992175459861755,0.44802194833755493,0.43117740750312805,0.6418441534042358,0.4569636583328247,0.2509395182132721,0.48483866453170776
What kind of georgian plan does this building follow?,Symmetrical,['traditional'],[],0,"Between 1803 and 1806, Ives hired Caleb Ormsbee to build him a family home at 66 Power Street in the College Hill in Providence, Rhode Island. The 3-1/2 story brick house, remained in the hands of the Ives family until 1910. At that time it was sold to Brown University, retaining a lifetime occupancy right for owners. In 1970, the residence was designated a National Historic Landmark. Ives' desk-and-bookcase is currently in a private collection. It was made by the cabinetmaker James Halyburton in Providence.",0.8950285911560059,0.15264439582824707,0.17282037436962128,0.25545352697372437,0.14241421222686768,0.08143407106399536,0.16618801653385162
What part of the plant is similar between ipomoea quamoclit and this plant?,flower shape,['flowers'],[],0,Ipomea × multifida is a hybridogenic species. Its ancestors are I. coccinea and I. quamoclit (the cypress vine). Its allotetraploid is Ipomoea sloteri. Both are known as cardinal climber.,0.8194164633750916,0.13319242000579834,0.018304606899619102,0.0209275521337986,0.051952119916677475,0.0004282998852431774,0.05264928936958313
What is another name for this bird?,Great Egret,['median egret'],[],0,Kolhapur (KLH) (Maharashatra) Belgaum (IXG) (Karnataka),0.5378046035766602,0.00391283817589283,0.019067222252488136,0.0179945919662714,0.011488101445138454,0.00931208860129118,0.023516179993748665
What genus is this tree in?,Aphananthe,['Quercus'],[],0,"Aphananthe aspera, commonly known as scabrous aphananthe or muku tree, is a flowering plant in the family Cannabaceae. It is found on slopes and stream banks between 100 and 1600 m. It is native to China, Taiwan, Japan, Korea, and Vietnam.",0.9916208982467651,0.8980402946472168,0.5289654731750488,0.5213112831115723,0.6847735047340393,0.5786610245704651,0.7106875777244568
How many petal-like sepals do the flowers of this plant have?,22-25,['6 to 12'],[],0,"American lotus is an emergent aquatic plant.  It grows in lakes and swamps, as well as areas subject to flooding.  The roots are anchored in the mud, but the leaves and flowers emerge above the water's surface.  The petioles of the leaves may extend as much as 2 m (6.6 ft) and end in a round leaf blade 33–43 cm (13–17 in) in diameter. Mature plants range in height from 0.8 to 1.5 m (2.6 to 4.9 ft). Flowering begins in late spring and may continue into the summer.  The specific name means ""yellow"" in Latin and refers to the flowers, which may be white to pale yellow. The flowers measure 18–28 cm (7.1–11.0 in) in diameter and have 22-25 petals. It is the larval host plant of the American lotus borer, Ostrinia penitalis. However, Nelumbo lutea populations are declining in the U.S. due to habitat destruction, and it has been listed as threatened or endangered in New Jersey, Michigan, and Pennsylvania, and extirpated in Delaware. Their populations have a low level of genetic diversity, showing variation among different populations rather than within populations.",0.9846197962760925,0.34822535514831543,0.31748124957084656,0.03365608677268028,0.03807985782623291,0.0017966622253879905,0.33996477723121643
How long does it take this bird to recover on the surface?,Not applicable — the bird is not described as needing recovery time on the surface.,['5 to 10 seconds'],[],0,"The Ngoyla Faunal Reserve was officially created by the MINFOF (Ministry of Forestry and Wildlife) in 2014 with the support of WWF. It is found in the south-central part of the Ngoyla-Mintom massif. The climate of the reserve is tropical with two wet and two dry seasons. The annual precipitation is 1,500 mm in the northern, and 2,000 mm in the southern area, the average annual temperature is 24-25 °C due to the elevation (500-600 meters a.s.l.). Characteristic vegetation types are humid evergreen rainforests (82%), swamp forests (15%), natural forest clearances (2%), and secondary forest-farmbush mosaics (1%). Its biodiversity is notable; 230 fish, 280 bird, and 37 large and medium-sized mammal species have been recorded. Notable mammal species are the African forest elephant (Loxodonta cyclotis), western lowland gorilla (Gorilla gorilla gorilla), central chimpanzee (Pan troglodytes troglodytes), mandrill (Mandrillus sphinx), leopard (Panthera pardus), African forest buffalo (Syncerus caffer nanus), western bongo (Tragelaphus eurycerus), sitatunga (Tragelaphus spekii), and forest duikers. Besides the high density and diversity of forest animals, the Ngolya Faunal Reserve is an important corridor to migrating species, such as forest elephants by connecting the Dja Faunal Reserve, the Nki National Park, and the Minkébé National Park of Gabon, due to its location within the TRIDOM complex.",0.2412930577993393,0.0006539772730320692,0.0002643439220264554,0.000285904185147956,0.0003104000352323055,0.0003129694960080087,0.00025750434724614024
Where is this nuraghe considered unique?,North-East Sardinia,['North-East Sardinia'],[],1,"The Nuraghe La Prisgiona is a  nuragic archaeological site (occupied from the 14th until the 9th century B.C.), located in the Capichera valley in the municipality of Arzachena Costa Smeralda in the north of Sardinia. It consists of a nuraghe and a village comprising around 90-100 buildings, spread across 5 hectares. Findings from this site are in many cases unique in Sardinia, particularly with regard to decoration and use. Due to the large extent and number of buildings the site is considered unique in North-East Sardinia. There is also some evidence for occupation during Roman and medieval times. The Giants' grave Coddu Vecchiu is located nearby.",0.9857932925224304,0.28178343176841736,0.12134936451911926,0.006232777144759893,0.017648646607995033,0.6027291417121887,0.04290508106350899
What type of virus can attack this tree?,Almond mosaic virus,['plant viruses'],[],0,"Almond trees can be attacked by an array of damaging microbes, fungal pathogens, plant viruses, and bacteria.",0.8238148093223572,0.00626924866810441,0.007860587909817696,0.0016271098284050822,0.0003425906761549413,0.0010168511653319001,0.039751362055540085
What kind of quail can be found in this nature reserve?,European quail,['common'],[],0,Protected areas in Lublin Voivodeship include two National Parks and 17 Landscape Parks. These are listed below. Polesie National Park (this and surrounding areas form the West Polesie biosphere reserve designated by UNESCO in 2002) Roztocze National Park Chełm Landscape Park Janów Forests Landscape Park (partly in Subcarpathian Voivodeship) Kazimierz Landscape Park Kozłówka Landscape Park Krasnobród Landscape Park Krzczonów Landscape Park Łęczna Lake District Landscape Park Podlaskie Bug Gorge Landscape Park (partly in Masovian Voivodeship) Polesie Landscape Park Puszcza Solska Landscape Park (partly in Subcarpathian Voivodeship) Skierbieszów Landscape Park Sobibór Landscape Park South Roztocze Landscape Park (partly in Subcarpathian Voivodeship) Strzelce Landscape Park Szczebrzeszyn Landscape Park Wieprz Landscape Park Wrzelowiec Landscape Park,0.9225056767463684,0.0006212646258063614,0.004773275926709175,0.01238305028527975,0.003213331801816821,0.0005564672173932195,0.015098140574991703
What was erratic about this theatre?,Nothing erratic about it.,['existence'],[],0,"Life on the Refrigerator Door has been successfully adapted for stage in three languages. It was first adapted and directed by Amy Draper in 2014 at the Yard Theatre in Hackney Wick, London, England, starring Cassandra Bond and Angela Clerkin. In March 2016, it was staged in Paris, France under the name Je T'ai Laisse Un Mot Sur Le Frigo at the Théâtre de Paris  in the Salle Réjane. The play was adapted and directed by Marie-Pascale Osterrieth and starred Michèle Bernier and Charlotte Gaccio. The building which houses the current Théâtre de Paris was first built in 1730, and later converted to the New Theater in 1891 where the works of playwrights such as Henrik Ibsen have been presented. The story was staged in Japan in June 2016 under the name Reizōko no Ue no Jinsei at the Sogetsu Hall Theater in Tokyo and at the Hyogo Performing Arts Center in Nishinomiya, Hyogo Prefecture. The adaptation was by Noriko Sanya and the play was directed by Shatama Sakae with music direction by Yasuhiro Kasamatsu.",0.7104835510253906,0.0006039571017026901,0.0002757427282631397,0.00031914515420794487,0.0002864829439204186,0.00032407601247541606,0.00027913530357182026
In what country is this temple located?,Taiwan,['Taiwan'],[],1,The temple was first constructed in 1685 and was rebuilt in 1783. It was listed as third-class historical building by the Ministry of the Interior in 1985.,0.9941062927246094,0.9039145112037659,0.29761502146720886,0.3866422474384308,0.7030432224273682,0.5856539011001587,0.890787661075592
