question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_evqa_eva_clip_base_no_context,llava_evqa_eva_clip_base_with_context,llava_evqa_eva_clip_no_p_prime,llava_evqa_eva_clip_no_p_q_i,llava_evqa_eva_clip_no_p_q_c,llava_evqa_eva_clip_no_p_q
What is the maximum number of flowers on a this plant stem?,75,['75'],[],1,"Draba cuneifolia is a species of flowering plant in the family Brassicaceae known as the wedgeleaf draba or wedgeleaf whitlow-grass. This annual plant is native to the southern half of North America where it grows in open, rocky fields and other disturbed areas. The plant forms a basal cluster of leaves, which are thick, widely toothed, and coated in stiff hairs. It bolts one or more erect stems which may approach 40 centimeters in maximum height. Each hairy stem bears an inflorescence of up to 75 small white flowers that continue at intervals down the stem as the stem grows in height. This family and its plants are easy to identify with its 4 petals and 4 sepals arranged like a ""cross"", either in an ""X"" or ""H"" shape, thus the name ""Cruciferae"". Mustards have 6 stamens usually 4 are taller and 2 are shorter. Fruits are either a long thin silique or short often rounded silicle.",0.30169588327407837,0.39418429136276245,0.5723040103912354,0.30715808272361755,0.43822646141052246,0.5721969604492188,0.43585526943206787
What is the botanical term for the male cones of this tree?,Strobilus,['stroboli'],[],0,"Nymboi-Binderay is a national park located in New South Wales, Australia, 444 kilometres (276 mi) north of Sydney. It is located north of the town of Dorrigo. This park surrounds the granite gorges and banks of the rugged Nymboida River. The Nymboida rapids are used by white water rafters. The park also contains sections of the Little Nymboida River and recreational areas at Cod Hole and The Junction. Rainforest and extensive old growth forest provide habitat for a variety of threatened fauna,  including 68 species of mammals, 33 species of reptiles, 25 species of amphibians and over 120 species of birds. It includes patches of the rare Dorrigo white gum.",0.04829377681016922,0.043985482305288315,0.049559712409973145,0.08102474361658096,0.05501952022314072,0.08030976355075836,0.10777618736028671
"Besides leioproctus, what is a pollinator of this plant?",Bee,['Melangyna novaezelandiae'],[],0,"Celmisia (New Zealand aster or New Zealand daisy) is a genus of  perennial herbs or subshrubs, in the family Asteraceae. Most of the species are endemic to New Zealand; several others are endemic to Australia. Species and nothospecies Celmisia ×boweana Petrie Celmisia ×christensenii Cockayne Celmisia ×compacta Cheeseman Celmisia ×flaccida Cockayne Celmisia ×lanigera Petrie Celmisia ×linearis J.B.Armstr. Celmisia ×mollis Cockayne Celmisia ×popelwellii Petrie Celmisia ×pseudolyallii (Cheeseman) Cockayne Celmisia adamsii Kirk Celmisia allanii W.Martin Celmisia alpina (Kirk) Cheeseman Celmisia angustifolia Cockayne Celmisia argentea Kirk Celmisia armstrongii Petrie Celmisia asteliifolia Hook.f. Celmisia bellidioides Hook.f. Celmisia bonplandii (Buchanan) Allan Celmisia brevifolia Cockayne Celmisia campbellensis F.R.Chapm. Celmisia cockayneana Petrie Celmisia cordatifolia Buchanan Celmisia coriacea (G.Forst.) Hook.f. Celmisia dallii Buchanan Celmisia densiflora Hook.f. Celmisia discolor Hook.f. Celmisia dubia Cheeseman Celmisia durietzii Cockayne Celmisia gibbsii Cheeseman Celmisia glabrescens Petrie Celmisia glandulosa Hook.f. Celmisia gracilenta Hook.f. Celmisia graminifolia Hook.f. Celmisia haastii Hook.f. Celmisia hectorii Hook.f. Celmisia hieraciifolia Hook.f. Celmisia holosericea (G.Forst.) Hook.f. Celmisia hookeri Cockayne Celmisia inaccessa Given Celmisia incana Hook.f. Celmisia insignis W.Martin Celmisia laricifolia Hook.f. Celmisia lateralis Buchanan Celmisia latifolia (F.Muell. ex Benth.) M.Gray & Given Celmisia lindsayi Hook.f. Celmisia longifolia Cass. Celmisia lyallii Hook.f. Celmisia mackaui Raoul Celmisia macmahonii Kirk Celmisia major Cheeseman Celmisia markii W.G.Lee & Given Celmisia monroi Hook.f. Celmisia morganii Cheeseman Celmisia morrisonii Cockayne Celmisia novae-zealandiae (Buchanan) Cheeseman Celmisia parva Kirk Celmisia petriei Cheeseman Celmisia philocremna Given Celmisia polyvena G.Simpson & J.S.Thomson Celmisia prorepens Petrie Celmisia pugi",0.9254632592201233,0.17732515931129456,0.05164239555597305,0.07557015120983124,0.039993178099393845,0.08833491802215576,0.2724200487136841
Homeowners are doing what to gardens for this insect?,Plant,['establishing'],[],0,"Eriogonum fasciculatum is cultivated as an ornamental plant, for planting in native plant, drought tolerant, and wildlife gardens, and for larger designed natural landscaping and habitat restoration projects. It is also used in hedgerows to increase the yield of crops, to mitigate post-fire areas, and for erosion control.",0.4228053092956543,0.008326205424964428,0.0048614684492349625,0.02066146954894066,0.025423510000109673,0.08299391716718674,0.05192241445183754
What is martin artquest at this museum?,Art station,['a permanent interactive gallery space'],[],0,"As a non-collecting museum, the Frist does not have a permanent collection; rather, the center focuses on creating exhibitions as well as securing traveling exhibitions from around the country and the world. Information regarding past, current and future exhibitions is found on the Frist's website. Each exhibition page contains detailed information about exhibition-related programs and an array of resources, including gallery guides, audio guides, videos and additional information from varying sources. Martin ArtQuest (MAQ) is a permanent interactive gallery space at the Frist Art Museum. The MAQ space consists of: a drawing station, a painting station, a printmaking station, a zoetrope station, a shadow theater, a stop-motion animation tool, an interactive Everbright wall composed of color-changing dials, a collaborative textile-weaving installation using a large six-sided art deco grid, a full-body-animated digital painting experience, and a sound pattern station which allows visitor to manipulate frequencies with sand on metal plates. MAQ is run by the Frist's Educational department, which is led by Anne Henderson, who is the Director of Education and Community Engagement.",0.492423415184021,0.003680190537124872,0.00734164472669363,0.051188062876462936,0.025198206305503845,0.0731121301651001,0.019520435482263565
In what us state is this plant considered a severe noxious weed?,California,['California'],[],1,"Genista corsica is an erect or spreading intricately branched shrub with stout lateral spreading spines, 20–100 cm tall. Leaves inconspicuous, simple, elliptical and slightly hairy beneath. Flowers yellow 7–12 mm long. Calyx teeth as long as tube. Pod narrow-oblong, 12–20 mm long constricted between the seeds. Flowers from May to June. Exposed rocky and bushy slopes in lowland and lower mountains.",0.9218305349349976,0.23148967325687408,0.3731110394001007,0.13663651049137115,0.2118401974439621,0.3076825737953186,0.2253059446811676
In what century was this castle founded?,14th,['14th'],[],1,Jenštejn is known for ruins of Jenštejn Castle.,0.22453704476356506,0.27453184127807617,0.24326924979686737,0.05433042347431183,0.12364424020051956,0.284237802028656,0.28543782234191895
What are this bird considered?,Least concern,['specialized fruit-eaters'],[],0,"The golden-headed quetzal or corequenque (Pharomachrus auriceps) is a strikingly coloured bird in the genus Pharomachrus; it is also referred to as Trogon auriceps. It is found in moist mid-elevation forests from eastern Panama to northern Bolivia. The golden-headed quetzal is known for its iridescent green colour, which it shares with other quetzals, and its distinctive golden head. The female of the species is less brightly coloured, displaying more brown tones than the male. The golden-headed quetzal's diet consists mainly of fruit, and occasionally insects. It is generally a solitary and quiet bird unless it is breeding season, when the male and female become a monogamous pair and create a cavity nest in an old tree. During breeding season both sexes share brooding and feeding duties for 25–30 days until the chick is ready to fledge. The golden-headed quetzal is fairly common and considered a species of least concern.",0.4611755609512329,0.3620119094848633,0.37105828523635864,0.5200479626655579,0.08279522508382797,0.43994587659835815,0.30524611473083496
What is this plant commonly known as?,Star daisy,['Texas yellow star'],[],0,"Lindheimera texana, commonly known as Texas yellow star, is a species of flowering plant in the tribe Heliantheae within the family Asteraceae. It is found in the south-western United States (Oklahoma and Texas) and northern Mexico (Coahuila). Other common names include star daisy, Texas star and Lindheimer daisy,",0.3819020986557007,0.11176636815071106,0.007906648330390453,0.021408315747976303,0.04255629703402519,0.4952566623687744,0.059189897030591965
"When did unprecedented levels of this seaweed wash up on the beaches of brittany, france?",2012,['August 2009'],[],0,"Aquatic plants are used to give the aquarium a natural appearance, oxygenate the water, and provide habitat for fish, especially fry (babies) and for invertebrates. Some aquarium fish and invertebrates also eat live plants. Hobby aquarists use aquatic plants for aquascaping. Marine algae are also included in this list for convenience, despite the fact that many species are technically classified as protists, not plants.",0.048817090690135956,0.01917826384305954,0.025282228365540504,0.045668333768844604,0.03349491208791733,0.08259794116020203,0.017667794600129128
What is the maximum wing span of this bird?,10 feet,['32 cm'],[],0,"The International Ornithological Committee (IOC) recognizes 351 species in family Columbidae, the pigeons and doves. They are distributed among 50 genera. This list is presented according to the IOC taxonomic sequence and can also be sorted alphabetically by common name and binomial. It includes 13 extinct species. For a list of domesticated varieties, see List of pigeon breeds. The IOC breeding range descriptions use the following abbreviations for continents and other major geographic areas. AF: Africa AU: Australasia (New Guinea, Australia, New Zealand, the Solomon Islands, and the Bismarck Archipelago) EU: Eurasia (Europe and Asia to the Oriental Region boundary) IO: Indian Ocean MA: Middle America NA: North America OR: Oriental region (South Asia from Pakistan to Taiwan, southeast Asia, the Philippines, and Greater Sundas) PO: Polynesia (including Caroline and Mariana Islands) SA: South America",0.10052446275949478,0.0010749481152743101,0.006506423931568861,0.007738430518656969,0.004307350143790245,0.02644886076450348,0.004653455689549446
phortse is off the main trekking circuit and therefore more resembles this village?,Tengboche,['an authentic Sherpa village'],[],0,"Tengboche has no road network, approach is only by trekking and consequently the living conditions in the village are abnormally expensive. Many tourists visit the village as part of their trekking route and it provides the main approach to the base camp for the national and international mountaineering community who trek to Mt. Everest and other mountains in the Kumbu region. It is reported that only 50 monks and five families permanently live in the Tengboche village. However, in the short span of 5 tourist months, thousands of tourists and trekkers visit (25,000 tourists were reported during 1999) the Sagarmatha National Park  and village has numerous buildings of accommodation for guests. On their way to the high altitude trekking, it is recommended tourists spend two days in Tengboche for acclimatization before undertaking the High altitude trekking or mountaineering to the Himalayan peaks. Consequently, this puts heavy burden on the village community and on the Monastery administration, particularly on the meagre facilities of water, electricity, food and sanitation available in the village. To improve the economy of the village and the Tengboche Monastic community, a practical solution has been evolved by setting up the Tengboche Development Project, which concentrates on the services to be provided in Tengboche, more used by the tourists, such as water and sanitation. To sustain the economic conditions in the village, which largely caters to the trekkers from various parts of the world, tourists and trekkers have been urged to offer donations to the Tengboche Development Project. Funds made available would enable employing the local people in various development activities. However, help in respect of special skills such as in the Eco-Center or medical herb plantation activities would still be required. Sherpas (meaning the ""easterner""), form the majority community in the village and in the Kumbu region, and they are closely involved in the form of support s",0.21634794771671295,0.053798213601112366,0.05700259283185005,0.235275000333786,0.03511708602309227,0.14880645275115967,0.04872644320130348
What can reverse the dormancy of this plant's seeds?,Sunlight,['higher temperatures'],[],0,"Achillea alpina is a perennial herb up to 80 cm (2 feet) tall. Flowers are white to pale violet, with both ray florets and disc florets. The foliage is simply pinnatifid with narrow closely set segments. Subspecies and varieties Achillea alpina subsp. camtschatica (Heimerl) Kitam. Achillea alpina var. discoidea (Regel) Kitam. Achillea alpina subsp. japonica (Heimerl) Kitam. Achillea alpina subsp. pulchra (Koidz.) Kitam. Achillea alpina subsp. subcartilaginea (Heimerl) Kitam. This species is found growing in thickets and along shorelines in northwestern North America and it reaches its most southernly distribution in northern Minnesota near the Canadian border where isolated populations are found growing in a peat meadows at the margins of aspen trees, open woods, woodland edges, stream banks, and roadsides. In Minnesota it is was listed as a threatened species in 1996.",0.16235779225826263,0.006805555894970894,0.026734694838523865,0.06913502514362335,0.015830498188734055,0.1345822811126709,0.054543882608413696
How are the leaves of this plant similar to maple leaves?,Shape,['superficially'],[],0,"Crataegus pinnatifida, also known as mountain hawthorn, Chinese haw, Chinese hawthorn or Chinese hawberry, refers to a small to medium-sized tree, as well as the fruit of the tree. The fruit is bright red, 1.5 in (38 mm) in diameter.",0.18116314709186554,0.006028176750987768,0.04035988450050354,0.03335558995604515,0.033250171691179276,0.012720216996967793,0.016564086079597473
goldcrests will occasionally feed on the ground among this?,Yes,['leaf-litter'],[],0,"Order: Passeriformes   Family: Nectariniidae The sunbirds and spiderhunters are very small passerine birds which feed largely on nectar, although they will also take insects, especially when feeding young. Flight is fast and direct on their short wings. Most species can take nectar by hovering like a hummingbird, but usually perch to feed. Purple sunbird, Cinnyris asiaticus Crimson sunbird, Aethopyga siparaja Mrs Gould's sunbird, Aethopyga gouldiae",0.7965492010116577,0.0009315392817370594,0.0014410190051421523,0.00135264010168612,0.0021426903549581766,0.0026130066253244877,0.0046567851677536964
This wilderness was at the southern what of Rohrbaugh Plains?,Yes,['end'],[],0,Komado wetlands,0.9551753997802734,0.0010985939297825098,0.001376999425701797,0.0012903418391942978,0.0016615702770650387,0.0017778541659936309,0.004188402555882931
What is the status of this bird in the milder parts of its range?,Resident,['resident'],[],1,The great horned owl is the provincial bird of Alberta.,0.2812168002128601,0.35240858793258667,0.017875414341688156,0.10309289395809174,0.08434444665908813,0.10557744652032852,0.15161347389221191
What kind of georgian plan does this building follow?,3 story,['traditional'],[],0,"Between 1803 and 1806, Ives hired Caleb Ormsbee to build him a family home at 66 Power Street in the College Hill in Providence, Rhode Island. The 3-1/2 story brick house, remained in the hands of the Ives family until 1910. At that time it was sold to Brown University, retaining a lifetime occupancy right for owners. In 1970, the residence was designated a National Historic Landmark. Ives' desk-and-bookcase is currently in a private collection. It was made by the cabinetmaker James Halyburton in Providence.",0.39892327785491943,0.0009162861970253289,0.0015338981756940484,0.0021926965564489365,0.001953202998265624,0.0033214378636330366,0.006269477307796478
What part of the plant is similar between ipomoea quamoclit and this plant?,Flower,['flowers'],[],0,Ipomea × multifida is a hybridogenic species. Its ancestors are I. coccinea and I. quamoclit (the cypress vine). Its allotetraploid is Ipomoea sloteri. Both are known as cardinal climber.,0.39835917949676514,0.10219468921422958,0.12574289739131927,0.13303858041763306,0.09647922962903976,0.23932085931301117,0.16952882707118988
What is another name for this bird?,Stork,['median egret'],[],0,Kolhapur (KLH) (Maharashatra) Belgaum (IXG) (Karnataka),0.3656286299228668,0.02962329424917698,0.028168505057692528,0.042093053460121155,0.001454956829547882,0.07457783818244934,0.007572850212454796
What genus is this tree in?,Aphananthe,['Quercus'],[],0,"Aphananthe aspera, commonly known as scabrous aphananthe or muku tree, is a flowering plant in the family Cannabaceae. It is found on slopes and stream banks between 100 and 1600 m. It is native to China, Taiwan, Japan, Korea, and Vietnam.",0.5135025978088379,0.41482219099998474,0.21673455834388733,0.11517282575368881,0.1068502813577652,0.39510607719421387,0.1703062206506729
How many petal-like sepals do the flowers of this plant have?,22,['6 to 12'],[],0,"American lotus is an emergent aquatic plant.  It grows in lakes and swamps, as well as areas subject to flooding.  The roots are anchored in the mud, but the leaves and flowers emerge above the water's surface.  The petioles of the leaves may extend as much as 2 m (6.6 ft) and end in a round leaf blade 33–43 cm (13–17 in) in diameter. Mature plants range in height from 0.8 to 1.5 m (2.6 to 4.9 ft). Flowering begins in late spring and may continue into the summer.  The specific name means ""yellow"" in Latin and refers to the flowers, which may be white to pale yellow. The flowers measure 18–28 cm (7.1–11.0 in) in diameter and have 22-25 petals. It is the larval host plant of the American lotus borer, Ostrinia penitalis. However, Nelumbo lutea populations are declining in the U.S. due to habitat destruction, and it has been listed as threatened or endangered in New Jersey, Michigan, and Pennsylvania, and extirpated in Delaware. Their populations have a low level of genetic diversity, showing variation among different populations rather than within populations.",0.09182621538639069,0.006350300274789333,0.012198561802506447,0.004135795868933201,0.005373281892389059,0.0065212976187467575,0.01413142029196024
How long does it take this bird to recover on the surface?,10 minutes,['5 to 10 seconds'],[],0,"The Ngoyla Faunal Reserve was officially created by the MINFOF (Ministry of Forestry and Wildlife) in 2014 with the support of WWF. It is found in the south-central part of the Ngoyla-Mintom massif. The climate of the reserve is tropical with two wet and two dry seasons. The annual precipitation is 1,500 mm in the northern, and 2,000 mm in the southern area, the average annual temperature is 24-25 °C due to the elevation (500-600 meters a.s.l.). Characteristic vegetation types are humid evergreen rainforests (82%), swamp forests (15%), natural forest clearances (2%), and secondary forest-farmbush mosaics (1%). Its biodiversity is notable; 230 fish, 280 bird, and 37 large and medium-sized mammal species have been recorded. Notable mammal species are the African forest elephant (Loxodonta cyclotis), western lowland gorilla (Gorilla gorilla gorilla), central chimpanzee (Pan troglodytes troglodytes), mandrill (Mandrillus sphinx), leopard (Panthera pardus), African forest buffalo (Syncerus caffer nanus), western bongo (Tragelaphus eurycerus), sitatunga (Tragelaphus spekii), and forest duikers. Besides the high density and diversity of forest animals, the Ngolya Faunal Reserve is an important corridor to migrating species, such as forest elephants by connecting the Dja Faunal Reserve, the Nki National Park, and the Minkébé National Park of Gabon, due to its location within the TRIDOM complex.",0.07830826193094254,0.00863436795771122,0.005836783442646265,0.005510339979082346,0.0027727687265723944,0.01347245741635561,0.01594693586230278
Where is this nuraghe considered unique?,North east sardinia,['North-East Sardinia'],[],0,"The Nuraghe La Prisgiona is a  nuragic archaeological site (occupied from the 14th until the 9th century B.C.), located in the Capichera valley in the municipality of Arzachena Costa Smeralda in the north of Sardinia. It consists of a nuraghe and a village comprising around 90-100 buildings, spread across 5 hectares. Findings from this site are in many cases unique in Sardinia, particularly with regard to decoration and use. Due to the large extent and number of buildings the site is considered unique in North-East Sardinia. There is also some evidence for occupation during Roman and medieval times. The Giants' grave Coddu Vecchiu is located nearby.",0.22002854943275452,0.10934312641620636,0.06894281506538391,0.019739167764782906,0.6156942248344421,0.4614008069038391,0.342111736536026
What type of virus can attack this tree?,Plant,['plant viruses'],[],0,"Almond trees can be attacked by an array of damaging microbes, fungal pathogens, plant viruses, and bacteria.",0.517808735370636,0.002958314958959818,0.012061163783073425,0.019157281145453453,0.0028517204336822033,0.04441406577825546,0.01614288054406643
What kind of quail can be found in this nature reserve?,Quail,['common'],[],0,Protected areas in Lublin Voivodeship include two National Parks and 17 Landscape Parks. These are listed below. Polesie National Park (this and surrounding areas form the West Polesie biosphere reserve designated by UNESCO in 2002) Roztocze National Park Chełm Landscape Park Janów Forests Landscape Park (partly in Subcarpathian Voivodeship) Kazimierz Landscape Park Kozłówka Landscape Park Krasnobród Landscape Park Krzczonów Landscape Park Łęczna Lake District Landscape Park Podlaskie Bug Gorge Landscape Park (partly in Masovian Voivodeship) Polesie Landscape Park Puszcza Solska Landscape Park (partly in Subcarpathian Voivodeship) Skierbieszów Landscape Park Sobibór Landscape Park South Roztocze Landscape Park (partly in Subcarpathian Voivodeship) Strzelce Landscape Park Szczebrzeszyn Landscape Park Wieprz Landscape Park Wrzelowiec Landscape Park,0.8949816226959229,0.035430289804935455,0.0499531552195549,0.034296710044145584,0.03839948773384094,0.07454085350036621,0.0938822478055954
What was erratic about this theatre?,Nothing,['existence'],[],0,"Life on the Refrigerator Door has been successfully adapted for stage in three languages. It was first adapted and directed by Amy Draper in 2014 at the Yard Theatre in Hackney Wick, London, England, starring Cassandra Bond and Angela Clerkin. In March 2016, it was staged in Paris, France under the name Je T'ai Laisse Un Mot Sur Le Frigo at the Théâtre de Paris  in the Salle Réjane. The play was adapted and directed by Marie-Pascale Osterrieth and starred Michèle Bernier and Charlotte Gaccio. The building which houses the current Théâtre de Paris was first built in 1730, and later converted to the New Theater in 1891 where the works of playwrights such as Henrik Ibsen have been presented. The story was staged in Japan in June 2016 under the name Reizōko no Ue no Jinsei at the Sogetsu Hall Theater in Tokyo and at the Hyogo Performing Arts Center in Nishinomiya, Hyogo Prefecture. The adaptation was by Noriko Sanya and the play was directed by Shatama Sakae with music direction by Yasuhiro Kasamatsu.",0.3827687203884125,0.001356435357593,0.001943559618666768,0.001807250315323472,0.006260402034968138,0.003220068523660302,0.011049403809010983
In what country is this temple located?,China,['Taiwan'],[],0,The temple was first constructed in 1685 and was rebuilt in 1783. It was listed as third-class historical building by the Ministry of the Interior in 1985.,0.9911608099937439,0.795350968837738,0.6457338929176331,0.7927775382995605,0.8908546566963196,0.8299376964569092,0.7214344143867493
What type of song sparrow is this bird?,Melospiza,['desert'],[],0,"Melospiza is a genus of passerine birds formerly placed in the family Emberizidae, but it is now placed in Passerellidae. The genus, commonly referred to as ""song sparrows,"" currently contains three species, all of which are native to North America. Members of Melospiza are medium-sized sparrows with long tails, which are pumped in flight and held moderately high on perching. They are not seen in flocks, but as a few individuals or solitary. They prefer brushy habitats, often near water.",0.25092118978500366,0.020598653703927994,0.033299364149570465,0.12465972453355789,0.1297895908355713,0.4107573330402374,0.07362017780542374
