question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,qwen_infoseek_rerank_base_no_context,qwen_infoseek_rerank_base_with_context,qwen_infoseek_rerank_no_p_prime,qwen_infoseek_rerank_no_p_q_i,qwen_infoseek_rerank_no_p_q_c,qwen_infoseek_rerank_no_p_q
Who is the manufacturer of this aircraft?,Airbus,['Airbus'],[],1,"The Airbus A310 is a wide-body aircraft, designed and manufactured by Airbus Industrie, then a consortium of European aerospace manufacturers. Airbus had identified a demand for an aircraft smaller than the A300, the first twin-jet wide-body. On 7 July 1978, the A310 (initially the A300B10) was launched with orders from Swissair and Lufthansa. On 3 April 1982, the first prototype conducted its maiden flight, and the A310 received its type certification on 11 March 1983. Keeping the same eight-abreast cross-section, the A310 is 6.95 m (22.8 ft) shorter than the initial A300 variants, and has a smaller wing, down from 260 to 219 m² (2,800 to 2,360 sq ft). The A310 introduced a two-crew glass cockpit, later adopted for the A300-600 with a common type rating. It was powered by the same General Electric CF6-80 or Pratt & Whitney JT9D then PW4000 turbofan jet engines. It can seat 220 passengers in two classes, or 240 in all-economy, and has a flying range up to 5,150 nmi (9,540 km). It has overwing exits between the two main front and rear door pairs. In April 1983, the aircraft entered revenue service with Swissair, and competed with the Boeing 767-200, introduced six months before.  Its longer range and ETOPS regulations allowed it to be operated on transatlantic flights. Until the last delivery in June 1998, 255 aircraft were produced, as it was succeeded by the larger Airbus A330-200. It was available as a cargo aircraft version, and was also developed into a military variant, the A310 MRTT multi-role transport, then tanker.",0.9936895370483398,0.7746381163597107,0.7662937045097351,0.8431480526924133,0.8206182718276978,0.8865061402320862,0.5340872406959534
What is the closest parent taxonomy of this bird?,Family Ardeidae,['Egretta'],[],0,The little blue heron (Egretta caerulea) is a small heron belonging to the family Ardeidae.,0.9892921447753906,0.003805462969467044,0.000876311503816396,0.0005441326065920293,0.0006642601802013814,0.000717548537068069,0.0009946797508746386
Which city or region does this building locate in?,"Greenville, Pennsylvania",['Nuremberg'],[],0,"Alexander P. and James S. Waugh House is a historic home located at Greenville, Mercer County, Pennsylvania.  It was built in 1826, and is a two-story, five bay, ""L""-shaped brick residence with a stepped gable in the Federal style.  It sits on a cut sandstone foundation.  The front facade has a three bay wide entrance porch with a hipped roof, and a tripartite center window on the second floor. It was added to the National Register of Historic Places in 1998.",0.9942846894264221,0.39214766025543213,0.000847009418066591,0.0006097240839153528,0.000816987594589591,0.0011121819261461496,0.0011581386206671596
Which city or region does this building locate in?,Sintra,['Sümeg'],[],0,"The Castle of the Moors (Portuguese: Castelo dos Mouros) is a hilltop medieval castle located in the central Portuguese civil parish of Santa Maria e São Miguel, in the municipality of Sintra, about 25 km (16 mi) northwest of Lisbon. Built by the Moors in the 8th and 9th centuries,  it was an important strategic point during the Reconquista, and was taken by Christian forces after the fall of Lisbon in 1147. It is classified as a National Monument, part of the Sintra Cultural Landscape, a UNESCO World Heritage Site.",0.988807201385498,0.27106979489326477,0.17618688941001892,0.17877042293548584,0.3264991044998169,0.3441672623157501,0.14771533012390137
Which continent does this building belong to?,Africa,['Europe'],[],0,"This rock formation is located in the geopark of Paleorrota, and is located to the south of another geopark. The formation dates to 249 million years ago and belongs to the Lower Triassic. The Sanga do Cabral Formation is correlated with the ""impoverished zone"" (Procolophon subzone) of the Lystrosaurus Assemblage Zone of the Karoo Basin of South Africa by some authors on the basis of the abundant records of Procolophon.",0.9003861546516418,0.5930332541465759,0.0213153138756752,0.036778103560209274,0.18273940682411194,0.13323764503002167,0.12274901568889618
what has this bridge crossed over?,The Seine,['Seine'],[],0,"The Pont Neuf ([pɔ̃ nœf], ""New Bridge"") is the oldest standing bridge across the river Seine in Paris, France. It stands by the western (downstream) point of the Île de la Cité, the island in the middle of the river that was, between 250 and 225 BC, the birthplace of Paris, then known as Lutetia and, during the medieval period, the heart of the city. The bridge is composed of two separate spans, one of five arches joining the left bank to the Île de la Cité, another of seven joining the island to the right bank. Old engraved maps of Paris show that the newly built bridge just grazed the downstream tip of the Île de la Cité; since then, the natural sandbar building of a mid-river island, aided by stone-faced embankments called quais, has extended the island. Today the tip of the island is the location of the Square du Vert-Galant, a small public park named in honour of Henry IV, nicknamed the ""Green Gallant"". The name Pont Neuf was given to distinguish it from older bridges that were lined on both sides with houses, and has remained after all of those were replaced. Its name notwithstanding, it has long been the oldest bridge in Paris crossing the Seine. It has been listed since 1889 as a monument historique by the French Ministry of Culture.",0.980893611907959,0.0100404042750597,0.0009073651162907481,0.16448438167572021,0.005073526408523321,0.0702260211110115,0.006053480785340071
What is the genre of this building?,Monument,['equestrian statue'],[],0,"The Emperor William Monument (German: Kaiser-Wilhelm-Denkmal), near the town of Porta Westfalica in the North Rhine-Westphalian county of Minden-Lübbecke, is a colossal monument above the Weser gorge of Porta Westfalica, the ""Gateway to Westphalia"". It was erected to honour the first German Emperor, William I (1797–1888), by the then Prussian Province of Westphalia between 1892 and 1896 and emerged against the background of a rising German national identity. The monument, which is around 88 metres (289 ft) high, is classified as one of Germany's national monuments. The architect of this prominent monument was Bruno Schmitz and the sculptor was Kaspar von Zumbusch. Since 2008, the monument has formed part of the Road of Monuments. As a result of its dominant geographical site, it is the most important landmark of the town of Porta Westfalica and of northern East Westphalia.",0.9935738444328308,0.0021860108245164156,0.5380251407623291,0.7269367575645447,0.03649303689599037,0.4311189353466034,0.4069141745567322
What country does this lake belong to?,Russia,['Russia'],[],1,"Lake Teletskoye (Russian: Телецкое озеро, lit. 'the lake of the Tyolyos'; Altay: Алтын Кӧл, romanized: Altyn Köl, lit. 'Golden Lake') is the largest lake in the Altai Mountains and the Altai Republic, Russia, and has depth up to 325 meters. Situated at a height of 434 m (1,424 ft) above the sea level, the lake is 78 km (48 mi) long and 5 km (3.1 mi) wide and lies between the mountain ridges Korbu and Al-tyntu, on the junction of the Sailughem Mountains and the Western Sayans. Its surface area is 233 km² (90 sq mi); however, due to its considerable depth (325 m; 1,066 ft), the lake contains no less than 40 km³ (9.6 cubic miles) of fresh water. Annual water level fluctuations are estimated at some 348 sm.  The lake transparency is high, with the visibility of the lake water ranging from six to fourteen meters. About 70 rivers and 150 temporary streams flow into the lake, the largest of them, Chulyshman River, supplying more than half of the lake's water. The lake is drained through a single outlet, the Biya River, which, after its confluence with the Katun River, forms one of Siberia's largest rivers, the Ob River. The lake is surrounded by mountains of 600-1,300 m in the northern part and about 1,700–2,400 m (5,600–7,900 ft) in the southern part. Lake Teletskoe is included into Altaisky Nature Reserve. That reserve along with the Katun Nature Reserve and the Ukok Plateau Nature Refuge were listed as one of UNESCO World Natural Heritage Sites under the name ""Golden Mountains of Altai"". The Altai people have a legend about the name of the lake in their language, which means Golden Lake. According to this story, once, a rich man had an ingot of gold, which he wanted to use to buy food. He travelled around Altai, but could not find anyone who would sell him any food. Eventually, he threw the gold into the lake. This legend is the origin of the name.",0.9917014241218567,0.8709022402763367,0.725003182888031,0.6093003749847412,0.6569955348968506,0.7612905502319336,0.5423040390014648
What place inflows lake?,"The Aare, Giessbach, and Lütschine.",['Aare | Lütschine'],[],0,"Lake Brienz (German: Brienzersee) is a lake just north of the Alps, in the canton of Berne in Switzerland. It has a length of about 14 kilometres (8.7 mi), a width of 2.8 kilometres (1.7 mi) and a maximum depth of 260 metres (850 ft). Its area is 29.8 square kilometres (11.5 sq mi), and the surface is 564 metres (1,850 ft) above the sea-level. It is fed, among others, by the upper reaches of the Aare at its eastern end, the Giessbach at its southern shore from steep, forested and rocky hills of the high Faulhorn and Schwarzhoren more than 2,000 metres (6,600 ft) above the lake, and by the Lütschine, flowing from the valleys of Grindelwald and Lauterbrunnen, at its south-western corner. It flows out into a further stretch of the Aare at its western end. The culminating point of the lake's drainage basin is the Finsteraarhorn at 4,274 metres above sea level. The village of Brienz, from which the lake takes its name, lies on the northern shore to its eastern end. In the west, the lake is terminated by the Bödeli, a tongue of land that separates it from neighbouring Lake Thun. The village of Bönigen occupies the lake frontage of the Bödeli, whilst the larger resort town of Interlaken lies on the reach of the Aare between the two lakes. The village of Iseltwald lies on the south shore, whilst the villages of Ringgenberg, Niederried and Oberried are on the north shore. The lake is poor in nutrients, and consequently, fishing is not very important. Nevertheless, in 2001 10,000 kg fish were caught. There have been passenger ships on the lake since 1839, and currently there are five passenger ships on the lake. The ships are operated by BLS AG, the local railway company, and link Interlaken Ost railway station, which they access using a 1.3-kilometre (0.81 mi) long navigable stretch of the Aare, with Brienz and other lakeside settlements. The ships also connect to the Giessbachbahn, a funicular which climbs up to the famous Giessbach Falls. The Brünig railway line follows th",0.9579415321350098,0.002532333368435502,0.0008419688674621284,0.0005332034779712558,0.0005662895273417234,0.0007734306273050606,0.0009274277836084366
What is the minimum height of a male of this animal in centimetre?,76 cm,['70'],[],0,"With a massive body, broad skull and head of generally square appearance, it is the largest dog breed in terms of mass. It is on average slightly heavier than the Saint Bernard, although there is a considerable mass overlap between these two breeds. Though the Irish Wolfhound and Great Dane can be more than six inches taller, they are not nearly as robust.    The body is large with great depth and breadth, especially between the forelegs—which causes these to be set wide apart. The length of the body taken from the point of the shoulder to the point of the buttock is greater than the height at the withers. The AKC standard height (per their website) for this breed is 30 inches (76 cm) at the shoulder for males and 27.5 inches (70 cm) (minimum) at the shoulder for females. A typical male can weigh 150–250 pounds (68–113 kg), a typical female can weigh 120–200 pounds (54–91 kg), with very large individuals reaching 300 pounds (140 kg) or more.",0.9796662926673889,0.07521286606788635,0.002585534704849124,0.0010512317530810833,0.0009879119461402297,0.020345592871308327,0.0013219184475019574
What is the location of this facility?,"Ephesus, Turkey",['Ephesus'],[],0,"The Library of Celsus (Greek: Βιβλιοθήκη του Κέλσου) is an ancient Roman building in Ephesus, Anatolia, now part of Selçuk, Turkey. The building was commissioned in the 110s A.D. by a consul, Gaius Julius Aquila, as a funerary monument for his father, former proconsul of Asia Tiberius Julius Celsus Polemaeanus, and completed during the reign of Hadrian, sometime after Aquila's death. The library is considered an architectural marvel, and is one of the only remaining examples of a library from the Roman Empire. The Library of Celsus was the third-largest library in the Roman world behind only Alexandria and Pergamum, believed to have held around twelve thousand scrolls. Celsus is buried in a crypt beneath the library in a decorated marble sarcophagus. The interior measured roughly 180 square metres (2,000 square feet). The interior of the library and its contents were destroyed in a fire that resulted either from an earthquake or a Gothic invasion in 262 C.E., and the façade by an earthquake in the tenth or eleventh century. It lay in ruins for centuries until the façade was re-erected by archaeologists between 1970 and 1978.",0.9935939908027649,0.03252556547522545,0.0013354859547689557,0.002267051488161087,0.000714232912287116,0.0037866176571696997,0.002082568360492587
How wide is the vehicle in the image? answer in millimetre,"1,700 mm",['1748'],[],0,"The 1.6 L (1,598 cc) version uses the same 77 mm (3.03 in) bore with a longer 85.8 mm (3.38 in) stroke. Output is rated at 66 kW (90 PS; 89 hp) and 140 N⋅m (103 lb⋅ft) in the Mini One, and 85 kW (116 PS; 114 hp) and 149 N⋅m (110 lb⋅ft) in the Mini Cooper and Chrysler PT Cruiser. Applications: Chery A11 (Windcloud) Chery A15 (Flagcloud) Chrysler Neon (in non-US markets) Chrysler PT Cruiser (in non-US markets) Lifan 620 Lifan 520 Mini Hatch and Convertible (until 2008).",0.15704648196697235,0.002551719546318054,0.0007991593447513878,0.0004867093521170318,0.0005640125600621104,0.0008171646622940898,0.0008892446639947593
What is the height of this river in metre?,23 metres,['23'],[],0,"The Rhine Falls, which are the largest plain waterfalls of Europe, are in the municipalities of Neuhausen am Rheinfall and Laufen-Uhwiesen, near the town of Schaffhausen. They are 150 metres (490 ft) wide and 23 metres (75 ft) high. In the winter months, the average water flow is 250 cubic metres per second (8,800 cu ft/s), while in the summer, the average water flow is 600 cubic metres per second (21,000 cu ft/s). The rapids in the High Rhine should be viewed in the context of the relatively high slope—from 395 to 252 metres (1,296 to 827 ft) above sea level in just 165 kilometres (103 mi)—and the change of the river's course during the Würm ice age. In Neuhausen am Rheinfall, the river falls into a previously buried stream channel, forming the  Rhine Falls at Schaffhausen. The next rapids are the Kadelburg Rapids at Koblenz. Near Laufenburg, the post-glacial Rhine failed to find the old silted-up channel and hit a spur of Black Forest crystal. The river cut itself a gorge, containing the Laufenburg Rapids. The Laufenburg and Schwörstadt Rapids have been artificially eliminated by blowing up the rocks and raising the water level with dams.",0.9868661761283875,0.020619694143533707,0.0008932294440455735,0.0005629955558106303,0.0007096219924278557,0.012150139547884464,0.0010141244856640697
On what date did this building officially open?,23 April 1969,['1971 10 16'],[],0,"The cinema was inaugurated on 23 April 1969 as Shahre Farang Cinema by the Rohani Saheban brothers. It was renamed  Azadi Cinema in 1980. It had two screens. The building caught fire on numerous occasions in 1976, 1990 and on 18 April 1997 at 13:50 which caused its closure.",0.9825520515441895,0.03400873765349388,0.0008728543762117624,0.0005217742873355746,0.0015879846177995205,0.005762619897723198,0.0013657998060807586
Who found this building?,Unknown (no specific person or group is credited for its founding),['Neagoe Basarab'],[],0,"The Cathedral of Curtea de Argeș (early 16th century) is a Romanian Orthodox cathedral in Curtea de Argeș, Romania. It is located on the grounds of the Curtea de Argeș Monastery, and is dedicated to Dormition of the Mother of God.  The building is the seat of the Archdiocese of Argeș and Muscel. The cathedral is faced with pale grey limestone, which was easily chiselled then hardened on exposure. The interior is of brick, plastered and decorated with frescoes. Nearby on the grounds stands the large Neo-Romanian style Royal Palace built in late 19th century.",0.1996651589870453,0.0006576527375727892,0.0008297610911540687,0.0005654233391396701,0.0006082153413444757,0.0006995621370151639,0.0009138954919762909
What is the weight of a male of this animal in kilogram?,50 to 60 kg,['29.5'],[],0,"Technically a ""medium / large"" breed, according to the FCI standard the Rottweiler stands 61–69 cm (24–27 in) at the withers for males, 56–63 cm (22–25 in) for females, and the weight must be between 50 and 60 kg (110 and 132 lbs) for males and 35 and 48 kg (77 and 105 lbs) for females. Weight must be relative to height.",0.94269859790802,0.0030145368073135614,0.0008019648375920951,0.0005424043629318476,0.0005695242434740067,0.002973453141748905,0.000920332910027355
What is the closest parent taxonomy of this plant?,Eucalyptus,['Acacia'],[],0,"Eucalyptus grandis was first formally described by Walter Hill in 1862 in Catalogue of the Natural and Industril Products of Queensland. The species name grandis ""large"" relates to this tree's large size. It is commonly known as the flooded gum and as rose gum in Queensland. It has been classified in the subgenus Symphyomyrtus, Section Latoangulatae, Series Transversae (eastern blue gums) by Brooker and Kleinig. Its two closest relatives are the Sydney blue gum (Eucalyptus saligna) and the mountain blue gum (E. deanei).",0.9738579392433167,0.19007429480552673,0.007565256208181381,0.059262555092573166,0.11448313295841217,0.20807352662086487,0.1483655571937561
What is the height of this park in terms of foot above sea level?,"1,160 feet above sea level.",['20'],[],0,"The Mall is located on Nakasero Hill, an upscale neighborhood in Kampala, the capital and largest city of Uganda. The piece of property where the mall is located is bordered by Nile Avenue to the north, Yusuf Lule Road to the east, and De Winton Road to the south. The National Theater and Uganda Broadcasting Corporation border the location to the west. The mall complex is being erected on a 15 acres (6.1 ha) site that was previously occupied by Shimoni Teacher Training College, which was relocated to Kitikifumba in Kira Municipality. The elevation of the construction site is 1,160 metres (3,810 ft) above sea level, facing southeast, adjacent to Oasis Mall in Kampala's central business district. The coordinates of the mall are 0°19'02.0""N, 32°35'28.0""E (Latitude:0.317223; Longitude:32.591112).",0.9496346116065979,0.008977861143648624,0.0008060875115916133,0.0005132929072715342,0.0005888332379981875,0.000883944914676249,0.0008997146505862474
Which diocese does this building belong to?,"Not applicable. The image shows an ornate church interior, likely in the Philippines, not in the Caribbean jurisdictions covered by the Diocese of Saint John's–Basseterre.",['Diocese of Tagbilaran'],[],0,"The Roman Catholic Diocese of Saint John's–Basseterre (Latin: Dioecesis Sancti Ioannis–Imatellurana) is a diocese of the Latin Rite of the Roman Catholic Church, covering five English-speaking jurisdictions in the Caribbean. The bishopric is a suffragan of the Metropolitan Archdiocese of Castries, and a member of the Antilles Episcopal Conference, but remains dependent on the missionary Roman Congregation for the Evangelization of Peoples.",0.19894927740097046,0.0008206269703805447,0.0008882881375029683,0.0005972608341835439,0.0005888009327463806,0.0006833854713477194,0.0009343103156425059
What is the closest upper taxonomy of this animal?,Poeciliidae,['Gnathostomata'],[],0,"Franz Steindachner first described the species in 1863. Poecilia refers to the Greek word poikilos, which means ""with a lot of colours"". Common names include ""shortfin molly"" and ""Atlantic molly."" The type specimen was found in Orizaba, Mexico.",0.9470829367637634,0.0013431215193122625,0.001381462556309998,0.0006069717346690595,0.001165798050351441,0.012833616696298122,0.0020156220998615026
In which year did this building come into service?,1900,['1772'],[],0,"Sanction for the Northern Lighthouse Board to build the lighthouse was granted in 1897. It was designed by David Alan Stevenson.  The engineer's report specified a powerful fog signal was also required at the site. The lighthouse entered service on 1 October 1900. The light gave a flashing signal of two flashes in quick succession every 1⁄2 minute. When used, the fog signal was 3 blasts: low, low, high in quick succession every 1+1⁄2 minutes. The light was automated in 1988, with the fog signal having been discontinued the previous year. Following a comprehensive review of services by the UK's three General Lighthouse Authorities in 2005, it was decided that Killantringan was surplus to requirements – serving primarily as a waypoint.  The Lighthouse has been fully decommissioned, and along with the Lightkeepers House, is in private ownership",0.9858124256134033,0.17728212475776672,0.39949607849121094,0.41762179136276245,0.26558879017829895,0.5855165123939514,0.19778910279273987
How many metre is the vertical depth of the lake?,50 metres,['78'],[],0,"The lake has a maximum depth of 50 metres (160 ft), a relative depth of 2.8%, and an annually fluctuating water level of only 0.5 metres (1.6 ft) to 0.75 metres (2.5 ft). Upper reaches of the lake are shallow (1 to 4 m), with a sinuous channel constricted by a narrow ignimbrite gorge. As the gorge widens down lake, the depth increases to15 metres (49 ft) along a delta front, and to 40 metres (130 ft) to 50 metres (160 ft) in the basin immediately behind the dam.",0.9742969274520874,0.005934786982834339,0.001111523131839931,0.001008282066322863,0.0006643548258580267,0.003776934463530779,0.0009651308646425605
What is the parent organization of this aircraft?,De Havilland Aircraft of Canada,['Hawker Siddeley'],[],0,"On 8 November 2018, Viking Air parent Longview Aviation acquired the Bombardier Dash 8 program and the de Havilland brand from Bombardier to continue Q400 production, in Downsview until the lease ends in 2021, in a deal that closed in the second half of 2019, bringing together all of the DHC type certificates under one umbrella once again. Bombardier announced the sale was for $300 million, and expects $250 million net. After the deal, Longview will have $1 billion (US$670 million) in annual sales and 1,800 workers in Victoria, Calgary and Toronto. By November 2018 the sales of the higher-performance Q400 were slower than the cheaper ATR Aircraft. In January 2019, parent company Longview announced that it would establish a new company in Ontario, under the De Havilland Aircraft Company of Canada name, to continue production of the Bombardier Dash 8 line. The Dash 8 acquisition will vault Longview from 600–700 employees to up to 2,000 including the CL-415 new production. After Bombardier sold the Q400 plant in Downsview, Ontario, Longview has three years to find a new location in Ontario where production should stay with 1,000 people. In February 2022, Longview consolidated its activities, with Viking Air, Longview Aviation, Pacific Sky Training and De Havilland Canada all being rebranded as De Havilland Aircraft of Canada.",0.9925522804260254,0.08839979767799377,0.0011077187955379486,0.010820326395332813,0.0017585433088243008,0.014996528625488281,0.002515169559046626
Which body of water is this building located in or next to?,Amstel River,['River Thames'],[],0,"A water tower (castellum aquae) was ordinarily found at the end of each Roman aqueduct. Water was supplied from this reservoir to the wells and fountains, basins, thermae and maybe the irrigation canals. Its longitudinal axis is oriented north-south. There is a 10-meter height differential between the water tower site and the valley in which the Mediana buildings are located, providing a head for the fountains.",0.7860069274902344,0.005215430166572332,0.007727315183728933,0.11846308410167694,0.01502937451004982,0.12859563529491425,0.02584831975400448
What is this building named after?,The Holy Trinity,['Trinity'],[],0,"Chichester Cathedral, formally known as the Cathedral Church of the Holy Trinity, is the seat of the Anglican Bishop of Chichester. It is located in Chichester, in West Sussex, England. It was founded as a cathedral in 1075, when the seat of the bishop was moved from Selsey. Chichester Cathedral has fine architecture in both the Norman and the Gothic styles, and has been described by the architectural critic Ian Nairn as ""the most typical English Cathedral"". Despite this, Chichester has two architectural features that are unique among England's medieval cathedrals—a free-standing medieval bell tower (or campanile) and double aisles. The cathedral contains two rare medieval sculptures, and many modern art works including tapestries, stained glass and sculpture, many of these commissioned by Walter Hussey (Dean, 1955–77). The city of Chichester, though it retains two main cross streets laid out by the Romans, has always been small enough for the city's entire population to fit inside the cathedral at once, causing Daniel Defoe to comment: I cannot say much of Chichester, in which, if six or seven good families were removed, there would not be much conversation, except what is to be found among the canons, and the dignitaries of the cathedral.  The spire of Chichester Cathedral, rising above its green copper roof, can be seen for many miles across the flat meadows of West Sussex and is a landmark for sailors, Chichester being the only medieval English cathedral which is visible from the sea.",0.9924201369285583,0.2718552052974701,0.0009818737162277102,0.005302387289702892,0.0016116128535941243,0.002038219477981329,0.001911704777739942
