question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_infoseek_rerank_base_no_context,llava_infoseek_rerank_base_with_context,llava_infoseek_rerank_no_p_prime,llava_infoseek_rerank_no_p_q_i,llava_infoseek_rerank_no_p_q_c,llava_infoseek_rerank_no_p_q
Who is the manufacturer of this aircraft?,Airbus,['Airbus'],[],1,"The Airbus A310 is a wide-body aircraft, designed and manufactured by Airbus Industrie, then a consortium of European aerospace manufacturers. Airbus had identified a demand for an aircraft smaller than the A300, the first twin-jet wide-body. On 7 July 1978, the A310 (initially the A300B10) was launched with orders from Swissair and Lufthansa. On 3 April 1982, the first prototype conducted its maiden flight, and the A310 received its type certification on 11 March 1983. Keeping the same eight-abreast cross-section, the A310 is 6.95 m (22.8 ft) shorter than the initial A300 variants, and has a smaller wing, down from 260 to 219 m² (2,800 to 2,360 sq ft). The A310 introduced a two-crew glass cockpit, later adopted for the A300-600 with a common type rating. It was powered by the same General Electric CF6-80 or Pratt & Whitney JT9D then PW4000 turbofan jet engines. It can seat 220 passengers in two classes, or 240 in all-economy, and has a flying range up to 5,150 nmi (9,540 km). It has overwing exits between the two main front and rear door pairs. In April 1983, the aircraft entered revenue service with Swissair, and competed with the Boeing 767-200, introduced six months before.  Its longer range and ETOPS regulations allowed it to be operated on transatlantic flights. Until the last delivery in June 1998, 255 aircraft were produced, as it was succeeded by the larger Airbus A330-200. It was available as a cargo aircraft version, and was also developed into a military variant, the A310 MRTT multi-role transport, then tanker.",0.981331467628479,0.10984344780445099,0.719771683216095,0.7458747625350952,0.7239187359809875,0.8147735595703125,0.6151897311210632
What is the closest parent taxonomy of this bird?,Heron,['Egretta'],[],0,The little blue heron (Egretta caerulea) is a small heron belonging to the family Ardeidae.,0.344149649143219,0.0005025889258831739,0.008745288476347923,0.0009886642219498754,0.009229924529790878,0.00343771162442863,0.0027717389166355133
Which city or region does this building locate in?,Greenville,['Nuremberg'],[],0,"Alexander P. and James S. Waugh House is a historic home located at Greenville, Mercer County, Pennsylvania.  It was built in 1826, and is a two-story, five bay, ""L""-shaped brick residence with a stepped gable in the Federal style.  It sits on a cut sandstone foundation.  The front facade has a three bay wide entrance porch with a hipped roof, and a tripartite center window on the second floor. It was added to the National Register of Historic Places in 1998.",0.1714935153722763,0.28353366255760193,0.020232252776622772,0.0024800696410238743,0.12713128328323364,0.03856012597680092,0.015002982690930367
Which city or region does this building locate in?,Sintra,['Sümeg'],[],0,"The Castle of the Moors (Portuguese: Castelo dos Mouros) is a hilltop medieval castle located in the central Portuguese civil parish of Santa Maria e São Miguel, in the municipality of Sintra, about 25 km (16 mi) northwest of Lisbon. Built by the Moors in the 8th and 9th centuries,  it was an important strategic point during the Reconquista, and was taken by Christian forces after the fall of Lisbon in 1147. It is classified as a National Monument, part of the Sintra Cultural Landscape, a UNESCO World Heritage Site.",0.3264862596988678,0.14400488138198853,0.21109412610530853,0.3460830748081207,0.15856865048408508,0.26793065667152405,0.193916454911232
Which continent does this building belong to?,South africa,['Europe'],[],0,"This rock formation is located in the geopark of Paleorrota, and is located to the south of another geopark. The formation dates to 249 million years ago and belongs to the Lower Triassic. The Sanga do Cabral Formation is correlated with the ""impoverished zone"" (Procolophon subzone) of the Lystrosaurus Assemblage Zone of the Karoo Basin of South Africa by some authors on the basis of the abundant records of Procolophon.",0.4137391746044159,0.01907680369913578,0.0567559152841568,0.049598418176174164,0.022863389924168587,0.008079906925559044,0.00964503176510334
what has this bridge crossed over?,Seine,['Seine'],[],1,"The Pont Neuf ([pɔ̃ nœf], ""New Bridge"") is the oldest standing bridge across the river Seine in Paris, France. It stands by the western (downstream) point of the Île de la Cité, the island in the middle of the river that was, between 250 and 225 BC, the birthplace of Paris, then known as Lutetia and, during the medieval period, the heart of the city. The bridge is composed of two separate spans, one of five arches joining the left bank to the Île de la Cité, another of seven joining the island to the right bank. Old engraved maps of Paris show that the newly built bridge just grazed the downstream tip of the Île de la Cité; since then, the natural sandbar building of a mid-river island, aided by stone-faced embankments called quais, has extended the island. Today the tip of the island is the location of the Square du Vert-Galant, a small public park named in honour of Henry IV, nicknamed the ""Green Gallant"". The name Pont Neuf was given to distinguish it from older bridges that were lined on both sides with houses, and has remained after all of those were replaced. Its name notwithstanding, it has long been the oldest bridge in Paris crossing the Seine. It has been listed since 1889 as a monument historique by the French Ministry of Culture.",0.9003970623016357,0.6385231614112854,0.8840774893760681,0.6679432392120361,0.7892282605171204,0.8261422514915466,0.7917003035545349
What is the genre of this building?,Monument,['equestrian statue'],[],0,"The Emperor William Monument (German: Kaiser-Wilhelm-Denkmal), near the town of Porta Westfalica in the North Rhine-Westphalian county of Minden-Lübbecke, is a colossal monument above the Weser gorge of Porta Westfalica, the ""Gateway to Westphalia"". It was erected to honour the first German Emperor, William I (1797–1888), by the then Prussian Province of Westphalia between 1892 and 1896 and emerged against the background of a rising German national identity. The monument, which is around 88 metres (289 ft) high, is classified as one of Germany's national monuments. The architect of this prominent monument was Bruno Schmitz and the sculptor was Kaspar von Zumbusch. Since 2008, the monument has formed part of the Road of Monuments. As a result of its dominant geographical site, it is the most important landmark of the town of Porta Westfalica and of northern East Westphalia.",0.7318641543388367,0.0005545512540265918,0.00425620935857296,0.0011895360657945275,0.00415604654699564,0.002233554609119892,0.0018157302401959896
What country does this lake belong to?,Russia,['Russia'],[],1,"Lake Teletskoye (Russian: Телецкое озеро, lit. 'the lake of the Tyolyos'; Altay: Алтын Кӧл, romanized: Altyn Köl, lit. 'Golden Lake') is the largest lake in the Altai Mountains and the Altai Republic, Russia, and has depth up to 325 meters. Situated at a height of 434 m (1,424 ft) above the sea level, the lake is 78 km (48 mi) long and 5 km (3.1 mi) wide and lies between the mountain ridges Korbu and Al-tyntu, on the junction of the Sailughem Mountains and the Western Sayans. Its surface area is 233 km² (90 sq mi); however, due to its considerable depth (325 m; 1,066 ft), the lake contains no less than 40 km³ (9.6 cubic miles) of fresh water. Annual water level fluctuations are estimated at some 348 sm.  The lake transparency is high, with the visibility of the lake water ranging from six to fourteen meters. About 70 rivers and 150 temporary streams flow into the lake, the largest of them, Chulyshman River, supplying more than half of the lake's water. The lake is drained through a single outlet, the Biya River, which, after its confluence with the Katun River, forms one of Siberia's largest rivers, the Ob River. The lake is surrounded by mountains of 600-1,300 m in the northern part and about 1,700–2,400 m (5,600–7,900 ft) in the southern part. Lake Teletskoe is included into Altaisky Nature Reserve. That reserve along with the Katun Nature Reserve and the Ukok Plateau Nature Refuge were listed as one of UNESCO World Natural Heritage Sites under the name ""Golden Mountains of Altai"". The Altai people have a legend about the name of the lake in their language, which means Golden Lake. According to this story, once, a rich man had an ingot of gold, which he wanted to use to buy food. He travelled around Altai, but could not find anyone who would sell him any food. Eventually, he threw the gold into the lake. This legend is the origin of the name.",0.9892966151237488,0.7950140237808228,0.4821872115135193,0.6828913688659668,0.5364894866943359,0.8801629543304443,0.5955965518951416
What place inflows lake?,River,['Aare | Lütschine'],[],0,"Lake Brienz (German: Brienzersee) is a lake just north of the Alps, in the canton of Berne in Switzerland. It has a length of about 14 kilometres (8.7 mi), a width of 2.8 kilometres (1.7 mi) and a maximum depth of 260 metres (850 ft). Its area is 29.8 square kilometres (11.5 sq mi), and the surface is 564 metres (1,850 ft) above the sea-level. It is fed, among others, by the upper reaches of the Aare at its eastern end, the Giessbach at its southern shore from steep, forested and rocky hills of the high Faulhorn and Schwarzhoren more than 2,000 metres (6,600 ft) above the lake, and by the Lütschine, flowing from the valleys of Grindelwald and Lauterbrunnen, at its south-western corner. It flows out into a further stretch of the Aare at its western end. The culminating point of the lake's drainage basin is the Finsteraarhorn at 4,274 metres above sea level. The village of Brienz, from which the lake takes its name, lies on the northern shore to its eastern end. In the west, the lake is terminated by the Bödeli, a tongue of land that separates it from neighbouring Lake Thun. The village of Bönigen occupies the lake frontage of the Bödeli, whilst the larger resort town of Interlaken lies on the reach of the Aare between the two lakes. The village of Iseltwald lies on the south shore, whilst the villages of Ringgenberg, Niederried and Oberried are on the north shore. The lake is poor in nutrients, and consequently, fishing is not very important. Nevertheless, in 2001 10,000 kg fish were caught. There have been passenger ships on the lake since 1839, and currently there are five passenger ships on the lake. The ships are operated by BLS AG, the local railway company, and link Interlaken Ost railway station, which they access using a 1.3-kilometre (0.81 mi) long navigable stretch of the Aare, with Brienz and other lakeside settlements. The ships also connect to the Giessbachbahn, a funicular which climbs up to the famous Giessbach Falls. The Brünig railway line follows th",0.33962592482566833,0.0005282933125272393,0.02355857938528061,0.009085629135370255,0.01258919294923544,0.01794954389333725,0.011259091086685658
What is the minimum height of a male of this animal in centimetre?,70,['70'],[],1,"With a massive body, broad skull and head of generally square appearance, it is the largest dog breed in terms of mass. It is on average slightly heavier than the Saint Bernard, although there is a considerable mass overlap between these two breeds. Though the Irish Wolfhound and Great Dane can be more than six inches taller, they are not nearly as robust.    The body is large with great depth and breadth, especially between the forelegs—which causes these to be set wide apart. The length of the body taken from the point of the shoulder to the point of the buttock is greater than the height at the withers. The AKC standard height (per their website) for this breed is 30 inches (76 cm) at the shoulder for males and 27.5 inches (70 cm) (minimum) at the shoulder for females. A typical male can weigh 150–250 pounds (68–113 kg), a typical female can weigh 120–200 pounds (54–91 kg), with very large individuals reaching 300 pounds (140 kg) or more.",0.17627902328968048,0.03000788576900959,0.033558595925569534,0.09959304332733154,0.073896124958992,0.05277268961071968,0.06531672924757004
What is the location of this facility?,Ephesus,['Ephesus'],[],1,"The Library of Celsus (Greek: Βιβλιοθήκη του Κέλσου) is an ancient Roman building in Ephesus, Anatolia, now part of Selçuk, Turkey. The building was commissioned in the 110s A.D. by a consul, Gaius Julius Aquila, as a funerary monument for his father, former proconsul of Asia Tiberius Julius Celsus Polemaeanus, and completed during the reign of Hadrian, sometime after Aquila's death. The library is considered an architectural marvel, and is one of the only remaining examples of a library from the Roman Empire. The Library of Celsus was the third-largest library in the Roman world behind only Alexandria and Pergamum, believed to have held around twelve thousand scrolls. Celsus is buried in a crypt beneath the library in a decorated marble sarcophagus. The interior measured roughly 180 square metres (2,000 square feet). The interior of the library and its contents were destroyed in a fire that resulted either from an earthquake or a Gothic invasion in 262 C.E., and the façade by an earthquake in the tenth or eleventh century. It lay in ruins for centuries until the façade was re-erected by archaeologists between 1970 and 1978.",0.8595052361488342,0.10388007760047913,0.32536739110946655,0.21110913157463074,0.04800974577665329,0.320430725812912,0.23715776205062866
How wide is the vehicle in the image? answer in millimetre,1800,['1748'],[],0,"The 1.6 L (1,598 cc) version uses the same 77 mm (3.03 in) bore with a longer 85.8 mm (3.38 in) stroke. Output is rated at 66 kW (90 PS; 89 hp) and 140 N⋅m (103 lb⋅ft) in the Mini One, and 85 kW (116 PS; 114 hp) and 149 N⋅m (110 lb⋅ft) in the Mini Cooper and Chrysler PT Cruiser. Applications: Chery A11 (Windcloud) Chery A15 (Flagcloud) Chrysler Neon (in non-US markets) Chrysler PT Cruiser (in non-US markets) Lifan 620 Lifan 520 Mini Hatch and Convertible (until 2008).",0.031144825741648674,0.0064976513385772705,0.015315103344619274,0.006808914709836245,0.05098196119070053,0.01991644687950611,0.0046257758513092995
What is the height of this river in metre?,23,['23'],[],1,"The Rhine Falls, which are the largest plain waterfalls of Europe, are in the municipalities of Neuhausen am Rheinfall and Laufen-Uhwiesen, near the town of Schaffhausen. They are 150 metres (490 ft) wide and 23 metres (75 ft) high. In the winter months, the average water flow is 250 cubic metres per second (8,800 cu ft/s), while in the summer, the average water flow is 600 cubic metres per second (21,000 cu ft/s). The rapids in the High Rhine should be viewed in the context of the relatively high slope—from 395 to 252 metres (1,296 to 827 ft) above sea level in just 165 kilometres (103 mi)—and the change of the river's course during the Würm ice age. In Neuhausen am Rheinfall, the river falls into a previously buried stream channel, forming the  Rhine Falls at Schaffhausen. The next rapids are the Kadelburg Rapids at Koblenz. Near Laufenburg, the post-glacial Rhine failed to find the old silted-up channel and hit a spur of Black Forest crystal. The river cut itself a gorge, containing the Laufenburg Rapids. The Laufenburg and Schwörstadt Rapids have been artificially eliminated by blowing up the rocks and raising the water level with dams.",0.5921955108642578,0.00735359126701951,0.5288652777671814,0.697984516620636,0.4778185784816742,0.5356086492538452,0.37299585342407227
On what date did this building officially open?,23 april 1969,['1971 10 16'],[],0,"The cinema was inaugurated on 23 April 1969 as Shahre Farang Cinema by the Rohani Saheban brothers. It was renamed  Azadi Cinema in 1980. It had two screens. The building caught fire on numerous occasions in 1976, 1990 and on 18 April 1997 at 13:50 which caused its closure.",0.09969115257263184,0.0106094591319561,0.01905703917145729,0.0031627947464585304,0.03192927688360214,0.010592404752969742,0.012623896822333336
Who found this building?,King,['Neagoe Basarab'],[],0,"The Cathedral of Curtea de Argeș (early 16th century) is a Romanian Orthodox cathedral in Curtea de Argeș, Romania. It is located on the grounds of the Curtea de Argeș Monastery, and is dedicated to Dormition of the Mother of God.  The building is the seat of the Archdiocese of Argeș and Muscel. The cathedral is faced with pale grey limestone, which was easily chiselled then hardened on exposure. The interior is of brick, plastered and decorated with frescoes. Nearby on the grounds stands the large Neo-Romanian style Royal Palace built in late 19th century.",0.27948835492134094,0.0005128913326188922,0.006153513677418232,0.0007450624252669513,0.0027732395101338625,0.001556737581267953,0.0015565968351438642
What is the weight of a male of this animal in kilogram?,50,['29.5'],[],0,"Technically a ""medium / large"" breed, according to the FCI standard the Rottweiler stands 61–69 cm (24–27 in) at the withers for males, 56–63 cm (22–25 in) for females, and the weight must be between 50 and 60 kg (110 and 132 lbs) for males and 35 and 48 kg (77 and 105 lbs) for females. Weight must be relative to height.",0.07864225655794144,0.03335471451282501,0.06259702891111374,0.41938745975494385,0.07078327238559723,0.1148047149181366,0.054398179054260254
What is the closest parent taxonomy of this plant?,Eucalyptus,['Acacia'],[],0,"Eucalyptus grandis was first formally described by Walter Hill in 1862 in Catalogue of the Natural and Industril Products of Queensland. The species name grandis ""large"" relates to this tree's large size. It is commonly known as the flooded gum and as rose gum in Queensland. It has been classified in the subgenus Symphyomyrtus, Section Latoangulatae, Series Transversae (eastern blue gums) by Brooker and Kleinig. Its two closest relatives are the Sydney blue gum (Eucalyptus saligna) and the mountain blue gum (E. deanei).",0.5846896767616272,0.000709950109012425,0.18916895985603333,0.3063676059246063,0.07923953980207443,0.193121999502182,0.03941112384200096
What is the height of this park in terms of foot above sea level?,1160,['20'],[],0,"The Mall is located on Nakasero Hill, an upscale neighborhood in Kampala, the capital and largest city of Uganda. The piece of property where the mall is located is bordered by Nile Avenue to the north, Yusuf Lule Road to the east, and De Winton Road to the south. The National Theater and Uganda Broadcasting Corporation border the location to the west. The mall complex is being erected on a 15 acres (6.1 ha) site that was previously occupied by Shimoni Teacher Training College, which was relocated to Kitikifumba in Kira Municipality. The elevation of the construction site is 1,160 metres (3,810 ft) above sea level, facing southeast, adjacent to Oasis Mall in Kampala's central business district. The coordinates of the mall are 0°19'02.0""N, 32°35'28.0""E (Latitude:0.317223; Longitude:32.591112).",0.05620340257883072,0.003153588157147169,0.03128703683614731,0.030622536316514015,0.11689800024032593,0.04724721238017082,0.0030366554856300354
Which diocese does this building belong to?,Saint john,['Diocese of Tagbilaran'],[],0,"The Roman Catholic Diocese of Saint John's–Basseterre (Latin: Dioecesis Sancti Ioannis–Imatellurana) is a diocese of the Latin Rite of the Roman Catholic Church, covering five English-speaking jurisdictions in the Caribbean. The bishopric is a suffragan of the Metropolitan Archdiocese of Castries, and a member of the Antilles Episcopal Conference, but remains dependent on the missionary Roman Congregation for the Evangelization of Peoples.",0.40983107686042786,0.018191387876868248,0.03927481546998024,0.006585459224879742,0.010033633559942245,0.048083364963531494,0.014568510465323925
What is the closest upper taxonomy of this animal?,Fish,['Gnathostomata'],[],0,"Franz Steindachner first described the species in 1863. Poecilia refers to the Greek word poikilos, which means ""with a lot of colours"". Common names include ""shortfin molly"" and ""Atlantic molly."" The type specimen was found in Orizaba, Mexico.",0.9132601618766785,0.0005049848696216941,0.04922909289598465,0.024523107334971428,0.005367667879909277,0.003226116532459855,0.002510353922843933
In which year did this building come into service?,1900,['1772'],[],0,"Sanction for the Northern Lighthouse Board to build the lighthouse was granted in 1897. It was designed by David Alan Stevenson.  The engineer's report specified a powerful fog signal was also required at the site. The lighthouse entered service on 1 October 1900. The light gave a flashing signal of two flashes in quick succession every 1⁄2 minute. When used, the fog signal was 3 blasts: low, low, high in quick succession every 1+1⁄2 minutes. The light was automated in 1988, with the fog signal having been discontinued the previous year. Following a comprehensive review of services by the UK's three General Lighthouse Authorities in 2005, it was decided that Killantringan was surplus to requirements – serving primarily as a waypoint.  The Lighthouse has been fully decommissioned, and along with the Lightkeepers House, is in private ownership",0.48070406913757324,0.0053267404437065125,0.06957414746284485,0.06622008979320526,0.13182111084461212,0.01091346051543951,0.07441331446170807
How many metre is the vertical depth of the lake?,50,['78'],[],0,"The lake has a maximum depth of 50 metres (160 ft), a relative depth of 2.8%, and an annually fluctuating water level of only 0.5 metres (1.6 ft) to 0.75 metres (2.5 ft). Upper reaches of the lake are shallow (1 to 4 m), with a sinuous channel constricted by a narrow ignimbrite gorge. As the gorge widens down lake, the depth increases to15 metres (49 ft) along a delta front, and to 40 metres (130 ft) to 50 metres (160 ft) in the basin immediately behind the dam.",0.14239639043807983,0.002507117809727788,0.033452533185482025,0.03775573894381523,0.041957203298807144,0.024510633200407028,0.03163936734199524
What is the parent organization of this aircraft?,Longview aviation,['Hawker Siddeley'],[],0,"On 8 November 2018, Viking Air parent Longview Aviation acquired the Bombardier Dash 8 program and the de Havilland brand from Bombardier to continue Q400 production, in Downsview until the lease ends in 2021, in a deal that closed in the second half of 2019, bringing together all of the DHC type certificates under one umbrella once again. Bombardier announced the sale was for $300 million, and expects $250 million net. After the deal, Longview will have $1 billion (US$670 million) in annual sales and 1,800 workers in Victoria, Calgary and Toronto. By November 2018 the sales of the higher-performance Q400 were slower than the cheaper ATR Aircraft. In January 2019, parent company Longview announced that it would establish a new company in Ontario, under the De Havilland Aircraft Company of Canada name, to continue production of the Bombardier Dash 8 line. The Dash 8 acquisition will vault Longview from 600–700 employees to up to 2,000 including the CL-415 new production. After Bombardier sold the Q400 plant in Downsview, Ontario, Longview has three years to find a new location in Ontario where production should stay with 1,000 people. In February 2022, Longview consolidated its activities, with Viking Air, Longview Aviation, Pacific Sky Training and De Havilland Canada all being rebranded as De Havilland Aircraft of Canada.",0.3668910264968872,0.00720813637599349,0.2348141074180603,0.06956230849027634,0.05596273019909859,0.07364298403263092,0.04270642623305321
Which body of water is this building located in or next to?,Lake,['River Thames'],[],0,"A water tower (castellum aquae) was ordinarily found at the end of each Roman aqueduct. Water was supplied from this reservoir to the wells and fountains, basins, thermae and maybe the irrigation canals. Its longitudinal axis is oriented north-south. There is a 10-meter height differential between the water tower site and the valley in which the Mediana buildings are located, providing a head for the fountains.",0.6687467694282532,0.0007410957477986813,0.07201877981424332,0.009905052371323109,0.013118579983711243,0.02184762991964817,0.003236961318179965
What is this building named after?,Holy trinity,['Trinity'],[],0,"Chichester Cathedral, formally known as the Cathedral Church of the Holy Trinity, is the seat of the Anglican Bishop of Chichester. It is located in Chichester, in West Sussex, England. It was founded as a cathedral in 1075, when the seat of the bishop was moved from Selsey. Chichester Cathedral has fine architecture in both the Norman and the Gothic styles, and has been described by the architectural critic Ian Nairn as ""the most typical English Cathedral"". Despite this, Chichester has two architectural features that are unique among England's medieval cathedrals—a free-standing medieval bell tower (or campanile) and double aisles. The cathedral contains two rare medieval sculptures, and many modern art works including tapestries, stained glass and sculpture, many of these commissioned by Walter Hussey (Dean, 1955–77). The city of Chichester, though it retains two main cross streets laid out by the Romans, has always been small enough for the city's entire population to fit inside the cathedral at once, causing Daniel Defoe to comment: I cannot say much of Chichester, in which, if six or seven good families were removed, there would not be much conversation, except what is to be found among the canons, and the dignitaries of the cathedral.  The spire of Chichester Cathedral, rising above its green copper roof, can be seen for many miles across the flat meadows of West Sussex and is a landmark for sailors, Chichester being the only medieval English cathedral which is visible from the sea.",0.9240893721580505,0.0027918689884245396,0.01180635392665863,0.1619817465543747,0.028021205216646194,0.6212795376777649,0.014248916879296303
What is this bridge named after?,Vasco da gama,['Vasco da Gama'],[],1,"The Vasco da Gama Bridge (Portuguese: Ponte Vasco da Gama; pronounced [ˈpõt(ɨ) ˈvaʃku dɐ ˈɡɐmɐ]) is a cable-stayed bridge flanked by viaducts that spans the Tagus River in Parque das Nações in Lisbon, the capital of Portugal. It is the second longest bridge in Europe, after the Crimean Bridge, and the longest one in the European Union. It was built to alleviate the congestion on Lisbon's 25 de Abril Bridge, and eliminate the need for traffic between the country's northern and southern regions to pass through the capital city. Construction began in February 1995; the bridge was opened to traffic on 29 March 1998, just in time for Expo 98, the World's Fair that celebrated the 500th anniversary of the discovery by Vasco da Gama of the sea route from Europe to India. The Vasco da Gama is one of two bridges that span the Tagus River in Lisbon.",0.8759928345680237,0.513501763343811,0.6350034475326538,0.4501221179962158,0.45618847012519836,0.6950186491012573,0.7244920134544373
