question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_evqa_bm25_base_no_context,llava_evqa_bm25_base_with_context,llava_evqa_bm25_no_p_prime,llava_evqa_bm25_no_p_q_i,llava_evqa_bm25_no_p_q_c,llava_evqa_bm25_no_p_q
What is the maximum number of flowers on a this plant stem?,20,['75'],[],0,"Delphinium depauperatum is a species of larkspur known by the common names slim larkspur and dwarf larkspur. This wildflower is native to western North America where it is found in mountain meadows. It grows from a short root and erects a stem usually under 40 centimeters in maximum height. The small leaves are divided into lobes and are usually located about the base of the plant. Toward the top of the stem are flowers on long pedicels, with usually not more than 20 flowers per plant. The flowers generally have deep dark blue sepals which are flat and extended to the sides, and petals which are mainly the same color except for the top two, which may be lighter blue to white. The spur is between one and two centimeters long.",0.7274967432022095,0.08841103315353394,0.010846140794456005,0.11694643646478653,0.11916942894458771,0.027106544002890587,0.016745926812291145
What is the botanical term for the male cones of this tree?,Strobili,['stroboli'],[],0,"Scottish botanist David Don described the species as Dammara australis. Agathis is derived from Greek and means 'ball of twine', a reference to the shape of the male cones, which are also known by the botanical term stroboli. Australis means 'southern'.",0.32470792531967163,0.0038013907615095377,0.034071218222379684,0.039351824671030045,0.14934346079826355,0.11174796521663666,0.04051335155963898
"Besides leioproctus, what is a pollinator of this plant?",Bee,['Melangyna novaezelandiae'],[],0,"Long-tongue bees of the genera Chalicodoma and Hylaeus and Eumenid wasps forage among the flowers, although only the long-tongue bee species Leioproctus raymenti is a pollinator. The fruit are eaten and scattered by vertebrates, such as kangaroos, possums, and currawongs and other large birds. Persoonia chamaepitys is killed by bushfire and regenerates from seed that has remained dormant in the soil.",0.6805828213691711,0.08182098716497421,0.020011190325021744,0.015521627850830555,0.2500731348991394,0.14711658656597137,0.24672585725784302
Homeowners are doing what to gardens for this insect?,Planting flowers,['establishing'],[],0,"The monarch is the state insect of Alabama, Idaho, Illinois, Minnesota, Texas, Vermont, and West Virginia. Legislation was introduced to make it the national insect of the United States, but this failed in 1989 and again in 1991. Homeowners are increasingly establishing butterfly gardens; monarchs can be attracted by cultivating a butterfly garden with specific milkweed species and nectar plants. Efforts are underway to establish these monarch waystations. An IMAX film, Flight of the Butterflies, describes the story of the Urquharts, Brugger, and Trail to document the then-unknown monarch migration to Mexican overwintering areas. Sanctuaries and reserves have been created at overwintering locations in Mexico and California to limit habitat destruction. These sites can generate significant tourism revenue. However, with less tourism, monarch butterflies will have a higher survival rate because they show more protein content and a higher value of immune response and oxidative defense. Organizations and individuals participate in tagging programs. Tagging information is used to study migration patterns. The 2012 novel by Barbara Kingsolver, Flight Behavior, deals with the appearance of a large population in the Appalachians.",0.038665998727083206,0.006415993440896273,0.01880793273448944,0.005117672495543957,0.04457496106624603,0.01685916632413864,0.02108844183385372
What is martin artquest at this museum?,Art station,['a permanent interactive gallery space'],[],0,"As a non-collecting museum, the Frist does not have a permanent collection; rather, the center focuses on creating exhibitions as well as securing traveling exhibitions from around the country and the world. Information regarding past, current and future exhibitions is found on the Frist's website. Each exhibition page contains detailed information about exhibition-related programs and an array of resources, including gallery guides, audio guides, videos and additional information from varying sources. Martin ArtQuest (MAQ) is a permanent interactive gallery space at the Frist Art Museum. The MAQ space consists of: a drawing station, a painting station, a printmaking station, a zoetrope station, a shadow theater, a stop-motion animation tool, an interactive Everbright wall composed of color-changing dials, a collaborative textile-weaving installation using a large six-sided art deco grid, a full-body-animated digital painting experience, and a sound pattern station which allows visitor to manipulate frequencies with sand on metal plates. MAQ is run by the Frist's Educational department, which is led by Anne Henderson, who is the Director of Education and Community Engagement.",0.492423415184021,0.0032249391078948975,0.0011624154867604375,0.2093626707792282,0.0044083003886044025,0.04338053986430168,0.004700446501374245
In what us state is this plant considered a severe noxious weed?,California,['California'],[],1,"In the United States, it is considered an invasive, noxious weed in the following states: Arizona (prohibited noxious weed), California (A listed noxious weed), Colorado (A listed noxious weed), Nevada (noxious weed), New Mexico (class B noxious weed), and Oregon (A designated weed, under quarantine). This may require land owners to exterminate infestations on their land or be fined, and allows access to government grants to buy herbicides to do so. It is illegal to sell plants of this species in the states listed above. Since 2005, with caveats, the cultivation, possession or sale of this species is also illegal in Louisiana. Since 2005 the possession of the seeds, the plant itself, and the alkaloids harmine and harmaline, which it contains, is illegal in France. In Finland, the plant is officially listed as a medicinal plant, which means one would require a doctors prescription to acquire it. In Canada, harmaline is illegal. In Australia, harmala alkaloids are illegal.",0.7154982089996338,0.29560384154319763,0.1465463787317276,0.055567290633916855,0.3156130611896515,0.162930428981781,0.26763632893562317
In what century was this castle founded?,12th,['14th'],[],0,"The first castle in Neath was located west of the river near the Roman fort of Nidum, and was a timber fortification in a motte and bailey structure.  When Richard de Grenville founded Neath Abbey close by, he abandoned this original castle, and it may have been used by the monks as a source of building material. A second castle on the opposite bank of the river, in what is now the centre of the town, is first documented in 1183; shortly afterwards, William de Cogan, son of Miles de Cogan, was appointed constable.  This second castle was built by Gilbert de Clare, 5th Earl of Gloucester. During the 13th century, being a Norman stronghold, it was subject to attack by the Welsh, notably by Llywelyn the Great, who captured it in 1231 with help from a local Welsh lord, Morgan Gam. Following this, it was substantially rebuilt by Richard de Clare, 6th Earl of Gloucester, Gilbert's son. It was taken again, and this time destroyed, by Humphrey de Bohun, 4th Earl of Hereford, in 1321, during the rebellion against King Edward II of England. Its owner, Hugh Despenser the Younger (who had gained the lordship through his marriage to the heiress Eleanor de Clare), rebuilt it, possibly with the addition of a gatehouse.  In 1376, one Roger Kyngot was the constable, and the castle was rebuilt in stone in 1377; that is probably when the great gatehouse was built, which is the main surviving feature. The castle was in use until the 17th century, and has been a recreational area for the town since the 18th century. The post of ""Constable of Neath Castle"", a medieval legacy, was held by Sir Humphrey Mackworth from 1703.  The title was eventually absorbed into that of Mayor of Neath. What remains of the castle is designated a Grade II* listed building.",0.4963386654853821,0.04364942014217377,0.06758685410022736,0.03616858273744583,0.0590023472905159,0.1254824697971344,0.05107099562883377
What are this bird considered?,Least concern,['specialized fruit-eaters'],[],0,"The yellow-breasted boatbill is considered least concern according to the International Union of Conservation of Nature (IUCN) Red List of Threatened Species. This species of bird has been judged as a non-issue and unimportant in terms of focus for species conservation. This is justified by the sheer range of land that the boatbill lives in and also the population size for this species, which does not show any negative trends and is not below the threshold to be considered a vulnerable species. The areas that the yellow-breasted boatbill inhabits within Northern Queensland are primarily protected areas. Furthermore, there are currently no major natural threats to the species presently. However, the boatbill is considered to be among the top 100 terrestrial Australian bird species that is most sensitive to the effects of climate change upon ecosystems across Australia. On account of its conservation status, the yellow-breasted boatbill is a valuable source of information because it can be studied to see what factors contribute to being able to thrive in harmony with humans. Ornithologists can focus on the components that contribute to the yellow-breasted boatbill's survival, as well as those factors which threaten it.",0.7297759652137756,0.6407720446586609,0.45845159888267517,0.1450391411781311,0.18303905427455902,0.11340997368097305,0.021845798939466476
What is this plant commonly known as?,Boarwood,['Texas yellow star'],[],0,"Symphonia globulifera, commonly known as boarwood, is a timber tree abundant in Central America, the Caribbean, South America and Africa. This plant is also used as a medicinal plant and ornamental plant.",0.672741711139679,0.002777626272290945,0.007023694459348917,0.016683124005794525,0.15520179271697998,0.044840008020401,0.013367663137614727
"When did unprecedented levels of this seaweed wash up on the beaches of brittany, france?",2009,['August 2009'],[],0,"Ulva lactuca is very common on rocks and on other algae in the littoral and sublittoral on shores all around the British Isles, the coast of France, the Low Countries and up to Denmark. It is particularly prolific in areas where nutrients are abundant. This has been the case off the coast of Brittany where a high level of nitrates, from the intensive farming there, washes out to sea. The result is that large quantities of Ulva lactuca are washed up on beaches, where their decay produces methane, hydrogen sulfide, and other gases. Certain environmental conditions can lead to the algae spreading over large areas. In August 2009, unprecedented levels of the algae washed up on the beaches of Brittany, France, causing a major public health scare as it decomposed. The rotting thalli produced large quantities of hydrogen sulfide, a toxic gas which, like hydrogen cyanide, inhibits cytochrome c oxidase, inhibiting cellular respiration and resulting in critical cellular hypoxia. In one incident near Saint-Michel-en-Grève, a horse rider lost consciousness and his horse died after breathing the seaweed fumes. Environmentalists blamed the phenomenon on excessive use of fertilizers and the excretion of nitrates by pig and poultry farmers. In an earlier separate incident at the same beach in July 2009, a truck driver had died near his vehicle after hauling three truckloads of sea lettuce without protective gear during the annual cleanup. Although initially recorded as a heart attack, the death of the truck driver prompted French authorities to exhume his remains for an autopsy. It was later determined to be cardiac arrest resulting from pulmonary edema, which is an indication of possible hydrogen sulfide poisoning. Dead animals found on the algae-clogged beaches (including thirty-one wild boars in July 2011) were also claimed to be linked to toxic fumes by environmentalists.",0.7909379601478577,0.8672382235527039,0.4635946452617645,0.935323178768158,0.9177399277687073,0.8573442697525024,0.8258886337280273
What is the maximum wing span of this bird?,15 meters,['32 cm'],[],0,"Eight competition classes of glider have been defined by the FAI. They are: Standard Class (No flaps, 15 m wing-span, water ballast allowed) 15 metre Class (Flaps allowed, 15 m wing-span, water ballast allowed) 18 metre Class (Flaps allowed, 18 m wing-span, water ballast allowed) Open Class (No restrictions except a limit of 850 kg for the maximum all-up weight) Two Seater Class (maximum wing-span of 20 m), also known by the German name ""Doppelsitzer"" Club Class (This class allows a wide range of older small gliders with different performance, so the scores have to be adjusted by handicapping. Water ballast is not allowed). World Class (The FAI Gliding Commission which is part of the FAI and an associated body called Organisation Scientifique et Technique du Vol à Voile (OSTIV) announced a competition in 1989 for a low-cost glider, which had moderate performance, was easy to assemble and to handle, and was safe for low hours pilots to fly. The winning design was announced in 1993 as the Warsaw Polytechnic PW-5. This allows competitions to be run with only one type of glider. Ultralight Class, for gliders with a maximum mass less than 220 kg.",0.06315610557794571,0.0027471152134239674,0.0010669423500075936,0.0009880762081593275,0.025326509028673172,0.002766556339338422,0.00290059857070446
phortse is off the main trekking circuit and therefore more resembles this village?,Yes,['an authentic Sherpa village'],[],0,"Phortse is a farming village located at 3840m in the Khumbu Valley in Nepal. It is off the main trekking circuit and therefore more resembles an authentic Sherpa village. There is a high trail connection to Pangpoche offering splendid views across the valley, which can be used instead of the standard Tengboche route.",0.9809738993644714,0.003914680331945419,0.003812139155343175,0.0086705656722188,0.01766832359135151,0.014680716209113598,0.015590539202094078
What can reverse the dormancy of this plant's seeds?,Light,['higher temperatures'],[],0,"Seed germination is a process by which a seed embryo develops into a seedling. It involves the reactivation of the metabolic pathways that lead to growth and the emergence of the radicle or seed root and plumule or shoot. The emergence of the seedling above the soil surface is the next phase of the plant's growth and is called seedling establishment. Three fundamental conditions must exist before germination can occur. (1) The embryo must be alive, called seed viability. (2) Any dormancy requirements that prevent germination must be overcome. (3) The proper environmental conditions must exist for germination. Far red light can prevent germination. Seed viability is the ability of the embryo to germinate and is affected by a number of different conditions. Some plants do not produce seeds that have functional complete embryos, or the seed may have no embryo at all, often called empty seeds. Predators and pathogens can damage or kill the seed while it is still in the fruit or after it is dispersed. Environmental conditions like flooding or heat can kill the seed before or during germination. The age of the seed affects its health and germination ability: since the seed has a living embryo, over time cells die and cannot be replaced. Some seeds can live for a long time before germination, while others can only survive for a short period after dispersal before they die. Seed vigor is a measure of the quality of seed, and involves the viability of the seed, the germination percentage, germination rate, and the strength of the seedlings produced. The germination percentage is simply the proportion of seeds that germinate from all seeds subject to the right conditions for growth. The germination rate is the length of time it takes for the seeds to germinate. Germination percentages and rates are affected by seed viability, dormancy and environmental effects that impact on the seed and seedling. In agriculture and horticulture quality seeds have high viability, measured by ",0.5276869535446167,0.06712514162063599,0.18631920218467712,0.12305514514446259,0.2770286202430725,0.15482276678085327,0.2679072320461273
How are the leaves of this plant similar to maple leaves?,Maple leaves,['superficially'],[],0,"A member of the Aceraceae (maple) family, Acer leucoderme can be most easily differentiated from its closest cousin, Acer floridanum (Florida maple or Southern sugar maple), by its leaves and size.  The leaves of the chalk maple are generally smaller, 5-8 cm across, with 3 to 5 lobes, whereas the leaves of the Florida maple are larger, up to 11 cm.  The leaves of A. leucoderme are yellow-green underneath rather than the whitish underside of Florida maple.  The lobes on the leaves of Florida maple are squarer and blunter than those of A. leucoderme. The chalk maple grows up to 9 m in height, though often appears with a more shrub-like presentation, whereas the Florida maple grows from 15 to 25 m  Both varieties share similar gray and white bark, though A. floridanum bark tends to curl up more around the edges.  Both provide a bright orange to red leaf display in the fall. Both trees retain their dry leaves in winter.",0.48443564772605896,0.010342945344746113,0.00312046823091805,0.003681669943034649,0.046714793890714645,0.016989467665553093,0.09104496240615845
goldcrests will occasionally feed on the ground among this?,Leaf litter,['leaf-litter'],[],0,"eggs of spiders and insects, and occasionally take pollen. All species will catch flying insects while hovering. Although the similarly sized goldcrest and firecrest are often found together, there are a number of factors that minimise direct competition for food. Goldcrests prefer smaller prey than common firecrests. Although both will take trapped insects from spider webs on autumn migration, firecrests will also eat the large orb-web spiders (on rare occasions kinglets have been found stuck in a spider web, either unable to move or dead). The goldcrest takes a wide variety of prey, especially spiders, caterpillars, bugs, springtails and flies. Larger prey such as oak bush crickets and tortrix moths may sometimes be taken. Flying insects are taken in hovering flight but not normally pursued; there is a record of a goldcrest attacking a large dragonfly in flight, only to be dragged along by the insect before releasing it unharmed. Goldcrests will occasionally feed on the ground among leaf-litter with tits. Non-animal food is rare, although goldcrests have been seen drinking sap from broken birch twigs together with tits and nuthatches. The goldcrest feeds in trees, frequently foraging on the undersides of branches and leaves. This is in contrast to the common firecrest, which mainly exploits the upper surface of branches in coniferous habitat and of leaves in deciduous trees. In winter, flocks of goldcrests cover a given distance at only one-third of the speed of common firecrests, taking the smallest prey items ignored by their relative. The differences in behaviour are facilitated by subtle morphological differences; firecrests have broader bills with longer rictal bristles (which protect a bird's eye from food items it is trying to capture), and these features reflect the larger prey taken by the species. The firecrest's less forked tail may reflect its longer episodes of hovering while hunting. Firecrests forage more often while on foot, and have a foot better adapted for",0.2831548750400543,0.40899333357810974,0.2086704969406128,0.11397245526313782,0.22659562528133392,0.31441232562065125,0.2861047089099884
This wilderness was at the southern what of Rohrbaugh Plains?,Dolly sods,['end'],[],0,"The original Dolly Sods was a mountaintop meadow of about 650 acres (3 km²) at the southern end of Rohrbaugh Plains,  near the present Dolly Sods Picnic Area. The present-day Dolly Sods Wilderness (DSW) encompasses some 17,371 acres (70 km²) of U.S. Forest Service land and is itself only part of a larger 32,000-acre (129 km²) area now known as ""Dolly Sods"". The DSW is bordered by Forest Service Routes 75 and 19 on the east and south sides, respectively. (Since the early 1970s it has been common practice to include the Red Creek Plains, Flatrock Plains and Roaring Plains areas to the south as part of the greater Dolly Sods area. Formerly, the area encompassed by these three mountaintop flats — all south of FS Rt 19 — was known locally and collectively as Huckleberry Plain.) To the northeast, DSW is bordered by the Bear Rocks Nature Preserve, owned by The Nature Conservancy. The surrounding area was recently added to the Wilderness and is known as Dolly Sods North (the High Sods). North of Dolly Sods North (and just outside the present DSW) is an area known as Dobbins Slashings — a sub-arctic bog forming the headwaters of Red Creek on Cabin Mountain. Dobbins Slashings has also been proposed for wilderness preservation. In the Canaan Valley to the west, the Wilderness is adjoined by the 16,000-acre (65 km²) Canaan Valley National Wildlife Refuge. Almost all of DSW is in the southeast corner of Tucker County with only very small sections extending into Randolph and Grant Counties.",0.3014902174472809,0.08511880040168762,0.06451842188835144,0.14014092087745667,0.04918074607849121,0.10421650856733322,0.537291944026947
What is the status of this bird in the milder parts of its range?,Least concern,['resident'],[],0,"This bird breeds in most of Europe and western Asia and winters in tropical Africa. The bird is listed as a ""least concern"" (LC) species on a global scale, but some parts of its range have seen a steep decline in numbers, so locally its status can be less secure.",0.3049567937850952,0.4219859540462494,0.07821599394083023,0.26805806159973145,0.3587189316749573,0.11588367819786072,0.06339484453201294
What kind of georgian plan does this building follow?,Symmetrical,['traditional'],[],0,"The building was programmed by David V. Robinson and constructed by Jesse Russell and Daniel Grumbly. The building is rendered primarily in both the Federal and Greek-Revival styles, but retains elements of the Georgian period that architectural historian Clay Lancaster noted as ""Georgian Survival.""  The exterior of the building is designed primarily in the Federal style which is accomplished by the emphasis that has been placed upon the central bay of the symmetrically aligned building. The building displays no brick belt course that would be characteristic of the previous Georgian style, nor does it utilize the temple form of the later Greek Revival period. The pedimented gable over the central bay is a distinct characteristic of the Georgian period of architecture. The building's carved limestone lintels above its facade windows and door feature circular bosses on both ends which are characteristic of the Greek Revival period. The interior radiates from a central hallway that traverses three floors. The plan is nearly symmetrical on all floors. Robinson, Russell and Grumbly possibly used the pattern books of Asher Benjamin and Owen Biddle Jr. to create a plan and details for the academy building, as many of the details align in form with the designs featured in Benjamin and Haviland's pattern books.",0.343008816242218,0.023236898705363274,0.03160173073410988,0.005749158561229706,0.014261928386986256,0.039863187819719315,0.007245210465043783
What part of the plant is similar between ipomoea quamoclit and this plant?,Flower,['flowers'],[],0,"Red morning glory is an annual plant, so it can be grown as a climber over a fence to make a summertime screen and attract butterflies. Ipomoea × multifida is a hybrid between I. quamoclit (the cypress vine) and I. coccinea. The allotetraploid of this hybrid is Ipomoea sloteri. Both are known as cardinal climber.",0.39835917949676514,0.21197086572647095,0.023869089782238007,0.12144079059362411,0.39438268542289734,0.2660270631313324,0.28537696599960327
What is another name for this bird?,Dhobin,['median egret'],[],0,"In older times in India, the species was sometimes kept as a cage-bird and was acclaimed for its singing ability. The native name of khanjan is used in the phrase ""khanjan-eyed"" to describe someone with beautiful eyes. The Khanjan was held sacred and considered a good omen in India as it supposedly bore an impression of Vishnu's shaligram on its breast. A variety of beliefs on the future predicted by where the bird sat and what it did have been documented by Saratchandra Mitra. Another local name for wagtails in India is dhobin (or washerwoman).",0.3412264287471771,0.0028504570946097374,0.01376909576356411,0.004533544182777405,0.09815970063209534,0.06665590405464172,0.012503751553595066
What genus is this tree in?,Substance,['Quercus'],[],0,"The following Porphyrian tree consists of three columns of words; the middlemost (in boldface) contains the series of genera and species, and we can take it as analogous to the trunk of a tree. The extremes (the terms that jut out to the left and right), containing the differentiae, we can take as analogous to the branches of a tree: The diagram shows the highest genus to be substance.  (Whether substance is a highest genus, really, is not in question here:  right now we are only going to discuss what the diagram shows, not whether what it shows is true or false.)  The technical term for a highest substance is summum genus.  So, substance is the summum genus as far as this diagram goes.  The diagram shows that the genus substance has two differentia, namely, ""thinking"" and ""extended"".  This indicates that there are two species of the genus substance, thinking substance and extended substance.  The diagram does not give a term for the species of thinking substance (this would be ""mind""), but it does give the term for the species of extended substance, namely, body.  That is, body is a species of the genus substance; body is that species of the genus substance that is extended. Now that we have seen body as a species of substance, we treat body as a genus itself.  As a genus, it has two differentia of its own, inanimate and animate.  So, there are two species of body, inanimate body and animate body.  The diagram does not tell us what the term for inanimate body is, but it indicates a term for animate body, namely, animal.  Animal is an animate species of the genus body. And, again, now that we have looked at animal as a species of the genus body, we look at animal now as a genus and consider its differentia, which are shown on the diagram to be irrational and rational.  Thus, according to the diagram there are two species of the genus animal, irrational animal and rational animal.  We are not told by the diagram what a term for irrational animal is, but the diagram i",0.786439836025238,0.007700279355049133,0.10045504570007324,0.04256731644272804,0.2115679681301117,0.05977484956383705,0.04422265291213989
How many petal-like sepals do the flowers of this plant have?,5,['6 to 12'],[],0,"The flowers have five petal-like sepals surrounding a ring of small, cup-like nectaries which are actually petals modified to hold nectar. The sepals do not fall as petals would, but remain on the plant, sometimes for many months. Recent research in Spain suggests that the persistence of the sepals contributes to the development of the seeds.",0.3215275704860687,0.010750203393399715,0.013380479998886585,0.015189897269010544,0.043699249625205994,0.00791831873357296,0.02243633009493351
How long does it take this bird to recover on the surface?,10 seconds,['5 to 10 seconds'],[],0,"The White tern primarily feed on smaller fish which it catches by plunge diving down on the surface, but it does not submerge fully. It is a long-lived bird, having been recorded living for 18 years.",0.09200339764356613,0.005184715148061514,0.0011470294557511806,0.0015026897890493274,0.011885394342243671,0.0020585418678820133,0.003176651196554303
Where is this nuraghe considered unique?,North east sardinia,['North-East Sardinia'],[],0,"The Nuraghe La Prisgiona is a  nuragic archaeological site (occupied from the 14th until the 9th century B.C.), located in the Capichera valley in the municipality of Arzachena Costa Smeralda in the north of Sardinia. It consists of a nuraghe and a village comprising around 90-100 buildings, spread across 5 hectares. Findings from this site are in many cases unique in Sardinia, particularly with regard to decoration and use. Due to the large extent and number of buildings the site is considered unique in North-East Sardinia. There is also some evidence for occupation during Roman and medieval times. The Giants' grave Coddu Vecchiu is located nearby.",0.22002854943275452,0.04903474077582359,0.05409219488501549,0.0011242261389270425,0.10069116204977036,0.32062315940856934,0.016551034525036812
