question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,qwen_evqa_rerank_base_no_context,qwen_evqa_rerank_base_with_context,qwen_evqa_rerank_no_p_prime,qwen_evqa_rerank_no_p_q_i,qwen_evqa_rerank_no_p_q_c,qwen_evqa_rerank_no_p_q
What is the maximum number of flowers on a this plant stem?,6,['75'],[],0,"In late spring, (or April), it has between 4–6 flowers per stem and reaches a maximum height of 45 cm (18 in) tall.  It has pale silvery mauve flowers. It also comes in blueish-lavender, or blue-violet shades. The flowers are 6–8 cm (2–3 in) wide with a wavy, white crest on each fall. Which is surrounded by a pale, boldly veined zone. The white margined leaves, have glossy mid-green tops, but with greyish green bottoms, which are scattered along the stem. The leaves grow to approximately 20 cm (8 in) tall at flowering time, then they extend to twice this. They are between 1.5–3.5 cm (1–1 in) wide.",0.9838236570358276,0.15931656956672668,0.5311707258224487,0.4288441240787506,0.5161250233650208,0.5012468099594116,0.48197537660598755
What is the botanical term for the male cones of this tree?,Stroboli,['stroboli'],[],1,"Scottish botanist David Don described the species as Dammara australis. Agathis is derived from Greek and means 'ball of twine', a reference to the shape of the male cones, which are also known by the botanical term stroboli. Australis means 'southern'.",0.9871699810028076,0.05575138330459595,0.08035480231046677,0.3811093270778656,0.19070152938365936,0.08532935380935669,0.19757848978042603
"Besides leioproctus, what is a pollinator of this plant?",None.,['Melangyna novaezelandiae'],[],0,"Long-tongue bees of the genera Chalicodoma and Hylaeus and Eumenid wasps forage among the flowers, although only the long-tongue bee species Leioproctus raymenti is a pollinator. The fruit are eaten and scattered by vertebrates, such as kangaroos, possums, and currawongs and other large birds. Persoonia chamaepitys is killed by bushfire and regenerates from seed that has remained dormant in the soil.",0.5042949914932251,0.0007439215551130474,0.0006192168802954257,0.000440220843302086,0.0019365194020792842,0.0004907369147986174,0.0008408260182477534
Homeowners are doing what to gardens for this insect?,Establishing butterfly gardens,['establishing'],[],0,"The monarch is the state insect of Alabama, Idaho, Illinois, Minnesota, Texas, Vermont, and West Virginia. Legislation was introduced to make it the national insect of the United States, but this failed in 1989 and again in 1991. Homeowners are increasingly establishing butterfly gardens; monarchs can be attracted by cultivating a butterfly garden with specific milkweed species and nectar plants. Efforts are underway to establish these monarch waystations. An IMAX film, Flight of the Butterflies, describes the story of the Urquharts, Brugger, and Trail to document the then-unknown monarch migration to Mexican overwintering areas. Sanctuaries and reserves have been created at overwintering locations in Mexico and California to limit habitat destruction. These sites can generate significant tourism revenue. However, with less tourism, monarch butterflies will have a higher survival rate because they show more protein content and a higher value of immune response and oxidative defense. Organizations and individuals participate in tagging programs. Tagging information is used to study migration patterns. The 2012 novel by Barbara Kingsolver, Flight Behavior, deals with the appearance of a large population in the Appalachians.",0.9657361507415771,0.014062495902180672,0.10479101538658142,0.07311862707138062,0.20741286873817444,0.10472478717565536,0.1658775508403778
What is martin artquest at this museum?,A permanent interactive gallery space.,['a permanent interactive gallery space'],[],0,"As a non-collecting museum, the Frist does not have a permanent collection; rather, the center focuses on creating exhibitions as well as securing traveling exhibitions from around the country and the world. Information regarding past, current and future exhibitions is found on the Frist's website. Each exhibition page contains detailed information about exhibition-related programs and an array of resources, including gallery guides, audio guides, videos and additional information from varying sources. Martin ArtQuest (MAQ) is a permanent interactive gallery space at the Frist Art Museum. The MAQ space consists of: a drawing station, a painting station, a printmaking station, a zoetrope station, a shadow theater, a stop-motion animation tool, an interactive Everbright wall composed of color-changing dials, a collaborative textile-weaving installation using a large six-sided art deco grid, a full-body-animated digital painting experience, and a sound pattern station which allows visitor to manipulate frequencies with sand on metal plates. MAQ is run by the Frist's Educational department, which is led by Anne Henderson, who is the Director of Education and Community Engagement.",0.9915071129798889,0.0047140223905444145,0.0006572513375431299,0.0005931013147346675,0.0029215654358267784,0.0010004014475271106,0.0019699763506650925
In what us state is this plant considered a severe noxious weed?,California,['California'],[],1,"In the United States, it is considered an invasive, noxious weed in the following states: Arizona (prohibited noxious weed), California (A listed noxious weed), Colorado (A listed noxious weed), Nevada (noxious weed), New Mexico (class B noxious weed), and Oregon (A designated weed, under quarantine). This may require land owners to exterminate infestations on their land or be fined, and allows access to government grants to buy herbicides to do so. It is illegal to sell plants of this species in the states listed above. Since 2005, with caveats, the cultivation, possession or sale of this species is also illegal in Louisiana. Since 2005 the possession of the seeds, the plant itself, and the alkaloids harmine and harmaline, which it contains, is illegal in France. In Finland, the plant is officially listed as a medicinal plant, which means one would require a doctors prescription to acquire it. In Canada, harmaline is illegal. In Australia, harmala alkaloids are illegal.",0.9726593494415283,0.5303624868392944,0.7658892869949341,0.5728631615638733,0.35938164591789246,0.5693321228027344,0.48902684450149536
In what century was this castle founded?,11th century,['14th'],[],0,"The castle was founded around 1080 by Hartnidus of Ort, and improvements continued to be made into the thirteenth century - for example by Hartnidus V in 1244.  In 1344 the brothers Friedrich and Reinprecht I of Wallsee purchased the castle, which became Friedrich’s sole possession on January 25, 1350.  The castle remained in the possession of the Wallsee family until 1483, when Schloss Ort passed to Frederick III, Holy Roman Emperor.",0.9900903701782227,0.013886665925383568,0.013891479931771755,0.0007508901180699468,0.043281231075525284,0.0059723760932683945,0.0278432946652174
What are this bird considered?,a subspecies of the slaty-backed chat-tyrant,['specialized fruit-eaters'],[],0,This bird is often considered to be a subspecies of the slaty-backed chat-tyrant (Ochthoeca cinnamomeiventris).,0.948073148727417,0.0009246502304449677,0.0005192778771743178,0.0004219741385895759,0.0004776124842464924,0.00047378207091242075,0.00075301225297153
What is this plant commonly known as?,Vetstingel,['Texas yellow star'],[],0,"This plant is commonly known in the local Afrikaans language as ""Vetstingel"" (""Fat-stalk""). This name, like its Latin species name ""robusta"", refers to its thick peduncle. Another common name is ""Bokverwurg"" (""Goat-choaker""), on account of the extremely hard, sharp leaves on its stems.",0.9913942217826843,0.2941524088382721,0.3340389132499695,0.4531804323196411,0.12639464437961578,0.3499819338321686,0.19082321226596832
"When did unprecedented levels of this seaweed wash up on the beaches of brittany, france?",August 2009,['August 2009'],[],1,"In August 2009, unprecedented amounts of these algae washed up on the beaches of Brittany, France, causing a major public health scare as it decomposed. The rotting leaves produced large quantities of hydrogen sulfide, a toxic gas. In one incident near Saint-Michel-en-Grève, a horse rider lost consciousness and his horse died after breathing the seaweed fumes; in another, a lorry driver driving a load of decomposing sea lettuce passed out, crashed, and died, with toxic fumes claimed to be the cause. Environmentalists blamed the phenomenon on excessive nitrogenous compounds washed out to sea from improper disposal of pig and poultry animal waste from industrial farms.",0.9837823510169983,0.5917444825172424,0.6105287075042725,0.7487878799438477,0.5906219482421875,0.6739940643310547,0.4665888249874115
What is the maximum wing span of this bird?,Not specified in the text.,['32 cm'],[],0,"This medium-sized bird has a length of about 24 cm. It has a wing length between 117 and 131 mm, a culmen length between 20 and 24 mm and a tarsus length between 30,0 and 34,5 mm. It can reach a mass of at least 86 g. It occurs in the Pare and Usambara mountains of north-central Tanzania.",0.7569460868835449,0.0006633615121245384,0.0004029238480143249,0.0003749977331608534,0.00045710999984294176,0.0004517821653280407,0.000653911498375237
phortse is off the main trekking circuit and therefore more resembles this village?,authentic Sherpa village,['an authentic Sherpa village'],[],0,"Phortse is a farming village located at 3840m in the Khumbu Valley in Nepal. It is off the main trekking circuit and therefore more resembles an authentic Sherpa village. There is a high trail connection to Pangpoche offering splendid views across the valley, which can be used instead of the standard Tengboche route.",0.9914302229881287,0.373035728931427,0.12120494991540909,0.001668199896812439,0.14141812920570374,0.0323428250849247,0.2987556457519531
What can reverse the dormancy of this plant's seeds?,Gibberellic acid,['higher temperatures'],[],0,"It contains chemicals of the class glucosinolates, including sinalbin. The seeds contain a plant hormone, Gibberellic acid, which effects the dormancy of the seeds.",0.9912625551223755,0.6190810799598694,0.6267468929290771,0.8872609734535217,0.4671792984008789,0.6854793429374695,0.4365438222885132
How are the leaves of this plant similar to maple leaves?,Both have three lobes.,['superficially'],[],0,"Liquidambar acalycina is a deciduous tree that has a brown to black colored bark with a conical/pyramidal shape. It matures quickly to a medium height at about 10m in height, and 6m in width. The leaves have three lobes, making the tree similar to a maple tree. However, they are more star shaped than maple leaves. The leaves emerge with a burgundy color in spring, but as they grow and mature in summer, they become green, which indicates their increasing ability to photosynthesize. When nearing fall, the leaves return to a red to purple color. During the months of April to May, monoecious flowers begin to bud with yellow-green colors, but are insignificant for pollination in attracting pollinators. The fruit of this tree is a dark brown color. This tree serves as a shade tree for gardens. Liquidambar acalycina prefers soil that is acidic and clay-based.",0.9902098178863525,0.12216588109731674,0.0005346920806914568,0.00046041887253522873,0.0008549898047931492,0.0009283689432777464,0.0019076266326010227
goldcrests will occasionally feed on the ground among this?,leaf-litter,['leaf-litter'],[],1,"eggs of spiders and insects, and occasionally take pollen. All species will catch flying insects while hovering. Although the similarly sized goldcrest and firecrest are often found together, there are a number of factors that minimise direct competition for food. Goldcrests prefer smaller prey than common firecrests. Although both will take trapped insects from spider webs on autumn migration, firecrests will also eat the large orb-web spiders (on rare occasions kinglets have been found stuck in a spider web, either unable to move or dead). The goldcrest takes a wide variety of prey, especially spiders, caterpillars, bugs, springtails and flies. Larger prey such as oak bush crickets and tortrix moths may sometimes be taken. Flying insects are taken in hovering flight but not normally pursued; there is a record of a goldcrest attacking a large dragonfly in flight, only to be dragged along by the insect before releasing it unharmed. Goldcrests will occasionally feed on the ground among leaf-litter with tits. Non-animal food is rare, although goldcrests have been seen drinking sap from broken birch twigs together with tits and nuthatches. The goldcrest feeds in trees, frequently foraging on the undersides of branches and leaves. This is in contrast to the common firecrest, which mainly exploits the upper surface of branches in coniferous habitat and of leaves in deciduous trees. In winter, flocks of goldcrests cover a given distance at only one-third of the speed of common firecrests, taking the smallest prey items ignored by their relative. The differences in behaviour are facilitated by subtle morphological differences; firecrests have broader bills with longer rictal bristles (which protect a bird's eye from food items it is trying to capture), and these features reflect the larger prey taken by the species. The firecrest's less forked tail may reflect its longer episodes of hovering while hunting. Firecrests forage more often while on foot, and have a foot better adapted for",0.9832067489624023,0.4913579225540161,0.6718829870223999,0.8326708078384399,0.9015375971794128,0.8671172857284546,0.600281298160553
This wilderness was at the southern what of Rohrbaugh Plains?,end,['end'],[],1,"The original Dolly Sods was a mountaintop meadow of about 650 acres (3 km²) at the southern end of Rohrbaugh Plains,  near the present Dolly Sods Picnic Area. The present-day Dolly Sods Wilderness (DSW) encompasses some 17,371 acres (70 km²) of U.S. Forest Service land and is itself only part of a larger 32,000-acre (129 km²) area now known as ""Dolly Sods"". The DSW is bordered by Forest Service Routes 75 and 19 on the east and south sides, respectively. (Since the early 1970s it has been common practice to include the Red Creek Plains, Flatrock Plains and Roaring Plains areas to the south as part of the greater Dolly Sods area. Formerly, the area encompassed by these three mountaintop flats — all south of FS Rt 19 — was known locally and collectively as Huckleberry Plain.) To the northeast, DSW is bordered by the Bear Rocks Nature Preserve, owned by The Nature Conservancy. The surrounding area was recently added to the Wilderness and is known as Dolly Sods North (the High Sods). North of Dolly Sods North (and just outside the present DSW) is an area known as Dobbins Slashings — a sub-arctic bog forming the headwaters of Red Creek on Cabin Mountain. Dobbins Slashings has also been proposed for wilderness preservation. In the Canaan Valley to the west, the Wilderness is adjoined by the 16,000-acre (65 km²) Canaan Valley National Wildlife Refuge. Almost all of DSW is in the southeast corner of Tucker County with only very small sections extending into Randolph and Grant Counties.",0.9843904376029968,0.3384677767753601,0.8380112051963806,0.8255423903465271,0.6125577688217163,0.7510192394256592,0.6870651245117188
What is the status of this bird in the milder parts of its range?,Residents,['resident'],[],0,"This species breeds throughout Eurasia up to latitudes 75°N, only being absent in the Arctic from areas where the July isotherm is less than 4 °C. It also breeds in the mountains of Morocco and western Alaska. It occupies a wide range of habitats, but is absent from deserts. White wagtails are residents in the milder parts of its range such as western Europe and the Mediterranean, but migratory in much of the rest of its range. Northern European breeders winter around the Mediterranean and in tropical and subtropical Africa, and Asiatic birds move to the Middle East, India, and Southeast Asia. Birds from the North American population also winter in tropical Asia.",0.8497708439826965,0.2946915328502655,0.8575788140296936,0.7443195581436157,0.7437233924865723,0.7231041789054871,0.6772263646125793
What kind of georgian plan does this building follow?,Six-conch-within-rectangle plan,['traditional'],[],0,"Stylistically, Nikortsminda reflects the Georgian cross-dome style of architecture, following a six-conch-within-rectangle plan. The rectangular western apse has adjoining side chapels.",0.9895921945571899,0.018991034477949142,0.0008497624075971544,0.0004021615313831717,0.005737262777984142,0.0005782256484963,0.004403514787554741
What part of the plant is similar between ipomoea quamoclit and this plant?,flowers,['flowers'],[],1,"Ipomoea coccinea is often confused with Ipomoea quamoclit since the flowers are similar. However, the leaves of the two species are very different. Ipomoea quamoclit has leaves that are more divided, resembling a pine bough, and look more like a cypress vine. Ipomoea coccinea has a red-orange color while I. hederifolia has a darker red colour. Also, they have more of a pinched shaped seed. Their leaves are lobed but not separated into leaflets. There is one leaf per node along the stem; the edge of the leaf blade depends, some have teeth and lobes.",0.9771367907524109,0.3158802092075348,0.9289377331733704,0.7739997506141663,0.8804816007614136,0.7134829163551331,0.6998423337936401
What is another name for this bird?,ʻŌʻō,['median egret'],[],0,"Mamo or woowoo is a common name for two species of extinct birds.  Together with the extant ʻIʻiwi they make up the genus Drepanis.  These nectarivorous finches were endemic to Hawaii but are now extinct. The Hawaiian name may be related to the name of the ʻōʻō (Moho nobilis), a bird with a similar appearance.  Another name for the mamo was ʻōʻō-nuku-umu, meaning ""ʻōʻō with the sucking beak"". Two species are known.",0.7498086094856262,0.0053261141292750835,0.024866824969649315,0.057443585246801376,0.13038469851016998,0.11220008879899979,0.04649931564927101
What genus is this tree in?,Triplaris,['Quercus'],[],0,Triplaris is a genus of plants in the family Polygonaceae. Ant tree is a common name for plants in this genus. The species are variously distributed in the Americas. Some species are used for lumber. They are dioecious pioneer species.,0.9923930168151855,0.8173770308494568,0.0898134857416153,0.016911059617996216,0.10933878272771835,0.19002346694469452,0.21011464297771454
How many petal-like sepals do the flowers of this plant have?,Five,['6 to 12'],[],0,"The flowers have five petal-like sepals surrounding a ring of small, cup-like nectaries which are actually petals modified to hold nectar. The sepals do not fall as petals would, but remain on the plant, sometimes for many months. Recent research in Spain suggests that the persistence of the sepals contributes to the development of the seeds.",0.9798702001571655,0.37305498123168945,0.5610696077346802,0.5625401139259338,0.6922804713249207,0.6086660027503967,0.48595985770225525
How long does it take this bird to recover on the surface?,5 to 10 seconds,['5 to 10 seconds'],[],1,"The little pied cormorant is a benthic feeder, i.e. it finds its prey on the sea floor. It is a solitary feeder, normally diving in relatively shallow water, often near the shore. Dive times are short, around 15 to 20 seconds, with recovery times on the surface of 5 to 10 seconds unless prey are being swallowed. It takes a variety of fish prey but an unusually high proportion (nearly 30% by weight on average, and up to 80% in some individuals) of crustaceans. In New Zealand waters it is most often seen preying on the local flounder and other small flatfish. Eels and insect larvae are also consumed. These are brought to the surface to be swallowed: the bird will sometimes put a fish down on the surface of the water in order to re-orient it and swallow it head first. Because of this habit, they suffer some kleptoparasitism from red-billed gulls.",0.9550110697746277,0.04546385258436203,0.08790653944015503,0.11991652846336365,0.15903975069522858,0.10076165199279785,0.04163255915045738
Where is this nuraghe considered unique?,North-East Sardinia,['North-East Sardinia'],[],1,"The Nuraghe La Prisgiona is a  nuragic archaeological site (occupied from the 14th until the 9th century B.C.), located in the Capichera valley in the municipality of Arzachena Costa Smeralda in the north of Sardinia. It consists of a nuraghe and a village comprising around 90-100 buildings, spread across 5 hectares. Findings from this site are in many cases unique in Sardinia, particularly with regard to decoration and use. Due to the large extent and number of buildings the site is considered unique in North-East Sardinia. There is also some evidence for occupation during Roman and medieval times. The Giants' grave Coddu Vecchiu is located nearby.",0.9857932925224304,0.21580317616462708,0.19842395186424255,0.054416850209236145,0.5542075634002686,0.020655391737818718,0.025058170780539513
What type of virus can attack this tree?,Computer virus,['plant viruses'],[],0,"Attack trees can become large and complex, especially when dealing with specific attacks.  A full attack tree may contain hundreds or thousands of different paths all leading to completion of the attack.  Even so, these trees are very useful for determining what threats exist and how to deal with them. Attack trees can lend themselves to defining an information assurance strategy.  It is important to consider, however, that implementing policy to execute this strategy changes the attack tree.  For example, computer viruses may be protected against by refusing the system administrator access to directly modify existing programs and program folders, instead requiring a package manager be used.  This adds to the attack tree the possibility of design flaws or exploits in the package manager. One could observe that the most effective way to mitigate a threat on the attack tree is to mitigate it as close to the root as possible. Although this is theoretically sound, it is not usually possible to simply mitigate a threat without other implications to the continued operation of the system.  For example, the threat of viruses infecting a Windows system may be largely reduced by using a standard (non-administrator) account and NTFS instead of FAT file system so that normal users are unable to modify the operating system.  Implementing this negates any way, foreseen or unforeseen, that a normal user may come to infect the operating system with a virus; however, it also requires that users switch to an administrative account to carry out administrative tasks, thus creating a different set of threats on the tree and more operational overhead.  Also, users are still able to infect files to which they have write permissions, which may include files and documents. Systems using cooperative agents that dynamically examine and identify vulnerability chains, creating attack trees, have been built since 2000.",0.9501281380653381,0.06956775486469269,0.006387725006788969,0.0039497436955571175,0.051008157432079315,0.05870121344923973,0.032421767711639404
What kind of quail can be found in this nature reserve?,Spot-winged wood quail,['common'],[],0,"As of 2009 the Biological Reserve was a strict nature reserve under IUCN protected area category Ia, with a terrestrial area of 4,469 hectares (11,040 acres). Protected bird species are white-necked hawk (Buteogallus lacernulatus), rufous gnateater (Conopophaga lineata), scalloped antbird (Myrmeciza ruficauda), spot-winged wood quail (Odontophorus capueira), golden-spangled piculet (Picumnus exilis) and Alagoas tyrannulet (Phylloscartes ceciliae).",0.9920135140419006,0.008064600639045238,0.008228902705013752,0.0005577426636591554,0.1306890994310379,0.20075006783008575,0.01698910817503929
What was erratic about this theatre?,"Its existence and management were unstable, with frequent director changes and periods of closure.",['existence'],[],0,"Founded in 1876, it had an erratic existence and seemed that it would never get off the ground. In its first decade it had fifteen different artistic directors, the most notorious being Olga Léaud who fled the theatre after her production had failed, taking the contents of the theatre safe with her. The theatre's fortunes were revived briefly in 1885 by the arrival of Abel Ballet as the director. In 1896, Abel Ballet left the direction of Bouffes North. The two actors Emmanuel Clot and G. Dublay succeeded him. In 1904, the theatre, under the direction of its directors, was entirely restored, repainted, and equipped with electricity. The theatre was renamed the Théâtre Molière and authors such as Arthur Bernède and Gaston Leroux were assembled to write plays for the newly named theatre.  In August 1914 the Théâtre Molière, like other theatres, closed its doors. Until 1974, the theatre was inhabited by a number of theatre companies, none of which were able to afford the repairs and maintenance needed for it to conform with safety regulations. British director Peter Brook and French producer Micheline Rozan took over the theatre in 1974 as the home for their theatre company, the International Centre for Theatre Research. A renovation followed. In 2008, Brook announced that he would slowly hand the reins over to Olivier Mantei, the deputy head of the Paris opera company Opéra-Comique and head of the musical programming at the Bouffes du Nord, and Olivier Poubelle, a theatre entrepreneur specialising in modern music. His farewell production was A Magic Flute.",0.7741284966468811,0.0007356551941484213,0.0004172376065980643,0.00036273719160817564,0.0004626033187378198,0.0004744581528939307,0.0006918311701156199
In what country is this temple located?,China,['Taiwan'],[],0,"The Golden Temple Park, or Jindian Park (simplified Chinese: 金殿公园; traditional Chinese: 金殿公園; pinyin: Jīndiàn Gōngyuán), is a Taoist bronze-tiled temple in Yunnan, China, and is the largest bronze temple in the country. It is located on the Mingfeng Mountains, seven kilometers to the east of Kunming.",0.9915059208869934,0.7595040202140808,0.4638407528400421,0.6033600568771362,0.32611626386642456,0.2812407314777374,0.5759545564651489
What type of song sparrow is this bird?,Cannot determine from image alone.,['desert'],[],0,"The song sparrow (Melospiza melodia) is a medium-sized New World sparrow. Among the native sparrows in North America, it is easily one of the most abundant, variable and adaptable species.",0.6044006943702698,0.0006580429617315531,0.0003960204485338181,0.00035993356141261756,0.00043580314377322793,0.0004529144789557904,0.000664552382659167
How tall does this plant grow?,3 to 3.7 metres,['20 centimeters'],[],0,"The plant can grow to be between 3 and 3.7 metres (9.8 and 12.1 ft) tall. Its flowers are white, 4 to 5 centimetres (1.6 to 2.0 in) across, and its fruits ('hips') are red. It blooms in the summer (July in England, May–June in Bulgaria).",0.7180672287940979,0.004861143417656422,0.0005778158083558083,0.0005834869807586074,0.0013176422799006104,0.0004842202179133892,0.0012997777666896582
What color is the undertail of both male and female this bird?,White,['white'],[],1,"It is sexually dimorphic, with males more brightly coloured. Both sexes have vivid, gingery green upperpart plumage. The tail feathers have a metallic blue-green gloss. The outer three rectices on each side are tipped and fringed white, giving the undertail of perched birds a characteristic white appearance (compare bar-tailed trogon). The wing coverts are a grizzled grey, and remiges mostly colourless grey. The male especially, has bright amaranth red underside plumage and bare, green gape and eye flanges. The female has brown face and chest plumage, blue skin orbiting the eyes and duller red plumage below. Immature birds resemble females, but have distinct white tips to the tertials (inner wing), and less distinct gape and eye flanges.",0.9801281094551086,0.4644334316253662,0.3925812244415283,0.21512371301651,0.38331106305122375,0.37425944209098816,0.33974161744117737
"Other than foliage, what else is a cultivar of this tree selected for?",Flowers and fruit,['habit'],[],0,"Away from its native range, the species is grown as an ornamental tree for its strongly fragrant flowers, throughout temperate regions of the world. A number of cultivars have been selected for their ornamental value, including 'Albomarginata', with variegated foliage, 'Bommii', a dwarf with strongly pendulous branches, 'Globosa', a compact dwarf clone, 'Pendula', with drooping branching, and 'Xanthocarpa' with yellow fruit.",0.8849639892578125,0.2928057909011841,0.5203449726104736,0.30595797300338745,0.35454750061035156,0.6170563101768494,0.2176225632429123
