question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_infoseek_eva_clip_base_no_context,llava_infoseek_eva_clip_base_with_context,llava_infoseek_eva_clip_no_p_prime,llava_infoseek_eva_clip_no_p_q_i,llava_infoseek_eva_clip_no_p_q_c,llava_infoseek_eva_clip_no_p_q
Who is the manufacturer of this aircraft?,Boeing,['Airbus'],[],0,This is a list of defunct airlines of France.,0.9444963932037354,0.45255663990974426,0.10833859443664551,0.007369312923401594,0.032610904425382614,0.04964892566204071,0.04854781553149223
What is the closest parent taxonomy of this bird?,Crane,['Egretta'],[],0,"In La Florida, 90 species of birds have been registered, of which 13 endemic, uniquely in this wetland:",0.32458460330963135,0.0006021816516295075,0.010789879597723484,0.005085944663733244,0.001013023080304265,0.006771790329366922,0.004248965065926313
Which city or region does this building locate in?,Nuremberg,['Nuremberg'],[],1,"The main seat and commercial center of the family was the Haller House in Nuremberg, Karl Street 13–15 (today a toy museum). The only mansion still owned by the family is Grossgründlach Castle north of Nuremberg, a residence of the barons Haller since 1766 when they inherited it from the patrician family Pfinzing. However, over the centuries the family acquired about four dozen estates, mostly with castles or manor houses, around their home town. Between 1337 and 1500 they were the lords of Gräfenberg where alone they built four manor houses. From 1365 until 1540 they owned Malmsbach castle near Schwaig and between 1370 and 1647 Ziegelstein Castle (a neighborhood in the north-eastern outskirts of Nuremberg, with a castle destroyed in 1642). Some of the longest held properties were Kalchreuth (1395–1850) and Puckenhof (at Buckenhof, 1462–1848). In Mögeldorf, an eastern quarter of Nuremberg, they had two houses, the medieval tower house called Hallerschloss (1555–1652) and the Cnopfsches Schloss (1550–1571).",0.8247113823890686,0.8654844760894775,0.041923120617866516,0.10550829768180847,0.0555548332631588,0.19732600450515747,0.260307252407074
Which city or region does this building locate in?,Hungary,['Sümeg'],[],0,"It is irregular in shape, and situated in a north–south orientation atop a mountain called ""Castle Hill"", 20 miles north of Lake Balaton. It has two towers, and is 125 metres long and 80 metres wide. The interior contains a walled pathway. This leads to internal gatehouse that opens into the main courtyard.",0.5242658257484436,0.003963160328567028,0.17473092675209045,0.16101191937923431,0.038528602570295334,0.05021899193525314,0.0071159894578158855
Which continent does this building belong to?,Asia,['Europe'],[],0,"Gobustan National Park, Azerbaijan Kyaiktiyo Pagoda, Mon State, Burma Aphrodite's Rock, Paphos, Cyprus Tanah Lot, Bali, Indonesia Jeti-Ögüz, Jeti-Ögüz district, Kyrgyzstan Tanjong Bunga, Penang, Malaysia Al Naslaa rock formation, Saudi Arabia Long Ya Men, Singapore Seorak-san National Park, Sokcho, South Korea Yehliu, Taiwan Halong Bay, Vietnam",0.9044261574745178,0.7267931699752808,0.06603945046663284,0.16682587563991547,0.18392324447631836,0.04191361367702484,0.02679833024740219
what has this bridge crossed over?,Seine,['Seine'],[],1,"The station is located above ground between Pont Morland road bridge and the Voie Mazas, above the Saint-Martin canal, overhanging one of the locks leading to the Seine. The metro line connects to the Gare d'Austerlitz metro station by crossing the Seine via the Viaduc d'Austerlitz after the track winds to the right around the Institut médico-légal de Paris (morgue) on a viaduct called the Viaduc du quai de la Rapée. Since the closure of the nearby Arsenal station in 1939, the Quai de la Rapée station also serves the Bassin de l'Arsenal. Gare de Lyon is about 600 meters to the southeast.",0.5851428508758545,0.07854379713535309,0.32167425751686096,0.19257105886936188,0.2845071256160736,0.7793288826942444,0.17438730597496033
What is the genre of this building?,Castle,['equestrian statue'],[],0,"Emperor Wilhelm I close to Rathaus, destroyed after 1945.",0.7643349170684814,0.0011287464294582605,0.0022092978470027447,0.0014725183136761189,0.0006141636986285448,0.0012298614019528031,0.0008083570282906294
What country does this lake belong to?,Usa,['Russia'],[],0,"This is a list of river cruise ships, both those in service and those that have since ceased to operate. As some river cruise ships have operated under multiple names, all names will be listed in the ""Notes"" section.",0.6366590857505798,0.000697289768140763,0.0015440932475030422,0.0019394827540963888,0.0006426307372748852,0.006808969657868147,0.0019192775944247842
What place inflows lake?,River,['Aare | Lütschine'],[],0,"Lake Lucerne (German: Vierwaldstättersee, literally ""Lake of the four forested settlements"" (in English usually translated as forest cantons), French: lac des Quatre-Cantons, Italian: lago dei Quattro Cantoni) is a lake in central Switzerland and the fourth largest in the country.",0.8166905045509338,0.002402105601504445,0.004111487418413162,0.0027399826794862747,0.0015536819119006395,0.011641197837889194,0.001056190114468336
What is the minimum height of a male of this animal in centimetre?,60,['70'],[],0,"The St. Bernard is recognized internationally today as one of the molosser breeds. It is a giant dog. The coat can be either smooth or rough; the smooth coat being close and flat, while the rough is dense, flat, and more profuse around the neck and legs. The colour is typically a red shade with white, or a mahogany brindle with white. Black shading is usually found on the face and ears. The tail is long and heavy, hanging high. The eyes are usually brown, but sometimes can be icy blue, and should have naturally tight lids, with haws only slightly visible.",0.06321638822555542,0.20741094648838043,0.03927222266793251,0.030272245407104492,0.0033275478053838015,0.07182268798351288,0.008139493875205517
What is the location of this facility?,Library,['Ephesus'],[],0,"""Book"", in International Encyclopedia of Information and Library Science (""IEILS""), Editors: John Feather, Paul Sturges, 2003, Routledge, ISBN 1-134-51321-6, 9781134513215",0.8501724004745483,0.001637705834582448,0.007595338858664036,0.00505424989387393,0.0027135785203427076,0.001279482850804925,0.001999681582674384
How wide is the vehicle in the image? answer in millimetre,1800,['1748'],[],0,"Based on the Classic trim, the Sport version included a roof-mounted body-colored spoiler, 16-inch alloy wheels, PT Cruiser Sport badge, and an exclusive graphite metallic paint. The PT Cruiser Sport was available with a two-liter gasoline engine in the UK market.",0.026652241125702858,0.009363397024571896,0.004736015573143959,0.009782508946955204,0.00889513362199068,0.009478471241891384,0.0017996449023485184
What is the height of this river in metre?,100,['23'],[],0,"Larger tributaries of the High Rhine are Biber, Thur, Töss, Glatt, Wutach, Aare, Alb, Murg, Sissle, Wehra, Ergolz and Birs. The Aare with 590 cubic metres per second (21,000 cu ft/s) has a larger discharge than the Rhine with 439 cubic metres per second (15,500 cu ft/s). From hydrological point of view, therefore, the Rhine is a tributary of the Aare, not vice versa. The Rhine is, however, generally considered the main stream, because it is slightly longer than the Aare.",0.04466107115149498,0.00100840930826962,0.005709151737391949,0.006333877798169851,0.001008288818411529,0.008423290215432644,0.0014698606682941318
On what date did this building officially open?,1967,['1971 10 16'],[],0,"Under the reign of the Qajars, Tehran was home to the royal theater of Tekye Dowlat, located to the southeast of the Golestan Palace, in which traditional and religious performances were observed. It was eventually destroyed and replaced with a bank building in 1947, following the reforms under the reign of Reza Shah. Before the 1979 Revolution, the Iranian national stage had become the most famous performing scene for known international artists and troupes in the Middle East, with the Roudaki Hall of Tehran constructed to function as the national stage for opera and ballet. The hall was inaugurated in October 1967, named after prominent Persian poet Rudaki. It is home to the Tehran Symphony Orchestra, the Tehran Opera Orchestra, and the Iranian National Ballet Company. The City Theater of Tehran, one of Iran's biggest theater complexes which contains several performance halls, was opened in 1972. It was built at the initiative and presidency of empress Farah Pahlavi, and was designed by architect Ali Sardar Afkhami, constructed within five years. The annual events of Fajr Theater Festival and Tehran Puppet Theater Festival take place in Tehran.",0.11131353676319122,0.04662853106856346,0.0606156587600708,0.14151358604431152,0.010780406184494495,0.17737148702144623,0.017635034397244453
Who found this building?,Constantine,['Neagoe Basarab'],[],0,"In the Second Dacian War (AD 105) western Oltenia became part of the Roman province of Dacia, with parts of Wallachia included in the Moesia Inferior province. The Roman limes was initially built along the Olt River in 119 before being moved slightly to the east in the second century, during which time it stretched from the Danube up to Rucăr in the Carpathians. The Roman line fell back to the Olt in 245 and, in 271, the Romans pulled out of the region. The area was subject to Romanization also during the Migration Period, when most of present-day Romania was also invaded by Goths and Sarmatians known as the Chernyakhov culture, followed by waves of other nomads. In 328, the Romans built a bridge between Sucidava and Oescus (near Gigen) which indicates that there was a significant trade with the peoples north of the Danube. A short period of Roman rule in the area is attested under Emperor Constantine the Great, after he attacked the Goths (who had settled north of the Danube) in 332. The period of Goth rule ended when the Huns arrived in the Pannonian Basin and, under Attila, attacked and destroyed some 170 settlements on both sides of the Danube.",0.1101519912481308,0.001736411009915173,0.011721145361661911,0.001981602981686592,0.012847602367401123,0.07200964540243149,0.023851998150348663
What is the weight of a male of this animal in kilogram?,24,['29.5'],[],0,"The American Cocker Spaniel is the smallest dog recognized by the American Kennel Club as a sporting dog, being on average between 13.5 and 15.5 inches (34 and 39 cm) high at the withers. It is a dog of normal proportions, with medium long silky fur on the body and ears, hanging down on the legs and belly (known as feathering). The head has an upturned nose and the ears hang down. The breed standard states that size over 15.5 inches (39 cm) inches for males and 14.5 inches (37 cm) for females is a disqualification at conformation shows. American Cocker Spaniels weigh around 24 to 30 pounds (11 to 14 kg) on average, with females of the breed usually weighing slightly less than the males. The head of an American Cocker Spaniel makes the breed immediately recognizable, with the rounded dome of the skull, well-pronounced stop, and a square shaped lip. The drop ears are long, low set, with long silky fur, and the eyes are dark, large, and rounded. The nose can be black or brown depending on the color of the breed. The coat of the breed come in a variety of shades with the colors being separated into three main groups: black/black and tan, any solid color other than black (ASCOB), and parti-color. The black variety is either all black, or with tan points on the dog's head, the feet and the tail in a pattern called black and tan. The group known as ASCOB includes all other solid colors from light cream through to dark red, although some lighter coloring is allowed on the feathering according to standards. Parti-colored dogs are white with patches of another color such as black or brown, and includes any roan colored dogs. In addition, American Cockers coats can come in a pattern known as merle, which is not recognized by the American Kennel Club. American Cockers have rounder eyes, a domed skull, shorter muzzle and more clearly pronounced eyebrows than the English Cockers, whose head is more setter-like. In colors, the roan colors are rarer in the American variety than in ",0.08780784904956818,0.028573181480169296,0.05876358970999718,0.05480925366282463,0.004059632308781147,0.0428498275578022,0.004233104642480612
What is the closest parent taxonomy of this plant?,Tree,['Acacia'],[],0,"A swing yarder is a mobile piece of heavy duty forestry equipment used for pulling logs from the woods to a logging road with cables.  The swing yarder is also known as a grapple yarder. In any logging operation, it is necessary to transport the harvested tree from the stump to a landing for transport to market (usually on a truck). If the ground is relatively flat it may be possible to transport the tree or logs cut from the tree on a wheeled or tracked machine. However if the ground is too steep for the operation of such machinery, it is common practice to rig some sort of a cable system for moving the wood.  The swing yarder is one of several varieties of machines that have been used for this purpose.  The swing yarder has several drums to pull in the cables. The cables run up an angled boom and then to the far side of a setting.  By using two cables set up like a clothes line, the rigging can be pulled out and logs can be pulled across a logging setting where the trees have been previously felled.  This machine is most suitable for steep ground where it is difficult to access the logs with other machinery.  Swing yarders can also be used in flatter areas with lighter loads. While there are various rigging options, the most common one uses a grapple that can be lowered onto a logs and closed via the cable system.  Using a grapple avoids the need for people in the setting to attach chokers to the log.  Choker setting as a profession is a very dangerous occupation. The main difference between a swing yarder and a tower yarder is that the upperworks is mounted on a large slewing bearing.  This bearing permits the boom and cable system to be 'swung' across a setting without relocating the machine.  An experienced operator uses timing and cable tension to swing the grapple to the desired location. In practice, however, the main benefit of a swinging machine is that once the logs are yarded up to the machine, they can be swung to the side and landed. This allows the ma",0.9063389301300049,0.0006532294792123139,0.0013596831122413278,0.006421126425266266,0.00069622095907107,0.0370074026286602,0.0007514706812798977
What is the height of this park in terms of foot above sea level?,100,['20'],[],0,Virginia Tech's School of Public and International Affairs has received the following rankings: Public Affairs: No. 39 in the nation for Graduate Public Affairs in the 2020 U.S. News & World Report Urban Planning: No. 22 in the nation in Planetizen's Top 25 Schools For Urban Planners Public Management Administration: No. 15 for Best Graduate Schools in 2015 U.S. News & World Report Public Administration: No. 22 in the nation in Top Management Degree's Top 25 Master's of Public Administration Programs,0.09948849678039551,0.0015113544650375843,0.009070774540305138,0.01065357681363821,0.0044403076171875,0.016793187707662582,0.0035029107239097357
Which diocese does this building belong to?,Catholic,['Diocese of Tagbilaran'],[],0,"The first floor of the church convent houses a museum containing liturgical objects such as record books, images of saints, vestments and other relics.",0.7036532163619995,0.0011023596161976457,0.0016574684996157885,0.0017486411379650235,0.0006812200881540775,0.002222406445071101,0.0013734677340835333
What is the closest upper taxonomy of this animal?,Fish,['Gnathostomata'],[],0,The black phantom tetra (Hyphessobrycon megalopterus) is a separate species. The black neon tetra (Hyphessobrycon herbertaxelrodi) is sometimes also called the black tetra.,0.7681657671928406,0.0005298172472976148,0.0010394996497780085,0.002368826884776354,0.0005898847593925893,0.0012906404444947839,0.000626981898676604
In which year did this building come into service?,1915,['1772'],[],0,"The Cabo Sardão Lighthouse is located at Ponta do Cavaleiro in the village of Odemira, in the parish of São Teotónio, at the westernmost point of the Alentejo region of Portugal. The lighthouse consists of a white quadrangular masonry tower, topped by a red cylindrical lantern. There is also a lengthy annex building, together with small staff quarters. Unusually, the tower is built on the land side of the annex, whereas others of similar design in Portugal have the tower on the sea side. This has given rise to the belief that the builder may have rotated the plans by 180 degrees by accident. The tower is 17 metres (56 ft) meters high. Its construction was first proposed and approved in 1883. However, no action was taken until a Lighthouse Commission was formed in 1902 and operations only began on 15 April 1915. The lighthouse was electrified in 1950, with the installation of generators, at which time the light source was changed from petroleum gas to a 3000 watt bulb. It was connected to the public distribution network in 1984. The power of the light source was reduced and a 1000-watt bulb was installed. While the lighthouse can today be easily reached by car and is next to a popular viewpoint, particularly for ornithologists, until the 1950s the delivery of mail had to be carried out by a courier, involving a return trip on foot of more than 20 kilometers along an almost impassable path.",0.4296664297580719,0.5136090517044067,0.594890832901001,0.14350369572639465,0.42507022619247437,0.34443262219429016,0.1085025891661644
How many metre is the vertical depth of the lake?,100,['78'],[],0,"Hechtsee is a lake in Tyrol, Austria. It is also the name of a scattered village (zerstreute Häuser). Both ar part of the Kufstein District. The Austria–Germany border is located 20 meters north of the lake.",0.12074581533670425,0.0009845603490248322,0.010081393644213676,0.005354865454137325,0.0017675058916211128,0.020329196006059647,0.0014950117329135537
What is the parent organization of this aircraft?,Southern air transport,['Hawker Siddeley'],[],0,"The carrier had previously operated the type, on lease from Southern Air Transport. One aircraft destroyed in a crash on 24 July 2014.",0.41702595353126526,0.07986895740032196,0.10345294326543808,0.19032423198223114,0.03587011620402336,0.173280730843544,0.030604735016822815
Which body of water is this building located in or next to?,Ij,['River Thames'],[],0,"Amsterdam-Noord (English: North Amsterdam) is a borough of Amsterdam, Netherlands with a population of about 90,000. The IJ, the body of water which separates it from Amsterdam-Centrum and the rest of the city, is situated southwest of Amsterdam-Noord. The borough, which has an area of 49.01 km² (18.92 square miles), borders the municipalities of Zaanstad, Oostzaan, Landsmeer and Waterland to the north, all part of the province of North Holland like Amsterdam. It borders the Markermeer to the east. Amsterdam-Noord is mostly home to families who prefer it to the expensive, touristy and crowded Centrum, West and Zuid boroughs. It remains geographically close to major city landmarks, including Amsterdam Centraal station, the Royal Palace and the Rokin. Amsterdam-Noord is best known for its typical wooden houses (mainly located in Schellingwoude and Nieuwendam), historical areas with a low population density (Landelijk Noord) and large open spaces (especially Durgerdam and Ransdorp).",0.5839813947677612,0.03174106031656265,0.03600561246275902,0.05202865228056908,0.029783004894852638,0.11349793523550034,0.0045157563872635365
What is this building named after?,Saint richard,['Trinity'],[],0,"Chichester Cathedral, founded in the 11th century, is dedicated to the Holy Trinity, and contains a shrine to Saint Richard of Chichester. Its spire, built of the weak local stone, collapsed and was rebuilt during the 19th century. In the south aisle of the cathedral a glass panel in the floor enables a view of the remains of a Roman mosaic pavement. The cathedral is unusual in Britain in having a separate bell tower a few metres away from the main building, rather than integrated into it. Within the cathedral there is a medieval tomb of a knight and his wife, the inspiration of the poem ""An Arundel Tomb"", by Philip Larkin. A memorial statue exists of William Huskisson, once member of parliament for the city, but best remembered as the first man to be run over by a railway engine. Leonard Bernstein's Chichester Psalms were commissioned for the cathedral. The statue of St Richard (pictured left) is by the sculptor Philip Jackson. There are further Philip Jackson sculptures outside the Chichester Festival Theatre and St Richard's Hospital in Chichester. In addition to the cathedral there are five Church of England churches, St Richard's Roman Catholic church and nine religious buildings of other denominations. Redundant churches include the Grade I-listed St John the Evangelist's Church, an octagonal white-brick proprietary chapel with an impressive three-decker pulpit.",0.45932579040527344,0.2407730519771576,0.0943068191409111,0.009150251746177673,0.022195158526301384,0.10953650623559952,0.004750619176775217
What is this bridge named after?,Vasco da gama,['Vasco da Gama'],[],1," the early-1970s, Portugal's fast economic growth with increasing consumption and purchase of new automobiles set the priority for improvements in transportation. Again in the 1990s, after joining the European Economic Community, the country built many new motorways. Today, the country has a 68,732 km (42,708 mi) road network, of which almost 3,000 km (1,864 mi) are part of system of 44 motorways. Opened in 1944, the first motorway (which linked Lisbon to the National Stadium) was an innovative project that made Portugal one of the first countries in the world to establish a motorway (this roadway eventually became the Lisbon-Cascais highway, or A5). Although a few other tracts were created (around 1960 and 1970), it was only after the beginning of the 1980s that large-scale motorway construction was implemented. In 1972, Brisa, the highway concessionaire, was founded to handle the management of many of the region's motorways. On many highways, a toll needs to be paid (see Via Verde). Vasco da Gama bridge is the longest bridge in the EU (the second longest in Europe) at 12.345 km. Continental Portugal's 89,015 km² (34,369 sq mi) territory is serviced by four international airports located near the principal cities of Lisbon, Porto, Faro and Beja. Lisbon's geographical position makes it a stopover for many foreign airlines at several airports within the country. The primary flag-carrier is TAP Air Portugal, although many other domestic airlines provide services within and without the country. The government decided to build a new airport outside Lisbon, in Alcochete, to replace Lisbon Portela Airport, though this plan has been suspended due to austerity measures. Currently, the most important airports are in Lisbon, Porto, Faro, Funchal (Madeira), and Ponta Delgada (Azores), managed by the national airport authority group ANA – Aeroportos de Portugal. One other important airport is the Aeroporto Internacional das Lajes on the island of Terceira in the Azores. This airport serves ",0.6981160640716553,0.6064455509185791,0.2464684247970581,0.5155635476112366,0.024806344881653786,0.5173457860946655,0.016898127272725105
Who is the architect of this bridge?,John Roebling,['Othmar Ammann'],[],0,"The following is a list of Historic Civil Engineering Landmarks as designated by the American Society of Civil Engineers since it began the program in 1964. The designation is granted to projects, structures, and sites in the United States (National Historic Civil Engineering Landmarks) and the rest of the world (International Historic Civil Engineering Landmarks). As of 2019, there are over 280 landmarks that have been approved by the ASCE Board of Direction. Sections or chapters of the American Society of Civil Engineers may also designate state or local landmarks within their areas; those landmarks are not listed here.",0.03678349405527115,0.25181758403778076,0.030668940395116806,0.14041879773139954,0.12260298430919647,0.049314942210912704,0.006387049797922373
What is the area in square kilometre occupied by this park?,1000,['3027.19'],[],0,"In waterfalls, the run (also known as the runout) is the linear distance the stream flows from the brink of the waterfall to its base. Therefore, a steeper waterfall would have a shorter run, and a less inclined waterfall would have a longer run. As an example, rapids typically have longer runs, as their actual drop is usually much shorter than the distance they flow. Vertical waterfalls, such as Yosemite Falls, have short runs.",0.042791277170181274,0.0005802744999527931,0.004505062010139227,0.0031012780964374542,0.0007012318819761276,0.0034995286259800196,0.0014972271164879203
What is the length of the incubation period (in day) of this bird's egg?,28,['27'],[],0,"Spoonbills are monogamous, but, so far as is known, only for one season at a time. Most species nest in trees or reed beds, often with ibises or herons. The male gathers nesting material—mostly sticks and reeds, sometimes taken from an old nest—the female weaves it into a large, shallow bowl or platform which varies in its shape and structural integrity according to species. The female lays a clutch of about three smooth, oval, white eggs and both parents incubate; chicks hatch one at a time rather than all together. The newly hatched young are blind and cannot care for themselves immediately; both parents feed them by partial regurgitation. Chicks' bills are short and straight, and only gain the characteristic spoonbill shape as they mature. Their feeding continues for a few weeks longer after the family leaves the nest. The primary cause of brood failure appears not to be predation but starvation.",0.06928227841854095,0.07912556082010269,0.029589291661977768,0.06776560842990875,0.0033148257061839104,0.07534395903348923,0.01247108168900013
