question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_infoseek_bm25_base_no_context,llava_infoseek_bm25_base_with_context,llava_infoseek_bm25_no_p_prime,llava_infoseek_bm25_no_p_q_i,llava_infoseek_bm25_no_p_q_c,llava_infoseek_bm25_no_p_q
Who is the manufacturer of this aircraft?,Airbus,['Airbus'],[],1,Airbus A300 (production ceased) Airbus A310 (production ceased) Airbus A310 MRTT Airbus A320 family Airbus A330 Airbus A330 MRTT Airbus A340 (production ceased) Airbus A350 Airbus A380 (production ceased) Airbus A400M Airbus Beluga,0.9859617352485657,0.1985611617565155,0.4473249018192291,0.22303219139575958,0.827979326248169,0.5655688047409058,0.6623356342315674
What is the closest parent taxonomy of this bird?,Heron,['Egretta'],[],0,"Order: Pelecaniformes   Family: Ardeidae The family Ardeidae contains the bitterns, herons, and egrets. Herons and egrets are medium to large wading birds with long necks and legs. Bitterns tend to be shorter necked and more wary. Members of Ardeidae fly with their necks retracted, unlike other long-necked birds such as storks, ibises, and spoonbills. Great blue heron, Ardea herodias (A) Gray heron, Ardea cinerea (A) Cocoi heron, Ardea cocoi (A) Great egret, Ardea alba Little Egret, Egretta garzetta (A) Western reef-heron, Egretta gularis (A) Snowy egret, Egretta thula (A) Little blue heron, Egretta caerulea Tricolored heron, Egretta tricolor (A) Cattle egret, Bubulcus ibis Green heron, Butorides virescens Striated heron, Butorides striata (A) Black-crowned night-heron, Nycticorax nycticorax (A) Yellow-crowned night-heron, Nyctanassa violacea",0.38030919432640076,0.0005862427060492337,0.016806388273835182,0.003999301698058844,0.0013803178444504738,0.010154861025512218,0.007810077629983425
Which city or region does this building locate in?,Germany,['Nuremberg'],[],0,"Adherence to medieval brick Gothic style Preference for local building materials (wood, brick, sandstone) Brick wall facades with brick ornaments German frieze, dentil, and glazed bricks as decorative elements Crow-stepped gable on the verge and segmental arch lintels above windows and doors (round arch style) Absence of exterior plaster, decorative sculptures and colored surfaces Recognizability of the brick building shell",0.7426868677139282,0.0006417001131922007,0.02079867571592331,0.028681207448244095,0.004811437334865332,0.030797259882092476,0.02376137673854828
Which city or region does this building locate in?,Switzerland,['Sümeg'],[],0,"Bischofstein Castle and Sissacherfluh Castle (both prehistoric hilltop settlement and medieval castle), Ebenrain Castle, the prehistoric hilltop settlement of Burgenrain and the reformed parish Church of St Jakob are listed as Swiss heritage site of national significance.  The entire town of Sissach is part of the Inventory of Swiss Heritage Sites.",0.9336094856262207,0.0006056440761312842,0.029011407867074013,0.07194957882165909,0.029742922633886337,0.000856140861287713,0.0347391739487648
Which continent does this building belong to?,North america,['Europe'],[],0,"High Crag is composed entirely of lapilli-tuff of the Helvellyn Tuff Formation. This formation is part of the Borrowdale Volcanic Group, formed during a period of intense volcanic activity on the edge of an ancient continent during the Ordovician Period, about 450 million years ago. The Helvellyn Tuff Formation was formed by an explosive volcanic eruption which produced a large-volume pyroclastic flow of very hot gas and rock. Individual lapilli or pieces of semi-molten lava within the flow were flattened by the weight of deposits above them.",0.33712533116340637,0.16513894498348236,0.06611111760139465,0.23903506994247437,0.025188062340021133,0.015052452683448792,0.30337750911712646
what has this bridge crossed over?,River,['Seine'],[],0,"The Pont Royal is a bridge crossing the river Seine in Paris. It is the third oldest bridge in Paris, after the Pont Neuf and the Pont Marie.",0.8918309211730957,0.0010944183450192213,0.05275091156363487,0.0030627951491624117,0.006336750462651253,0.005666626617312431,0.004984579980373383
What is the genre of this building?,History,['equestrian statue'],[],0,"The National Kaiser Wilhelm Monument (Kaiser-Wilhelm-Nationaldenkmal) was a memorial structure in Berlin dedicated to Wilhelm I, first Emperor of Imperial Germany. It stood in front of the Berlin Palace from 1897 to 1950, when both structures were demolished by the German Democratic Republic (GDR) government. The monument featured an imposing equestrian statue of Emperor Wilhelm I. The memorial was built in front of the Eosander portal on the west side of the Berlin Palace. The design of the memorial was commissioned by Wilhelm I's grandson, Kaiser Wilhelm II, in the Baroque Revival style and cast by the sculptor Reinhold Begas, who had also designed the Siegesallee and the Bismarck Memorial in Tiergarten. The planned Monument to Freedom and Unity is to be located on the base originally constructed for the monument.",0.820382833480835,0.0005932194762863219,0.008672012947499752,0.008608988486230373,0.004161148797720671,0.0020055768545717,0.014603766612708569
What country does this lake belong to?,Russia,['Russia'],[],1,"List of Russian Nature Reserves (class 1a ""zapovedniks"") Wikicommons Gallery: Lake Teletskoye",0.9818506836891174,0.8517611622810364,0.7965193390846252,0.7226781845092773,0.5178186893463135,0.4649582803249359,0.7334057688713074
What place inflows lake?,River,['Aare | Lütschine'],[],0,"Elisabetha Grossmann (1795 - 1858), was a Swiss skipper. She ferried tourists over the Lake Brienz in the early 19th-century and became herself a famous tourist attraction for her beauty, known as La belle batelière de Brienz or Die schöne Schifferin von Brienz ('The Fair Skipper of Brienz').",0.816645085811615,0.0007914413581602275,0.03940083459019661,0.00600298959761858,0.002007802715525031,0.0011495398357510567,0.004139609634876251
What is the minimum height of a male of this animal in centimetre?,70,['70'],[],1,"With a massive body, broad skull and head of generally square appearance, it is the largest dog breed in terms of mass. It is on average slightly heavier than the Saint Bernard, although there is a considerable mass overlap between these two breeds. Though the Irish Wolfhound and Great Dane can be more than six inches taller, they are not nearly as robust.    The body is large with great depth and breadth, especially between the forelegs—which causes these to be set wide apart. The length of the body taken from the point of the shoulder to the point of the buttock is greater than the height at the withers. The AKC standard height (per their website) for this breed is 30 inches (76 cm) at the shoulder for males and 27.5 inches (70 cm) (minimum) at the shoulder for females. A typical male can weigh 150–250 pounds (68–113 kg), a typical female can weigh 120–200 pounds (54–91 kg), with very large individuals reaching 300 pounds (140 kg) or more.",0.1759900599718094,0.031087815761566162,0.09091802686452866,0.04669734463095665,0.014333871193230152,0.0393478199839592,0.08543158322572708
What is the location of this facility?,Ephesus,['Ephesus'],[],1,"The Library of Celsus in Ephesus was built to honor Tiberius Julius Celsus Polemaeanus after his death. He paid for the library from his own personal wealth, and bequeathed a large sum of money for its construction which was carried out by his son Julius Aquila Polemaeanus. The library was built to store 12,000 scrolls and to serve as a monumental tomb for Celsus, being both a crypt containing his sarcophagus and a sepulchral monument to his memory. The library collapsed after Ephesus was deserted but its façade was restored by an Austrian archaeology foundation in the 1970s.",0.9759746193885803,0.9234192371368408,0.5344626903533936,0.2113712728023529,0.43588387966156006,0.16554223001003265,0.3336839973926544
How wide is the vehicle in the image? answer in millimetre,2000,['1748'],[],0,"The Caliber was one of Dodge's first modern offerings in Europe and in Asian markets such as Japan, South Korea, and Singapore, as it established new distribution channels there. It was also introduced in China in 2008 as Dodge's second modern vehicle offering in that market. Dodge vehicles were last officially sold in China during the World War II era. The introduction of the Caliber had marked the return of the Dodge brand to Australia since the early 1970s. The Caliber in Japan joined the Chrysler PT Cruiser in 2007, as the PT Cruiser was offered since 2000, but as with previous Chrysler products sold in Japan, the width dimension exceeded Japanese Government dimension regulations, and Japanese consumers were liable for annual taxes for driving a larger car which affected sales. As Chrysler products were considered large to the Japanese market, Chrysler offered products that offered spacious interiors with four doors and one-piece liftgates to broaden their appeal to the Japanese as a compromise for paying the annual tax for large vehicles. The marketing plan for the first year of the Caliber's production included 20% of the budget for online marketing, print ads, and TV commercials.",0.0397234670817852,0.0025019512977451086,0.043708108365535736,0.0015693607274442911,0.0030982575844973326,0.0029552136547863483,0.010283272713422775
What is the height of this river in metre?,23,['23'],[],1,"The Rhine Falls, which are the largest plain waterfalls of Europe, are in the municipalities of Neuhausen am Rheinfall and Laufen-Uhwiesen, near the town of Schaffhausen. They are 150 metres (490 ft) wide and 23 metres (75 ft) high. In the winter months, the average water flow is 250 cubic metres per second (8,800 cu ft/s), while in the summer, the average water flow is 600 cubic metres per second (21,000 cu ft/s). The rapids in the High Rhine should be viewed in the context of the relatively high slope—from 395 to 252 metres (1,296 to 827 ft) above sea level in just 165 kilometres (103 mi)—and the change of the river's course during the Würm ice age. In Neuhausen am Rheinfall, the river falls into a previously buried stream channel, forming the  Rhine Falls at Schaffhausen. The next rapids are the Kadelburg Rapids at Koblenz. Near Laufenburg, the post-glacial Rhine failed to find the old silted-up channel and hit a spur of Black Forest crystal. The river cut itself a gorge, containing the Laufenburg Rapids. The Laufenburg and Schwörstadt Rapids have been artificially eliminated by blowing up the rocks and raising the water level with dams.",0.5922459363937378,0.09971698373556137,0.59078449010849,0.26717299222946167,0.29872408509254456,0.6236283779144287,0.3607231378555298
On what date did this building officially open?,2003,['1971 10 16'],[],0,List of association football stadia by capacity Football in Iran Azadi Sport Complex Azadi Tower,0.030573517084121704,0.0011732924031093717,0.027344301342964172,0.0015763920964673162,0.0013988255523145199,0.002964787185192108,0.003208097303286195
Who found this building?,King,['Neagoe Basarab'],[],0,"The Cathedral of Curtea de Argeș (early 16th century) is a Romanian Orthodox cathedral in Curtea de Argeș, Romania. It is located on the grounds of the Curtea de Argeș Monastery, and is dedicated to Dormition of the Mother of God.  The building is the seat of the Archdiocese of Argeș and Muscel. The cathedral is faced with pale grey limestone, which was easily chiselled then hardened on exposure. The interior is of brick, plastered and decorated with frescoes. Nearby on the grounds stands the large Neo-Romanian style Royal Palace built in late 19th century.",0.280063658952713,0.0005561069119721651,0.001795881544239819,0.0009253733442164958,0.001049281214363873,0.0007351590320467949,0.0009991031838580966
What is the weight of a male of this animal in kilogram?,50,['29.5'],[],0,"Technically a ""medium / large"" breed, according to the FCI standard the Rottweiler stands 61–69 cm (24–27 in) at the withers for males, 56–63 cm (22–25 in) for females, and the weight must be between 50 and 60 kg (110 and 132 lbs) for males and 35 and 48 kg (77 and 105 lbs) for females. Weight must be relative to height.",0.07864616066217422,0.009136461652815342,0.15747328102588654,0.16971704363822937,0.013983027078211308,0.03360463306307793,0.05315642058849335
What is the closest parent taxonomy of this plant?,Eucalyptus,['Acacia'],[],0,"Chilecomadia valdiviana is a moth of the family Cossidae. It is found in Argentina and Chile (from Atacama to Aisén). The wingspan is 48–60 mm. The larvae feed on Nothofagus and Salix species and are considered a pest in Chilean eucalyptus plantations. They have been reported on Eucalyptus globulus globulus, Eucalyptus nitens, Eucalyptus camaldulensis, Eucalyptus delegatensis and Eucalyptus viminalis.",0.48951196670532227,0.0010621808469295502,0.23226559162139893,0.10349488258361816,0.3352374732494354,0.048255857080221176,0.3093927800655365
What is the height of this park in terms of foot above sea level?,8749,['20'],[],0,"Within driving distance from El Paso are nine state parks, three national parks, one national monument, one national memorial and a national forest. Carlsbad Caverns National Park Guadalupe Mountains National Park Guadalupe Peak – the highest point in Texas at 8,749 feet in elevation McKittrick Canyon White Sands National Park Organ Mountains–Desert Peaks National Monument Chamizal National Memorial Lincoln National Forest Hueco Tanks State Historic Site Mt. Cristo Rey Socorro Mission San Elizario Chapel Western Playland Wet N' Wild Waterworld Old Mesilla Sunland Park Racetrack & Casino Spaceport America Sunland Park Mall Cielo Vista Mall Bassett Place",0.034417398273944855,0.005181135144084692,0.17935140430927277,0.003163417335599661,0.007429054472595453,0.0181336160749197,0.01734807901084423
Which diocese does this building belong to?,Catholic,['Diocese of Tagbilaran'],[],0,"Ecclesiastically, Hochstätten belongs, as it long has, to the Evangelical Church of the Palatinate and the Roman Catholic Diocese of Speyer. As at 30 September 2013, there are 634 full-time residents in Hochstätten, and of those, 395 are Evangelical (62%), 101 are Catholic (16%), 19 belong to other religious groups and 119 either have no religion or will not reveal their religious affiliation.",0.9596603512763977,0.0022084193769842386,0.006784724537283182,0.0031430870294570923,0.0028564755339175463,0.0015456400578841567,0.0048397197388112545
What is the closest upper taxonomy of this animal?,Poecilia reticulata,['Gnathostomata'],[],0,"Guppies were first described in Venezuela as Poecilia reticulata by Wilhelm Peters in 1859 and as Lebistes poecilioides in Barbados by De Filippi in 1861. It was named Girardinus guppii by Albert Günther in honor of Robert John Lechmere Guppy, who sent specimens of the species from Trinidad to the Natural History Museum in London. It was reclassified as Lebistes reticulatus by Regan in 1913. Then in 1963, Rosen and Bailey brought it back to its original name, Poecilia reticulata. While the taxonomy of the species was frequently changed and resulted in many synonyms, ""guppy"" remains the common name even as Girardinus guppii is now considered a junior synonym of Poecilia reticulata.",0.3969479203224182,0.00126452196855098,0.08577325940132141,0.013664359226822853,0.006314621772617102,0.0048142168670892715,0.03661920130252838
In which year did this building come into service?,1956,['1772'],[],0,"The Iioka Lighthouse, built in 1956, sits on top of a 40-meter-high (130 ft) cliff on Cape Gyōbu. The white concrete structure stands 9.8 meters high. The lighthouse is visible up to 25 km out to sea. A viewing platform, named ""Hikari to Kaze"" (meaning ""light and wind""), opened in 2001 adjacent to the lighthouse. In winter, weather permitting, Mount Fuji is visible from the cape observatory. The observatory is open year-round.",0.7896522879600525,0.6731146574020386,0.40211188793182373,0.05335891991853714,0.10389954596757889,0.28571417927742004,0.09645053744316101
How many metre is the vertical depth of the lake?,420,['78'],[],0,"Waldo Lake is a natural alpine lake in the Cascade Mountains of the U.S. state of Oregon.  It is the second largest natural non-alkali lake in Oregon with just under 10 square miles (26 km²) of water surface and a maximum depth of 420 feet (130 m).  The lake is named after Oregon politician, judge, and conservationist John B. Waldo.",0.14737215638160706,0.0037330002523958683,0.17345546185970306,0.006178371608257294,0.0181401539593935,0.002965314546599984,0.02868298999965191
What is the parent organization of this aircraft?,Beechcraft,['Hawker Siddeley'],[],0,Beechcraft Model 99 British Aerospace ATP de Havilland Canada Dash 6 de Havilland Canada Dash 7 de Havilland Canada Dash 8-100 de Havilland Canada Dash 8-300 Dornier 328 (via acquisition of Mountain Air Express) Fokker F27 Short 360 (via merger with Mississippi Valley Airlines) Short 330 (via merger with Mississippi Valley Airlines) Swearingen Metro,0.5271638631820679,0.004974113777279854,0.553179144859314,0.5256950259208679,0.172820046544075,0.22370252013206482,0.22987888753414154
Which body of water is this building located in or next to?,Lake,['River Thames'],[],0,"The park had a slide tower containing several water slides and an open area at ground level that contained water rides. The slide tower contained three body slides, two body slides, and one family slide (this was the tallest slide, starting at the tenth level of the building and ending at the bottom). Body slides are slides on which riders slide directly on their body, without an inner tube. The family raft had 7000+ GPM at all times when running. On the 7th floor there were two tube slides that connected to the lazy river at the end of the ride.",0.6693527102470398,0.0006618027691729367,0.05578121170401573,0.019223444163799286,0.002343306317925453,0.002546591917052865,0.020935116335749626
What is this building named after?,Chichester,['Trinity'],[],0,Chichester Cathedral List of musicians at English cathedrals Choir of Chichester Cathedral,0.7268843054771423,0.002453812165185809,0.09149418771266937,0.023994548246264458,0.02408698946237564,0.010537305846810341,0.1116989329457283
What is this bridge named after?,Vasco da gama,['Vasco da Gama'],[],1,"The Vasco da Gama Bridge (Portuguese: Ponte Vasco da Gama; pronounced [ˈpõt(ɨ) ˈvaʃku dɐ ˈɡɐmɐ]) is a cable-stayed bridge flanked by viaducts that spans the Tagus River in Parque das Nações in Lisbon, the capital of Portugal. It is the second longest bridge in Europe, after the Crimean Bridge, and the longest one in the European Union. It was built to alleviate the congestion on Lisbon's 25 de Abril Bridge, and eliminate the need for traffic between the country's northern and southern regions to pass through the capital city. Construction began in February 1995; the bridge was opened to traffic on 29 March 1998, just in time for Expo 98, the World's Fair that celebrated the 500th anniversary of the discovery by Vasco da Gama of the sea route from Europe to India. The Vasco da Gama is one of two bridges that span the Tagus River in Lisbon.",0.8760780692100525,0.397426575422287,0.8987028002738953,0.845814049243927,0.3765166103839874,0.8653356432914734,0.8676530718803406
Who is the architect of this bridge?,Ithiel town,['Othmar Ammann'],[],0,"Bull's Bridge is one of three remaining covered bridges in Connecticut dating from the 19th century. George Washington crossed the Housatonic River near the site of the present bridge in 1781. Built in 1842 by architect Ithiel Town, this single-lane covered bridge features a lattice truss design.",0.9459604620933533,0.6164674758911133,0.1882401406764984,0.056656453758478165,0.01790498197078705,0.026556072756648064,0.035001955926418304
What is the area in square kilometre occupied by this park?,1200,['3027.19'],[],0,"Yosemite West, California Yosemite National Park Yosemite Valley Badger Pass Ski Area Mariposa County History of the Yosemite area Chinquapin, California",0.026483699679374695,0.0031354199163615704,0.03135336935520172,0.0035077426582574844,0.0025277126114815474,0.000827582145575434,0.005252048373222351
What is the length of the incubation period (in day) of this bird's egg?,28,['27'],[],0,"The American white ibis pairs up in spring and breeds in huge colonies, often with other waterbird species. Nesting begins as soon as suitable foraging and nesting habitat is available. The female selects the site, usually in the branches of a tree or shrub, which is often over water, and builds the nest, and males assist by bringing nest material. Anywhere from one to five eggs are typically laid, with two or three being the most common. The eggs are matte pale blue-green in color with brown splotches, measure 5.8 cm × 3.9 cm (2.3 in × 1.5 in), and weigh on average 50.8 g (1.79 oz). Clutch sizes are usually lower in coastal colonies as compared to inland colonies, although there are no statistically significant differences in the fledging rate of both colonies. Throughout the mating and incubation period, the male undergoes a period of starvation to stay close to the nest and aggressively defend his nest and mate from both predators and other ibises in preference to foraging for food. In the 2006 breeding season, a non-breeding adult female was observed to be tending to multiple nests that belonged to other American white ibises—the first time the behavior has been documented for this species. Although the American white ibis is predominantly monogamous and both sexes provide parental care to their young, the male often flies off to engage in extra-pair copulation with other nesting females after mating with its primary female partner. These extra-pair copulations are usually done after the within-pair copulations, and make up about 45% of all total matings, although only about 15% of all extra-pair copulations are successful. By not restricting the number of females it copulates with, the male is able to increase its reproductive success considerably. Although females are receptive towards extra-pair copulations, male mate-guarding greatly reduces the rate of successful female involvement in attempted extra-pair copulations by other males. The breeding success of ",0.1686498373746872,0.03326210379600525,0.13095858693122864,0.03047005459666252,0.04202444106340408,0.09724496304988861,0.21674439311027527
What is the weight of a female of this bird in gram?,1000,['990'],[],0,"A fieldwork study at Hyo-ko Waterfowl Park, a nature preserve in Niigata, Japan, found what they presumed was a male hybrid of a falcated duck and a Eurasian wigeon. They have found these “wild” hybrids in several instances over the past few years. These birds shared morphological traits with both species. Still, most of the traits favored the falcated duck. It was reported that these hybrid birds have joined courting parties of Eurasian wigeon and even attempted to compete with wigeon males. Grunt-whistling, and burping calls being the method of inciting courtship, even resemble that of the falcated duck and not of the Eurasian wigeon. The hybrid bird most be closely watched, was quite sexually active, however, it is not yet known if they can reproduce with either of the female species. Hybridization between two different species often leaves the offspring sterile, but this genus shows a surprising amount of hybrid fertility. This hybrid species performed courtship rituals more closely related to the falcated duck, yet socially was active in Eurasian wigeon flocks. Successful reproduction was not seen between the hybrid species and a pure Eurasian wigeon female during the fieldwork study. Further study of hybrid avian species can help shed light onto avian reproduction and their evolutionary biology.",0.05549510940909386,0.0006838880944997072,0.01860465668141842,0.0016452347626909614,0.002195978071540594,0.003761463100090623,0.004793212749063969
Which city or region does this facility locate in?,West point,['Colleville-sur-Mer'],[],0,"Margaret Corbin Monument is a monument and United States Military Academy Cemetery, in honor of Margaret Corbin (November 12, 1751 – January 16, 1800), a heroine of the American Revolution.  She died in Highland Falls, New York and was buried near the Hudson River.  In 1926, remains believed to be hers were disinterred and reburied near the entrance to the West Point Cemetery by the Daughters of the American Revolution. However, a 2017 study revealed that these were instead the remains of an unknown man; the location of Corbin's remains is unknown.",0.19503119587898254,0.000981541583314538,0.10723984986543655,0.0028353093657642603,0.00283277896232903,0.010240909643471241,0.13721877336502075
In which year was this vehicle invented or discovered?,1833,['1814'],[],0,"In 1833-34 they built the first Russian steam locomotive. They also built a cast-iron railroad from one of their factories to a copper mine. Track gauge was 5 ft 6 in (1670 mm). These are the figures quoted in the reference, although 1670 mm is actually 5 ft 5¾ in. In 1835, they built a second locomotive that they sent to Saint Petersburg. Despite the successful performance and operation of their locomotives, the Cherepanovs' invention found no support outside the factory and, subsequently, horse traction replaced their steam locomotives.",0.34624019265174866,0.28440308570861816,0.27828115224838257,0.028587305918335915,0.07997571676969528,0.04006927087903023,0.10110800713300705
What country does this street belong to?,Canada,['Canada'],[],1,"Ferguson Holmes Jenkins (1909 – 31 October 1996), also known as Ferguson ""Fergie"" Jenkins Sr., was a Canadian baseball player, and the father of National Baseball Hall of Fame pitcher Ferguson Jenkins.",0.9200714826583862,0.8237853050231934,0.9313390254974365,0.41092538833618164,0.9315435290336609,0.923403263092041,0.8704888820648193
What is the country of origin of this food?,Japan,['Japan'],[],1,"Tonkatsu sauce is a thick sauce served with tonkatsu, the Japanese pork cutlet. It is a thick (viscosity over 2.0 pascal-second, per JAS standard) Japanese Worcestershire-type sauce. As with most Japanese Worcestershire sauces, it is vegetarian and similar to a brown sauce, with tomatoes, prunes, dates, apples, lemon juice, carrots, onions, and celery among its ingredients. The first tonkatsu sauce was made in 1948 by Oliver Sauce Co., Ltd. of Hyogo Prefecture.  The Bull-Dog brand of tonkatsu sauce, for example, is made from malt vinegar, yeast, and vegetable and fruit purees, pastes, and extracts.  In the United States, Kikkoman brand sells a fruity tonkatsu sauce with applesauce as the main ingredient.",0.9888752698898315,0.909033477306366,0.7008170485496521,0.18181827664375305,0.5885483026504517,0.6363127827644348,0.5803434252738953
